"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,102,42,"2021-03-02","2021-04-13",4,2021
2,1,2,22,19,"2021-03-12","2021-04-13",4,2021
3,1,3,11,23,"2021-03-24","2021-04-01",4,2021
4,1,4,56,19,"2021-03-17","2021-04-08",4,2021
5,1,5,101,40,"2021-03-18","2021-04-05",4,2021
6,1,6,48,25,"2021-03-28","2021-04-04",4,2021
7,1,7,82,24,"2021-03-07","2021-04-08",4,2021
8,1,8,188,13,"2021-03-25","2021-04-12",4,2021
9,1,9,132,24,"2021-03-30","2021-04-15",4,2021
10,1,10,120,45,"2021-03-29","2021-04-04",4,2021
11,1,11,6,48,"2021-03-13","2021-04-06",4,2021
12,1,12,4,43,"2021-03-11","2021-04-11",4,2021
13,1,13,110,37,"2021-03-06","2021-04-12",4,2021
14,1,14,146,20,"2021-03-19","2021-04-14",4,2021
15,1,15,151,21,"2021-03-19","2021-04-13",4,2021
16,1,16,169,39,"2021-03-08","2021-04-01",4,2021
17,1,17,30,15,"2021-03-04","2021-04-08",4,2021
18,1,18,109,41,"2021-03-12","2021-04-11",4,2021
19,1,19,84,42,"2021-03-29","2021-04-05",4,2021
20,1,20,56,54,"2021-03-29","2021-04-05",4,2021
21,1,21,91,44,"2021-03-25","2021-04-07",4,2021
22,1,22,69,44,"2021-03-05","2021-04-13",4,2021
23,1,23,66,41,"2021-03-03","2021-04-01",4,2021
24,1,24,142,52,"2021-03-13","2021-04-04",4,2021
25,1,25,43,60,"2021-03-28","2021-04-02",4,2021
26,1,26,107,11,"2021-03-30","2021-04-10",4,2021
27,1,27,6,20,"2021-03-04","2021-04-05",4,2021
28,1,28,156,50,"2021-03-30","2021-04-09",4,2021
29,1,29,125,12,"2021-03-11","2021-04-12",4,2021
30,1,30,137,46,"2021-03-12","2021-04-05",4,2021
31,1,31,23,35,"2021-03-14","2021-04-04",4,2021
32,1,32,194,26,"2021-03-16","2021-04-02",4,2021
33,1,33,148,20,"2021-03-18","2021-04-04",4,2021
