"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,196,49,"2021-07-27","2021-08-13",8,2021
2,1,2,117,50,"2021-07-30","2021-08-07",8,2021
3,1,3,5,14,"2021-07-28","2021-08-04",8,2021
4,1,4,26,21,"2021-07-03","2021-08-04",8,2021
5,1,5,41,41,"2021-07-14","2021-08-15",8,2021
6,1,6,67,28,"2021-07-19","2021-08-03",8,2021
7,1,7,136,19,"2021-07-04","2021-08-04",8,2021
8,1,8,49,29,"2021-07-22","2021-08-03",8,2021
9,1,9,157,34,"2021-07-26","2021-08-08",8,2021
10,1,10,50,19,"2021-07-26","2021-08-15",8,2021
11,1,11,144,28,"2021-07-28","2021-08-08",8,2021
12,1,12,95,40,"2021-07-13","2021-08-08",8,2021
13,1,13,110,42,"2021-07-15","2021-08-12",8,2021
14,1,14,92,24,"2021-07-22","2021-08-07",8,2021
15,1,15,178,50,"2021-07-05","2021-08-13",8,2021
16,1,16,125,11,"2021-07-24","2021-08-07",8,2021
17,1,17,154,19,"2021-07-06","2021-08-01",8,2021
18,1,18,109,44,"2021-07-29","2021-08-14",8,2021
19,1,19,34,32,"2021-07-20","2021-08-12",8,2021
20,1,20,145,35,"2021-07-02","2021-08-14",8,2021
21,1,21,42,50,"2021-07-10","2021-08-05",8,2021
22,1,22,52,58,"2021-07-09","2021-08-15",8,2021
23,1,23,108,59,"2021-07-10","2021-08-05",8,2021
24,1,24,20,37,"2021-07-06","2021-08-01",8,2021
25,1,25,72,44,"2021-07-28","2021-08-04",8,2021
26,1,26,9,19,"2021-07-14","2021-08-01",8,2021
27,1,27,113,12,"2021-07-22","2021-08-02",8,2021
28,1,28,32,30,"2021-07-21","2021-08-10",8,2021
29,1,29,62,33,"2021-07-15","2021-08-03",8,2021
30,1,30,23,10,"2021-07-06","2021-08-06",8,2021
31,1,31,127,43,"2021-07-12","2021-08-12",8,2021
32,1,32,189,45,"2021-07-10","2021-08-12",8,2021
33,1,33,132,44,"2021-07-27","2021-08-13",8,2021
34,1,34,139,45,"2021-07-15","2021-08-05",8,2021
35,1,35,15,28,"2021-07-17","2021-08-06",8,2021
36,1,36,92,15,"2021-07-27","2021-08-12",8,2021
37,1,37,29,46,"2021-07-10","2021-08-02",8,2021
38,1,38,13,40,"2021-07-29","2021-08-07",8,2021
39,1,39,150,31,"2021-07-04","2021-08-01",8,2021
40,1,40,182,13,"2021-07-07","2021-08-14",8,2021
41,1,41,100,26,"2021-07-05","2021-08-02",8,2021
42,1,42,10,18,"2021-07-04","2021-08-14",8,2021
43,1,43,45,27,"2021-07-05","2021-08-05",8,2021
44,1,44,2,23,"2021-07-20","2021-08-05",8,2021
45,1,45,113,13,"2021-07-19","2021-08-05",8,2021
46,1,46,100,36,"2021-07-15","2021-08-03",8,2021
47,1,47,31,47,"2021-07-16","2021-08-09",8,2021
48,1,48,129,42,"2021-07-12","2021-08-08",8,2021
49,1,49,185,17,"2021-07-04","2021-08-15",8,2021
50,1,50,64,10,"2021-07-21","2021-08-02",8,2021
51,1,51,17,10,"2021-07-17","2021-08-15",8,2021
52,1,52,16,17,"2021-07-17","2021-08-09",8,2021
53,1,53,116,28,"2021-07-21","2021-08-06",8,2021
54,1,54,98,36,"2021-07-05","2021-08-09",8,2021
55,1,55,83,48,"2021-07-09","2021-08-04",8,2021
56,1,56,3,47,"2021-07-13","2021-08-13",8,2021
57,1,57,38,35,"2021-07-18","2021-08-04",8,2021
58,1,58,79,34,"2021-07-13","2021-08-10",8,2021
59,1,59,127,11,"2021-07-12","2021-08-04",8,2021
60,1,60,54,25,"2021-07-20","2021-08-08",8,2021
61,1,61,154,25,"2021-07-26","2021-08-15",8,2021
62,1,62,189,41,"2021-07-02","2021-08-13",8,2021
63,1,63,26,24,"2021-07-21","2021-08-01",8,2021
64,1,64,151,26,"2021-07-25","2021-08-01",8,2021
65,1,65,29,26,"2021-07-08","2021-08-01",8,2021
66,1,66,41,46,"2021-07-28","2021-08-07",8,2021
67,1,67,182,41,"2021-07-12","2021-08-08",8,2021
68,1,68,78,11,"2021-07-18","2021-08-12",8,2021
69,1,69,103,41,"2021-07-14","2021-08-05",8,2021
70,1,70,169,14,"2021-07-04","2021-08-07",8,2021
