"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2021-08-25 13:39:00",4,100739,13550,0.0,13550.0,"Bank Transfer",2303.5,15853.5,135
2,"2021-08-28 19:50:00",14,100102,43870,0.0,43870.0,"Bank Transfer",7457.9,51327.9,438
3,"2021-08-25 17:49:00",15,100951,10230,0.0,10230.0,"Debit Card",1739.1,11969.1,102
4,"2021-08-15 15:56:00",6,100348,5328,532.8,4795.2,"Credit Card",815.18,5610.38,47
5,"2021-08-16 13:32:00",14,100785,14866,0.0,14866.0,"Debit Card",2527.22,17393.22,148
6,"2021-08-28 17:48:00",6,100411,3436,171.8,3264.2,"Credit Card",554.91,3819.11,32
7,"2021-08-31 09:27:00",7,100530,21932,2193.2,19738.8,"Mobile Wallet",3355.6,23094.4,197
8,"2021-08-18 14:41:00",1,101048,1668,83.4,1584.6,"Debit Card",269.38,1853.98,15
9,"2021-08-29 15:01:00",18,100349,516,0.0,516.0,"Mobile Wallet",87.72,603.72,5
10,"2021-08-19 15:25:00",10,100633,1324,264.8,1059.2,"Bank Transfer",180.06,1239.26,10
11,"2021-08-19 15:16:00",6,100370,1988,0.0,1988.0,"Credit Card",337.96,2325.96,19
12,"2021-08-30 15:48:00",10,100375,3466,0.0,3466.0,"Debit Card",589.22,4055.22,34
13,"2021-08-18 10:54:00",5,100928,2343,0.0,2343.0,"Mobile Wallet",398.31,2741.31,23
14,"2021-08-24 18:54:00",14,100098,1901,190.1,1710.9,"Bank Transfer",290.85,2001.75,17
15,"2021-08-21 12:29:00",7,100638,3126,0.0,3126.0,"Cash",531.42,3657.42,31
16,"2021-08-08 16:46:00",8,100290,19501,0.0,19501.0,"Bank Transfer",3315.17,22816.17,195
17,"2021-08-10 16:18:00",11,100398,55144,11028.8,44115.2,"Credit Card",7499.58,51614.78,441
18,"2021-08-08 15:32:00",19,100830,11130,1113.0,10017.0,"Mobile Wallet",1702.89,11719.89,100
19,"2021-08-11 12:40:00",10,101057,4829,724.35,4104.65,"Cash",697.79,4802.44,41
20,"2021-08-27 18:49:00",1,101042,9162,458.1,8703.9,"Debit Card",1479.66,10183.56,87
21,"2021-08-23 12:04:00",3,100955,48997,0.0,48997.0,"Debit Card",8329.49,57326.49,489
22,"2021-08-04 11:48:00",17,100333,5103,765.45,4337.55,"Mobile Wallet",737.38,5074.93,43
23,"2021-08-15 18:37:00",11,100469,446,0.0,446.0,"Bank Transfer",75.82,521.82,4
24,"2021-08-19 10:20:00",2,100981,1968,196.8,1771.2,"Credit Card",301.1,2072.3,17
25,"2021-08-20 17:21:00",10,100493,1033,206.6,826.4,"Cash",140.49,966.89,8
26,"2021-08-06 11:54:00",12,100209,3656,0.0,3656.0,"Mobile Wallet",621.52,4277.52,36
27,"2021-08-01 17:53:00",17,100405,9808,0.0,9808.0,"Bank Transfer",1667.36,11475.36,98
28,"2021-08-06 19:48:00",1,100245,4672,0.0,4672.0,"Cash",794.24,5466.24,46
29,"2021-08-20 19:37:00",7,100996,220135,0.0,220135.0,"Bank Transfer",37422.95,257557.95,2201
30,"2021-08-05 17:04:00",5,101014,111407,0.0,111407.0,"Bank Transfer",18939.19,130346.19,1114
31,"2021-08-18 12:12:00",7,100245,1436,71.8,1364.2,"Cash",231.91,1596.11,13
32,"2021-08-06 16:26:00",7,100047,1144,57.2,1086.8,"Bank Transfer",184.76,1271.56,10
33,"2021-08-20 16:30:00",4,100650,3996,0.0,3996.0,"Bank Transfer",679.32,4675.32,39
34,"2021-08-04 15:22:00",2,101087,469,0.0,469.0,"Mobile Wallet",79.73,548.73,4
35,"2021-08-03 18:51:00",10,100781,87919,0.0,87919.0,"Cash",14946.23,102865.23,879
36,"2021-08-27 17:28:00",2,100568,695,0.0,695.0,"Mobile Wallet",118.15,813.15,6
37,"2021-08-14 10:04:00",13,100828,9391,0.0,9391.0,"Cash",1596.47,10987.47,93
38,"2021-08-31 15:40:00",10,100355,1214,121.4,1092.6,"Mobile Wallet",185.74,1278.34,10
39,"2021-08-15 12:44:00",16,100130,109265,0.0,109265.0,"Cash",18575.05,127840.05,1092
40,"2021-08-02 09:00:00",5,100156,829,0.0,829.0,"Credit Card",140.93,969.93,8
41,"2021-08-13 20:20:00",10,100304,1623,0.0,1623.0,"Debit Card",275.91,1898.91,16
42,"2021-08-24 17:29:00",11,101015,7701,385.05,7315.95,"Credit Card",1243.71,8559.66,73
43,"2021-08-17 17:22:00",13,101082,2497,0.0,2497.0,"Cash",424.49,2921.49,24
44,"2021-08-25 18:45:00",5,100031,11950,0.0,11950.0,"Bank Transfer",2031.5,13981.5,119
45,"2021-08-27 18:41:00",10,100009,2728,0.0,2728.0,"Credit Card",463.76,3191.76,27
46,"2021-08-26 16:38:00",6,100154,15517,0.0,15517.0,"Debit Card",2637.89,18154.89,155
47,"2021-08-21 16:56:00",9,101093,269573,0.0,269573.0,"Bank Transfer",45827.41,315400.41,2695
48,"2021-08-06 19:17:00",11,101147,213161,0.0,213161.0,"Debit Card",36237.37,249398.37,2131
49,"2021-08-05 09:06:00",16,101058,1881,282.15,1598.85,"Mobile Wallet",271.8,1870.65,15
50,"2021-08-31 17:31:00",7,100882,7042,0.0,7042.0,"Debit Card",1197.14,8239.14,70
51,"2021-08-12 16:59:00",5,100528,4043,0.0,4043.0,"Bank Transfer",687.31,4730.31,40
52,"2021-08-03 19:26:00",8,100157,5580,0.0,5580.0,"Debit Card",948.6,6528.6,55
53,"2021-08-31 12:54:00",2,101134,30318,3031.8,27286.2,"Cash",4638.65,31924.85,272
54,"2021-08-24 15:49:00",6,100286,23239,2323.9,20915.1,"Mobile Wallet",3555.57,24470.67,209
55,"2021-08-07 14:19:00",2,100797,3695,0.0,3695.0,"Credit Card",628.15,4323.15,36
56,"2021-08-16 10:11:00",15,100698,280,0.0,280.0,"Debit Card",47.6,327.6,2
57,"2021-08-28 12:38:00",3,100865,1898,284.7,1613.3,"Debit Card",274.26,1887.56,16
58,"2021-08-07 09:26:00",13,101017,765,0.0,765.0,"Mobile Wallet",130.05,895.05,7
59,"2021-08-06 09:24:00",5,100935,1779,0.0,1779.0,"Credit Card",302.43,2081.43,17
60,"2021-08-13 11:41:00",17,100934,4416,0.0,4416.0,"Cash",750.72,5166.72,44
61,"2021-08-27 12:16:00",2,100062,4240,0.0,4240.0,"Cash",720.8,4960.8,42
62,"2021-08-14 17:58:00",6,100055,1373,0.0,1373.0,"Bank Transfer",233.41,1606.41,13
63,"2021-08-29 18:18:00",8,100452,1133,113.3,1019.7,"Credit Card",173.35,1193.05,10
64,"2021-08-19 20:11:00",10,100876,2432,0.0,2432.0,"Bank Transfer",413.44,2845.44,24
65,"2021-08-09 20:40:00",9,100826,41219,4121.9,37097.1,"Credit Card",6306.51,43403.61,370
66,"2021-08-16 14:13:00",4,100635,3528,0.0,3528.0,"Mobile Wallet",599.76,4127.76,35
67,"2021-08-10 17:36:00",13,101132,26700,4005.0,22695.0,"Cash",3858.15,26553.15,226
68,"2021-08-11 15:26:00",2,100377,15616,780.8,14835.2,"Debit Card",2521.98,17357.18,148
69,"2021-08-04 17:28:00",18,100752,4531,0.0,4531.0,"Bank Transfer",770.27,5301.27,45
70,"2021-08-06 19:04:00",7,100382,12038,0.0,12038.0,"Credit Card",2046.46,14084.46,120
71,"2021-08-21 11:55:00",18,101139,44715,6707.25,38007.75,"Credit Card",6461.32,44469.07,380
72,"2021-08-16 13:02:00",14,100186,807,0.0,807.0,"Credit Card",137.19,944.19,8
73,"2021-08-30 14:46:00",16,100344,7404,1851.0,5553.0,"Bank Transfer",944.01,6497.01,55
74,"2021-08-23 11:30:00",19,101126,3668,550.2,3117.8,"Mobile Wallet",530.03,3647.83,31
75,"2021-08-15 18:12:00",10,100306,16611,4152.75,12458.25,"Bank Transfer",2117.9,14576.15,124
76,"2021-08-03 13:12:00",7,100888,6561,0.0,6561.0,"Mobile Wallet",1115.37,7676.37,65
77,"2021-08-17 10:06:00",9,100204,135834,20375.1,115458.9,"Mobile Wallet",19628.01,135086.91,1154
