"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,34,2,315,630,"2021-08-25"
2,1,41,1,575,575,"2021-08-25"
3,1,85,1,75,75,"2021-08-25"
4,1,26,1,85,85,"2021-08-25"
5,1,68,5,170,850,"2021-08-25"
6,1,6,4,550,2200,"2021-08-25"
7,1,31,1,335,335,"2021-08-25"
8,1,142,4,2200,8800,"2021-08-25"
9,2,128,1,400,400,"2021-08-28"
10,2,48,2,19000,38000,"2021-08-28"
11,2,23,1,65,65,"2021-08-28"
12,2,74,4,469,1876,"2021-08-28"
13,2,16,1,1300,1300,"2021-08-28"
14,2,84,3,75,225,"2021-08-28"
15,2,54,5,235,1175,"2021-08-28"
16,2,93,1,29,29,"2021-08-28"
17,2,155,4,200,800,"2021-08-28"
18,3,105,4,29,116,"2021-08-25"
19,3,116,2,179,358,"2021-08-25"
20,3,129,3,1400,4200,"2021-08-25"
21,3,105,1,29,29,"2021-08-25"
22,3,28,1,229,229,"2021-08-25"
23,3,144,2,2600,5200,"2021-08-25"
24,3,95,2,49,98,"2021-08-25"
25,4,87,1,270,270,"2021-08-15"
26,4,136,2,29,58,"2021-08-15"
27,4,147,5,900,4500,"2021-08-15"
28,4,151,2,250,500,"2021-08-15"
29,5,146,4,1100,4400,"2021-08-16"
30,5,139,4,109,436,"2021-08-16"
31,5,39,5,575,2875,"2021-08-16"
32,5,98,2,115,230,"2021-08-16"
33,5,5,3,575,1725,"2021-08-16"
34,5,142,2,2200,4400,"2021-08-16"
35,5,66,4,200,800,"2021-08-16"
36,6,80,3,549,1647,"2021-08-28"
37,6,23,3,65,195,"2021-08-28"
38,6,112,1,85,85,"2021-08-28"
39,6,74,1,469,469,"2021-08-28"
40,6,13,2,520,1040,"2021-08-28"
41,7,97,2,99,198,"2021-08-31"
42,7,48,1,19000,19000,"2021-08-31"
43,7,95,4,49,196,"2021-08-31"
44,7,22,3,67,201,"2021-08-31"
45,7,64,3,779,2337,"2021-08-31"
46,8,156,3,150,450,"2021-08-18"
47,8,23,2,65,130,"2021-08-18"
48,8,90,1,270,270,"2021-08-18"
49,8,30,2,409,818,"2021-08-18"
50,9,28,2,229,458,"2021-08-29"
51,9,99,2,29,58,"2021-08-29"
52,10,57,1,995,995,"2021-08-19"
53,10,122,2,145,290,"2021-08-19"
54,10,103,1,39,39,"2021-08-19"
55,11,7,2,524,1048,"2021-08-19"
56,11,54,4,235,940,"2021-08-19"
57,12,104,3,35,105,"2021-08-30"
58,12,75,3,199,597,"2021-08-30"
59,12,1,1,527,527,"2021-08-30"
60,12,17,1,1379,1379,"2021-08-30"
61,12,74,1,469,469,"2021-08-30"
62,12,82,1,389,389,"2021-08-30"
63,13,113,3,179,537,"2021-08-18"
64,13,72,1,289,289,"2021-08-18"
65,13,59,1,939,939,"2021-08-18"
66,13,72,2,289,578,"2021-08-18"
67,14,77,2,119,238,"2021-08-24"
68,14,75,3,199,597,"2021-08-24"
69,14,32,2,269,538,"2021-08-24"
70,14,119,2,35,70,"2021-08-24"
71,14,78,2,229,458,"2021-08-24"
72,15,119,2,35,70,"2021-08-21"
73,15,85,2,75,150,"2021-08-21"
74,15,11,2,600,1200,"2021-08-21"
75,15,52,1,425,425,"2021-08-21"
76,15,29,2,369,738,"2021-08-21"
77,15,105,5,29,145,"2021-08-21"
78,15,141,2,199,398,"2021-08-21"
79,16,92,2,379,758,"2021-08-08"
80,16,50,1,17500,17500,"2021-08-08"
81,16,14,2,549,1098,"2021-08-08"
82,16,122,1,145,145,"2021-08-08"
83,17,154,3,290,870,"2021-08-10"
84,17,148,2,2600,5200,"2021-08-10"
85,17,27,1,169,169,"2021-08-10"
86,17,82,1,389,389,"2021-08-10"
87,17,49,3,13000,39000,"2021-08-10"
88,17,105,1,29,29,"2021-08-10"
89,17,19,2,219,438,"2021-08-10"
90,17,150,2,4500,9000,"2021-08-10"
91,17,100,1,49,49,"2021-08-10"
92,18,129,3,1400,4200,"2021-08-08"
93,18,30,5,409,2045,"2021-08-08"
94,18,134,1,4885,4885,"2021-08-08"
95,19,17,1,1379,1379,"2021-08-11"
96,19,90,5,270,1350,"2021-08-11"
97,19,11,2,600,1200,"2021-08-11"
98,19,147,1,900,900,"2021-08-11"
99,20,115,1,175,175,"2021-08-27"
100,20,40,2,880,1760,"2021-08-27"
101,20,6,3,550,1650,"2021-08-27"
102,20,76,2,199,398,"2021-08-27"
103,20,92,1,379,379,"2021-08-27"
104,20,127,4,1200,4800,"2021-08-27"
105,21,143,2,2000,4000,"2021-08-23"
106,21,114,4,75,300,"2021-08-23"
107,21,85,1,75,75,"2021-08-23"
108,21,46,2,18900,37800,"2021-08-23"
109,21,140,1,145,145,"2021-08-23"
110,21,127,5,1200,6000,"2021-08-23"
111,21,135,2,89,178,"2021-08-23"
112,21,136,1,29,29,"2021-08-23"
113,21,38,2,235,470,"2021-08-23"
114,22,35,1,389,389,"2021-08-04"
115,22,144,1,2600,2600,"2021-08-04"
116,22,125,1,585,585,"2021-08-04"
117,22,17,1,1379,1379,"2021-08-04"
118,22,65,1,150,150,"2021-08-04"
119,23,77,3,119,357,"2021-08-15"
120,23,135,1,89,89,"2021-08-15"
121,24,156,2,150,300,"2021-08-19"
122,24,115,4,175,700,"2021-08-19"
123,24,82,2,389,778,"2021-08-19"
124,24,153,1,190,190,"2021-08-19"
125,25,11,1,600,600,"2021-08-20"
126,25,104,1,35,35,"2021-08-20"
127,25,141,2,199,398,"2021-08-20"
128,26,113,2,179,358,"2021-08-06"
129,26,55,4,280,1120,"2021-08-06"
130,26,64,1,779,779,"2021-08-06"
131,26,4,1,589,589,"2021-08-06"
132,26,18,2,205,410,"2021-08-06"
133,26,128,1,400,400,"2021-08-06"
134,27,130,1,70,70,"2021-08-01"
135,27,145,2,3300,6600,"2021-08-01"
136,27,147,3,900,2700,"2021-08-01"
137,27,86,2,85,170,"2021-08-01"
138,27,20,1,189,189,"2021-08-01"
139,27,61,1,79,79,"2021-08-01"
140,28,26,1,85,85,"2021-08-06"
141,28,145,1,3300,3300,"2021-08-06"
142,28,92,3,379,1137,"2021-08-06"
143,28,65,1,150,150,"2021-08-06"
144,29,134,1,4885,4885,"2021-08-20"
145,29,109,1,250,250,"2021-08-20"
146,29,45,4,51500,206000,"2021-08-20"
147,29,150,2,4500,9000,"2021-08-20"
148,30,42,1,52500,52500,"2021-08-05"
149,30,83,3,189,567,"2021-08-05"
150,30,86,4,85,340,"2021-08-05"
151,30,51,2,29000,58000,"2021-08-05"
152,31,25,4,359,1436,"2021-08-18"
153,32,113,1,179,179,"2021-08-06"
154,32,68,5,170,850,"2021-08-06"
155,32,98,1,115,115,"2021-08-06"
156,33,79,2,619,1238,"2021-08-20"
157,33,149,2,1100,2200,"2021-08-20"
158,33,70,2,279,558,"2021-08-20"
159,34,81,2,145,290,"2021-08-04"
160,34,116,1,179,179,"2021-08-04"
161,35,51,3,29000,87000,"2021-08-03"
162,35,18,4,205,820,"2021-08-03"
163,35,97,1,99,99,"2021-08-03"
164,36,124,1,239,239,"2021-08-27"
165,36,103,4,39,156,"2021-08-27"
166,36,108,1,300,300,"2021-08-27"
167,37,114,3,75,225,"2021-08-14"
168,37,101,4,139,556,"2021-08-14"
169,37,88,1,140,140,"2021-08-14"
170,37,148,3,2600,7800,"2021-08-14"
171,37,2,1,670,670,"2021-08-14"
