"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,80,41,"2021-11-30","2021-12-05",12,2021
2,1,2,20,37,"2021-11-09","2021-12-03",12,2021
3,1,3,16,44,"2021-11-22","2021-12-15",12,2021
4,1,4,188,23,"2021-11-13","2021-12-05",12,2021
5,1,5,4,24,"2021-11-09","2021-12-09",12,2021
6,1,6,155,45,"2021-11-02","2021-12-05",12,2021
7,1,7,94,12,"2021-11-19","2021-12-09",12,2021
8,1,8,72,16,"2021-11-14","2021-12-13",12,2021
9,1,9,132,16,"2021-11-13","2021-12-04",12,2021
10,1,10,27,28,"2021-11-11","2021-12-14",12,2021
11,1,11,68,48,"2021-11-25","2021-12-09",12,2021
12,1,12,24,26,"2021-11-07","2021-12-09",12,2021
13,1,13,163,40,"2021-11-15","2021-12-11",12,2021
14,1,14,164,28,"2021-11-29","2021-12-03",12,2021
15,1,15,61,42,"2021-11-02","2021-12-15",12,2021
16,1,16,172,41,"2021-11-13","2021-12-13",12,2021
17,1,17,188,26,"2021-11-03","2021-12-07",12,2021
18,1,18,28,37,"2021-11-11","2021-12-08",12,2021
19,1,19,64,34,"2021-11-13","2021-12-15",12,2021
20,1,20,26,49,"2021-11-17","2021-12-08",12,2021
21,1,21,117,49,"2021-11-23","2021-12-04",12,2021
22,1,22,63,37,"2021-11-07","2021-12-13",12,2021
23,1,23,138,33,"2021-11-16","2021-12-09",12,2021
24,1,24,30,30,"2021-11-06","2021-12-06",12,2021
25,1,25,121,54,"2021-11-05","2021-12-11",12,2021
26,1,26,35,42,"2021-11-11","2021-12-14",12,2021
27,1,27,152,22,"2021-11-16","2021-12-11",12,2021
28,1,28,36,36,"2021-11-07","2021-12-03",12,2021
29,1,29,88,23,"2021-11-02","2021-12-13",12,2021
30,1,30,28,39,"2021-11-17","2021-12-15",12,2021
31,1,31,3,24,"2021-11-22","2021-12-05",12,2021
32,1,32,63,44,"2021-11-06","2021-12-06",12,2021
33,1,33,95,44,"2021-11-17","2021-12-06",12,2021
34,1,34,166,11,"2021-11-06","2021-12-04",12,2021
35,1,35,168,23,"2021-11-21","2021-12-06",12,2021
36,1,36,28,35,"2021-11-01","2021-12-07",12,2021
37,1,37,62,10,"2021-11-24","2021-12-03",12,2021
38,1,38,139,49,"2021-11-18","2021-12-03",12,2021
39,1,39,90,37,"2021-11-04","2021-12-15",12,2021
40,1,40,172,41,"2021-11-06","2021-12-13",12,2021
41,1,41,108,24,"2021-11-16","2021-12-03",12,2021
42,1,42,53,15,"2021-11-04","2021-12-07",12,2021
43,1,43,1,31,"2021-11-15","2021-12-06",12,2021
44,1,44,128,39,"2021-11-20","2021-12-01",12,2021
45,1,45,130,29,"2021-11-09","2021-12-04",12,2021
46,1,46,160,12,"2021-11-05","2021-12-07",12,2021
47,1,47,62,21,"2021-11-06","2021-12-07",12,2021
48,1,48,198,18,"2021-11-03","2021-12-01",12,2021
49,1,49,128,15,"2021-11-04","2021-12-05",12,2021
50,1,50,160,21,"2021-11-21","2021-12-12",12,2021
51,1,51,88,31,"2021-11-13","2021-12-14",12,2021
52,1,52,74,31,"2021-11-18","2021-12-15",12,2021
53,1,53,84,12,"2021-11-16","2021-12-13",12,2021
54,1,54,114,34,"2021-11-06","2021-12-08",12,2021
55,1,55,87,38,"2021-11-06","2021-12-13",12,2021
56,1,56,114,47,"2021-11-18","2021-12-08",12,2021
57,1,57,112,13,"2021-11-10","2021-12-12",12,2021
58,1,58,150,36,"2021-11-24","2021-12-04",12,2021
59,1,59,173,14,"2021-11-24","2021-12-11",12,2021
60,1,60,27,34,"2021-11-10","2021-12-11",12,2021
61,1,61,94,12,"2021-11-30","2021-12-05",12,2021
62,1,62,61,41,"2021-11-21","2021-12-14",12,2021
63,1,63,56,24,"2021-11-23","2021-12-14",12,2021
64,1,64,49,31,"2021-11-06","2021-12-11",12,2021
65,1,65,21,46,"2021-11-22","2021-12-08",12,2021
66,1,66,146,12,"2021-11-02","2021-12-11",12,2021
67,1,67,45,43,"2021-11-16","2021-12-12",12,2021
68,1,68,193,22,"2021-11-16","2021-12-09",12,2021
69,1,69,58,21,"2021-11-02","2021-12-01",12,2021
70,1,70,189,14,"2021-11-18","2021-12-04",12,2021
71,1,71,39,43,"2021-11-25","2021-12-09",12,2021
72,1,72,82,49,"2021-11-06","2021-12-10",12,2021
73,1,73,39,40,"2021-11-04","2021-12-14",12,2021
74,1,74,191,15,"2021-11-10","2021-12-10",12,2021
75,1,75,191,48,"2021-11-27","2021-12-06",12,2021
76,1,76,11,13,"2021-11-25","2021-12-12",12,2021
77,1,77,109,25,"2021-11-15","2021-12-04",12,2021
78,1,78,14,22,"2021-11-05","2021-12-03",12,2021
79,1,79,67,49,"2021-11-20","2021-12-07",12,2021
80,1,80,166,21,"2021-11-04","2021-12-13",12,2021
81,1,81,184,14,"2021-11-04","2021-12-01",12,2021
82,1,82,51,16,"2021-11-07","2021-12-15",12,2021
83,1,83,8,18,"2021-11-12","2021-12-12",12,2021
84,1,84,191,31,"2021-11-18","2021-12-13",12,2021
