"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2021-12-24 14:02:00",9,100447,132877,0.0,132877.0,"Mobile Wallet",22589.09,155466.09,1328
2,"2021-12-02 14:41:00",17,100692,827,0.0,827.0,"Mobile Wallet",140.59,967.59,8
3,"2021-12-07 20:07:00",11,101143,6905,1381.0,5524.0,"Debit Card",939.08,6463.08,55
4,"2021-12-26 16:09:00",15,100577,1467,146.7,1320.3,"Bank Transfer",224.45,1544.75,13
5,"2021-12-11 14:00:00",2,100790,4386,219.3,4166.7,"Mobile Wallet",708.34,4875.04,41
6,"2021-12-05 17:34:00",6,100276,93127,0.0,93127.0,"Credit Card",15831.59,108958.59,931
7,"2021-12-30 12:06:00",9,100478,549,109.8,439.2,"Bank Transfer",74.66,513.86,4
8,"2021-12-30 18:25:00",6,100143,129209,0.0,129209.0,"Mobile Wallet",21965.53,151174.53,1292
9,"2021-12-22 15:41:00",17,100587,213449,10672.45,202776.55,"Mobile Wallet",34472.01,237248.56,2027
10,"2021-12-22 11:36:00",18,100331,2992,0.0,2992.0,"Credit Card",508.64,3500.64,29
11,"2021-12-15 20:48:00",13,100762,1661,0.0,1661.0,"Credit Card",282.37,1943.37,16
12,"2021-12-19 11:28:00",4,100969,573,0.0,573.0,"Credit Card",97.41,670.41,5
13,"2021-12-12 12:34:00",16,101190,5888,0.0,5888.0,"Credit Card",1000.96,6888.96,58
14,"2021-12-09 10:44:00",3,100193,2860,0.0,2860.0,"Mobile Wallet",486.2,3346.2,28
15,"2021-12-30 11:59:00",17,101097,26516,3977.4,22538.6,"Credit Card",3831.56,26370.16,225
16,"2021-12-15 19:22:00",7,100372,9087,1363.05,7723.95,"Bank Transfer",1313.07,9037.02,77
17,"2021-12-14 18:47:00",2,100885,2223,0.0,2223.0,"Debit Card",377.91,2600.91,22
18,"2021-12-18 18:30:00",10,101125,116470,0.0,116470.0,"Cash",19799.9,136269.9,1164
19,"2021-12-07 16:40:00",15,100013,29299,1464.95,27834.05,"Cash",4731.79,32565.84,278
20,"2021-12-17 20:56:00",1,100729,4366,873.2,3492.8,"Bank Transfer",593.78,4086.58,34
21,"2021-12-30 16:04:00",3,100840,33116,0.0,33116.0,"Bank Transfer",5629.72,38745.72,331
22,"2021-12-02 17:28:00",3,101015,2575,0.0,2575.0,"Cash",437.75,3012.75,25
23,"2021-12-29 18:51:00",11,100819,70782,0.0,70782.0,"Mobile Wallet",12032.94,82814.94,707
24,"2021-12-15 18:57:00",8,100119,2730,136.5,2593.5,"Credit Card",440.9,3034.4,25
25,"2021-12-08 13:41:00",4,100060,19250,962.5,18287.5,"Debit Card",3108.88,21396.38,182
