"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,144,1,2600,2600,"2021-12-24"
2,1,84,1,75,75,"2021-12-24"
3,1,86,1,85,85,"2021-12-24"
4,1,50,5,17500,87500,"2021-12-24"
5,1,118,1,199,199,"2021-12-24"
6,1,50,2,17500,35000,"2021-12-24"
7,1,145,2,3300,6600,"2021-12-24"
8,1,30,2,409,818,"2021-12-24"
9,2,32,2,269,538,"2021-12-02"
10,2,72,1,289,289,"2021-12-02"
11,3,60,5,345,1725,"2021-12-07"
12,3,20,5,189,945,"2021-12-07"
13,3,54,1,235,235,"2021-12-07"
14,3,148,1,2600,2600,"2021-12-07"
15,3,126,4,350,1400,"2021-12-07"
16,4,29,2,369,738,"2021-12-26"
17,4,152,2,180,360,"2021-12-26"
18,4,29,1,369,369,"2021-12-26"
19,5,39,2,575,1150,"2021-12-11"
20,5,113,1,179,179,"2021-12-11"
21,5,36,4,469,1876,"2021-12-11"
22,5,124,4,239,956,"2021-12-11"
23,5,85,3,75,225,"2021-12-11"
24,6,72,2,289,578,"2021-12-05"
25,6,43,2,20000,40000,"2021-12-05"
26,6,100,1,49,49,"2021-12-05"
27,6,42,1,52500,52500,"2021-12-05"
28,7,80,1,549,549,"2021-12-30"
29,8,42,2,52500,105000,"2021-12-30"
30,8,117,1,225,225,"2021-12-30"
31,8,134,1,4885,4885,"2021-12-30"
32,8,46,1,18900,18900,"2021-12-30"
33,8,75,1,199,199,"2021-12-30"
34,9,91,3,150,450,"2021-12-22"
35,9,42,4,52500,210000,"2021-12-22"
36,9,24,3,825,2475,"2021-12-22"
37,9,122,3,145,435,"2021-12-22"
38,9,96,1,89,89,"2021-12-22"
39,10,103,1,39,39,"2021-12-22"
40,10,106,5,400,2000,"2021-12-22"
41,10,122,3,145,435,"2021-12-22"
42,10,67,1,180,180,"2021-12-22"
43,10,27,2,169,338,"2021-12-22"
44,11,7,1,524,524,"2021-12-15"
45,11,92,3,379,1137,"2021-12-15"
46,12,94,1,19,19,"2021-12-19"
47,12,74,1,469,469,"2021-12-19"
48,12,86,1,85,85,"2021-12-19"
49,13,112,3,85,255,"2021-12-12"
50,13,64,1,779,779,"2021-12-12"
51,13,127,2,1200,2400,"2021-12-12"
52,13,84,2,75,150,"2021-12-12"
53,13,96,1,89,89,"2021-12-12"
54,13,16,1,1300,1300,"2021-12-12"
55,13,37,2,415,830,"2021-12-12"
56,13,86,1,85,85,"2021-12-12"
57,14,92,3,379,1137,"2021-12-09"
58,14,78,2,229,458,"2021-12-09"
59,14,112,2,85,170,"2021-12-09"
60,14,61,4,79,316,"2021-12-09"
61,14,64,1,779,779,"2021-12-09"
62,15,41,4,575,2300,"2021-12-30"
63,15,28,4,229,916,"2021-12-30"
64,15,43,1,20000,20000,"2021-12-30"
65,15,24,4,825,3300,"2021-12-30"
66,16,30,1,409,409,"2021-12-15"
67,16,141,1,199,199,"2021-12-15"
68,16,143,4,2000,8000,"2021-12-15"
69,16,65,2,150,300,"2021-12-15"
70,16,116,1,179,179,"2021-12-15"
71,17,20,3,189,567,"2021-12-14"
72,17,97,1,99,99,"2021-12-14"
73,17,71,2,410,820,"2021-12-14"
74,17,104,4,35,140,"2021-12-14"
75,17,141,3,199,597,"2021-12-14"
76,18,43,2,20000,40000,"2021-12-18"
77,18,154,3,290,870,"2021-12-18"
78,18,46,4,18900,75600,"2021-12-18"
79,19,27,4,169,676,"2021-12-07"
80,19,47,3,9000,27000,"2021-12-07"
81,19,28,2,229,458,"2021-12-07"
82,19,56,1,1165,1165,"2021-12-07"
83,20,93,2,29,58,"2021-12-17"
84,20,40,4,880,3520,"2021-12-17"
85,20,78,2,229,458,"2021-12-17"
86,20,109,1,250,250,"2021-12-17"
87,20,123,1,80,80,"2021-12-17"
88,21,51,1,29000,29000,"2021-12-30"
89,21,14,2,549,1098,"2021-12-30"
90,21,91,1,150,150,"2021-12-30"
91,21,149,2,1100,2200,"2021-12-30"
92,21,100,2,49,98,"2021-12-30"
93,21,110,2,75,150,"2021-12-30"
94,21,120,1,275,275,"2021-12-30"
95,21,81,1,145,145,"2021-12-30"
96,22,65,1,150,150,"2021-12-02"
97,22,94,2,19,38,"2021-12-02"
98,22,141,1,199,199,"2021-12-02"
99,22,34,2,315,630,"2021-12-02"
100,22,64,2,779,1558,"2021-12-02"
101,23,73,3,369,1107,"2021-12-29"
102,23,118,2,199,398,"2021-12-29"
103,23,44,1,66900,66900,"2021-12-29"
104,23,111,4,175,700,"2021-12-29"
105,23,90,4,270,1080,"2021-12-29"
106,23,118,3,199,597,"2021-12-29"
107,24,60,1,345,345,"2021-12-15"
108,24,89,1,350,350,"2021-12-15"
109,24,143,1,2000,2000,"2021-12-15"
110,24,104,1,35,35,"2021-12-15"
111,25,46,1,18900,18900,"2021-12-08"
112,25,115,2,175,350,"2021-12-08"
113,26,28,2,229,458,"2021-12-13"
114,26,27,2,169,338,"2021-12-13"
115,26,74,1,469,469,"2021-12-13"
116,26,137,2,90,180,"2021-12-13"
117,27,19,2,219,438,"2021-12-06"
118,27,72,1,289,289,"2021-12-06"
119,27,124,2,239,478,"2021-12-06"
120,27,52,2,425,850,"2021-12-06"
121,27,114,1,75,75,"2021-12-06"
122,28,10,2,481,962,"2021-12-11"
123,28,144,2,2600,5200,"2021-12-11"
124,28,2,5,670,3350,"2021-12-11"
125,28,52,2,425,850,"2021-12-11"
126,28,126,1,350,350,"2021-12-11"
127,28,102,2,15,30,"2021-12-11"
128,28,124,1,239,239,"2021-12-11"
129,29,85,1,75,75,"2021-12-24"
