"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2021-02-14 17:49:00",12,100382,5642,1128.4,4513.6,"Mobile Wallet",767.31,5280.91,45
2,"2021-02-28 19:01:00",19,100542,1963,0.0,1963.0,"Cash",333.71,2296.71,19
3,"2021-02-23 16:47:00",1,100985,5051,0.0,5051.0,"Credit Card",858.67,5909.67,50
4,"2021-02-23 18:18:00",2,100180,648,0.0,648.0,"Cash",110.16,758.16,6
5,"2021-02-15 13:23:00",6,100452,4804,240.2,4563.8,"Bank Transfer",775.85,5339.65,45
6,"2021-02-09 19:58:00",8,101026,73089,0.0,73089.0,"Cash",12425.13,85514.13,730
7,"2021-02-08 11:23:00",10,100741,750,0.0,750.0,"Debit Card",127.5,877.5,7
8,"2021-02-21 09:50:00",14,100037,54107,8116.05,45990.95,"Bank Transfer",7818.46,53809.41,459
9,"2021-02-27 16:05:00",10,100589,9770,0.0,9770.0,"Credit Card",1660.9,11430.9,97
10,"2021-02-05 16:34:00",9,100611,4974,497.4,4476.6,"Credit Card",761.02,5237.62,44
11,"2021-02-13 18:55:00",15,100774,167078,0.0,167078.0,"Cash",28403.26,195481.26,1670
12,"2021-02-13 17:14:00",15,100744,6285,0.0,6285.0,"Mobile Wallet",1068.45,7353.45,62
13,"2021-02-04 11:58:00",6,100312,1266,0.0,1266.0,"Mobile Wallet",215.22,1481.22,12
14,"2021-02-23 16:40:00",9,100904,4370,437.0,3933.0,"Cash",668.61,4601.61,39
15,"2021-02-22 20:17:00",5,100390,240,36.0,204.0,"Cash",34.68,238.68,2
16,"2021-02-02 12:56:00",3,100823,55163,0.0,55163.0,"Credit Card",9377.71,64540.71,551
17,"2021-02-19 20:20:00",3,100692,13500,675.0,12825.0,"Cash",2180.25,15005.25,128
18,"2021-02-06 18:45:00",4,100511,1197,0.0,1197.0,"Cash",203.49,1400.49,11
19,"2021-02-01 12:19:00",14,101069,244,12.2,231.8,"Mobile Wallet",39.41,271.21,2
20,"2021-02-02 14:13:00",13,100353,3938,590.7,3347.3,"Debit Card",569.04,3916.34,33
21,"2021-02-27 16:55:00",15,100180,1256,0.0,1256.0,"Cash",213.52,1469.52,12
22,"2021-02-26 10:02:00",7,100035,4351,0.0,4351.0,"Mobile Wallet",739.67,5090.67,43
23,"2021-02-23 18:02:00",6,100294,3380,0.0,3380.0,"Debit Card",574.6,3954.6,33
24,"2021-02-15 18:44:00",14,100162,82658,0.0,82658.0,"Cash",14051.86,96709.86,826
25,"2021-02-06 11:23:00",14,101069,9406,0.0,9406.0,"Mobile Wallet",1599.02,11005.02,94
26,"2021-02-07 10:32:00",13,100382,1588,158.8,1429.2,"Debit Card",242.96,1672.16,14
27,"2021-02-13 18:14:00",1,100591,3506,350.6,3155.4,"Cash",536.42,3691.82,31
28,"2021-02-03 20:39:00",17,101201,17039,2555.85,14483.15,"Mobile Wallet",2462.14,16945.29,144
29,"2021-02-07 17:06:00",5,100997,2166,108.3,2057.7,"Bank Transfer",349.81,2407.51,20
30,"2021-02-19 19:50:00",12,100086,7573,0.0,7573.0,"Cash",1287.41,8860.41,75
31,"2021-02-26 13:33:00",9,100694,5434,0.0,5434.0,"Cash",923.78,6357.78,54
32,"2021-02-04 18:26:00",4,100781,1575,0.0,1575.0,"Credit Card",267.75,1842.75,15
33,"2021-02-12 18:33:00",1,100092,3820,0.0,3820.0,"Mobile Wallet",649.4,4469.4,38
34,"2021-02-23 18:52:00",12,100798,7321,366.05,6954.95,"Mobile Wallet",1182.34,8137.29,69
35,"2021-02-22 13:30:00",11,100164,8069,403.45,7665.55,"Cash",1303.14,8968.69,76
36,"2021-02-13 12:05:00",19,100305,4546,227.3,4318.7,"Credit Card",734.18,5052.88,43
