"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,97,4,99,396,"2021-02-14"
2,1,73,4,369,1476,"2021-02-14"
3,1,53,2,1120,2240,"2021-02-14"
4,1,152,2,180,360,"2021-02-14"
5,1,125,2,585,1170,"2021-02-14"
6,2,96,3,89,267,"2021-02-28"
7,2,118,3,199,597,"2021-02-28"
8,2,75,1,199,199,"2021-02-28"
9,2,152,5,180,900,"2021-02-28"
10,3,109,2,250,500,"2021-02-23"
11,3,22,3,67,201,"2021-02-23"
12,3,143,2,2000,4000,"2021-02-23"
13,3,111,2,175,350,"2021-02-23"
14,4,18,2,205,410,"2021-02-23"
15,4,77,2,119,238,"2021-02-23"
16,5,5,2,575,1150,"2021-02-15"
17,5,29,1,369,369,"2021-02-15"
18,5,128,3,400,1200,"2021-02-15"
19,5,19,3,219,657,"2021-02-15"
20,5,96,2,89,178,"2021-02-15"
21,5,89,3,350,1050,"2021-02-15"
22,5,155,1,200,200,"2021-02-15"
23,6,50,4,17500,70000,"2021-02-09"
24,6,31,2,335,670,"2021-02-09"
25,6,83,1,189,189,"2021-02-09"
26,6,37,2,415,830,"2021-02-09"
27,6,89,4,350,1400,"2021-02-09"
28,7,115,1,175,175,"2021-02-08"
29,7,3,1,575,575,"2021-02-08"
30,8,73,1,369,369,"2021-02-21"
31,8,111,1,175,175,"2021-02-21"
32,8,120,1,275,275,"2021-02-21"
33,8,97,4,99,396,"2021-02-21"
34,8,18,1,205,205,"2021-02-21"
35,8,28,3,229,687,"2021-02-21"
36,8,49,4,13000,52000,"2021-02-21"
37,9,134,2,4885,9770,"2021-02-27"
38,10,64,3,779,2337,"2021-02-05"
39,10,107,3,450,1350,"2021-02-05"
40,10,65,1,150,150,"2021-02-05"
41,10,74,2,469,938,"2021-02-05"
42,10,141,1,199,199,"2021-02-05"
43,11,42,3,52500,157500,"2021-02-13"
44,11,137,2,90,180,"2021-02-13"
45,11,47,1,9000,9000,"2021-02-13"
46,11,118,2,199,398,"2021-02-13"
47,12,33,5,765,3825,"2021-02-13"
48,12,22,1,67,67,"2021-02-13"
49,12,95,2,49,98,"2021-02-13"
50,12,33,3,765,2295,"2021-02-13"
51,13,80,1,549,549,"2021-02-04"
52,13,84,2,75,150,"2021-02-04"
53,13,106,1,400,400,"2021-02-04"
54,13,131,1,80,80,"2021-02-04"
55,13,136,3,29,87,"2021-02-04"
56,14,69,4,170,680,"2021-02-23"
