"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,28,13,"2020-12-07","2021-01-11",1,2021
2,1,2,69,14,"2020-12-02","2021-01-11",1,2021
3,1,3,163,26,"2020-12-12","2021-01-08",1,2021
4,1,4,12,48,"2020-12-16","2021-01-07",1,2021
5,1,5,177,14,"2020-12-04","2021-01-15",1,2021
6,1,6,50,29,"2020-12-19","2021-01-06",1,2021
7,1,7,143,16,"2020-12-31","2021-01-09",1,2021
8,1,8,194,48,"2020-12-30","2021-01-12",1,2021
9,1,9,54,28,"2020-12-08","2021-01-15",1,2021
10,1,10,173,48,"2020-12-22","2021-01-06",1,2021
11,1,11,14,40,"2020-12-21","2021-01-12",1,2021
12,1,12,101,15,"2020-12-09","2021-01-03",1,2021
13,1,13,192,28,"2020-12-16","2021-01-15",1,2021
14,1,14,105,39,"2020-12-10","2021-01-02",1,2021
15,1,15,145,26,"2020-12-14","2021-01-06",1,2021
16,1,16,13,28,"2020-12-27","2021-01-05",1,2021
17,1,17,144,15,"2020-12-19","2021-01-03",1,2021
18,1,18,106,57,"2020-12-21","2021-01-10",1,2021
19,1,19,75,35,"2020-12-26","2021-01-01",1,2021
20,1,20,76,56,"2020-12-26","2021-01-11",1,2021
21,1,21,31,47,"2020-12-16","2021-01-05",1,2021
22,1,22,48,42,"2020-12-18","2021-01-04",1,2021
23,1,23,21,54,"2020-12-14","2021-01-05",1,2021
24,1,24,144,41,"2020-12-16","2021-01-10",1,2021
25,1,25,127,52,"2020-12-26","2021-01-15",1,2021
26,1,26,117,40,"2020-12-05","2021-01-11",1,2021
27,1,27,33,25,"2020-12-18","2021-01-15",1,2021
28,1,28,134,37,"2020-12-25","2021-01-07",1,2021
29,1,29,2,22,"2020-12-06","2021-01-08",1,2021
30,1,30,93,50,"2020-12-23","2021-01-05",1,2021
31,1,31,170,44,"2020-12-16","2021-01-09",1,2021
32,1,32,90,34,"2020-12-22","2021-01-13",1,2021
33,1,33,186,16,"2020-12-24","2021-01-08",1,2021
34,1,34,67,10,"2020-12-20","2021-01-03",1,2021
35,1,35,113,21,"2020-12-04","2021-01-13",1,2021
36,1,36,29,44,"2020-12-17","2021-01-03",1,2021
37,1,37,157,10,"2020-12-31","2021-01-15",1,2021
38,1,38,93,22,"2020-12-29","2021-01-14",1,2021
39,1,39,37,38,"2020-12-28","2021-01-04",1,2021
40,1,40,12,48,"2020-12-25","2021-01-08",1,2021
41,1,41,39,42,"2020-12-14","2021-01-13",1,2021
42,1,42,14,15,"2020-12-11","2021-01-04",1,2021
43,1,43,180,50,"2020-12-20","2021-01-15",1,2021
44,1,44,48,26,"2020-12-27","2021-01-03",1,2021
45,1,45,96,14,"2020-12-08","2021-01-15",1,2021
46,1,46,59,10,"2020-12-03","2021-01-13",1,2021
47,1,47,15,37,"2020-12-16","2021-01-13",1,2021
48,1,48,3,40,"2020-12-24","2021-01-11",1,2021
49,1,49,20,47,"2020-12-13","2021-01-12",1,2021
50,1,50,174,17,"2020-12-05","2021-01-10",1,2021
51,1,51,35,27,"2020-12-15","2021-01-11",1,2021
52,1,52,148,31,"2020-12-27","2021-01-08",1,2021
53,1,53,128,46,"2020-12-12","2021-01-07",1,2021
54,1,54,162,27,"2020-12-19","2021-01-01",1,2021
55,1,55,56,44,"2020-12-23","2021-01-15",1,2021
56,1,56,95,40,"2020-12-09","2021-01-04",1,2021
57,1,57,178,43,"2020-12-20","2021-01-01",1,2021
58,1,58,38,29,"2020-12-22","2021-01-10",1,2021
59,1,59,81,25,"2020-12-15","2021-01-10",1,2021
60,1,60,159,15,"2020-12-04","2021-01-07",1,2021
61,1,61,136,21,"2020-12-31","2021-01-12",1,2021
62,1,62,72,47,"2020-12-25","2021-01-13",1,2021
63,1,63,163,18,"2020-12-28","2021-01-11",1,2021
64,1,64,39,17,"2020-12-16","2021-01-10",1,2021
65,1,65,51,47,"2020-12-31","2021-01-14",1,2021
66,1,66,93,30,"2020-12-05","2021-01-01",1,2021
67,1,67,77,47,"2020-12-03","2021-01-06",1,2021
68,1,68,2,12,"2020-12-07","2021-01-12",1,2021
69,1,69,62,36,"2020-12-05","2021-01-12",1,2021
70,1,70,3,41,"2020-12-21","2021-01-12",1,2021
71,1,71,166,41,"2020-12-20","2021-01-02",1,2021
72,1,72,80,15,"2020-12-18","2021-01-11",1,2021
73,1,73,190,20,"2020-12-17","2021-01-08",1,2021
