"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,154,4,290,1160,"2021-01-29"
2,1,25,3,359,1077,"2021-01-29"
3,1,146,3,1100,3300,"2021-01-29"
4,1,32,1,269,269,"2021-01-29"
5,1,115,2,175,350,"2021-01-29"
6,1,107,3,450,1350,"2021-01-29"
7,1,84,2,75,150,"2021-01-29"
8,1,123,5,80,400,"2021-01-29"
9,2,104,1,35,35,"2021-01-09"
10,2,144,3,2600,7800,"2021-01-09"
11,2,129,1,1400,1400,"2021-01-09"
12,2,116,2,179,358,"2021-01-09"
13,3,90,1,270,270,"2021-01-02"
14,3,83,2,189,378,"2021-01-02"
15,3,87,3,270,810,"2021-01-02"
16,3,89,4,350,1400,"2021-01-02"
17,3,97,3,99,297,"2021-01-02"
18,4,67,2,180,360,"2021-01-11"
19,4,14,2,549,1098,"2021-01-11"
20,4,124,2,239,478,"2021-01-11"
21,4,89,1,350,350,"2021-01-11"
22,4,76,1,199,199,"2021-01-11"
23,5,31,1,335,335,"2021-01-31"
24,5,28,1,229,229,"2021-01-31"
25,5,58,1,929,929,"2021-01-31"
26,5,15,2,599,1198,"2021-01-31"
27,6,125,2,585,1170,"2021-01-16"
28,6,121,1,179,179,"2021-01-16"
29,6,100,3,49,147,"2021-01-16"
30,6,136,2,29,58,"2021-01-16"
31,6,91,1,150,150,"2021-01-16"
32,6,82,4,389,1556,"2021-01-16"
33,7,45,5,51500,257500,"2021-01-16"
34,7,81,2,145,290,"2021-01-16"
35,7,58,5,929,4645,"2021-01-16"
36,7,39,1,575,575,"2021-01-16"
37,7,126,3,350,1050,"2021-01-16"
38,7,96,2,89,178,"2021-01-16"
39,7,111,1,175,175,"2021-01-16"
40,7,61,1,79,79,"2021-01-16"
41,8,104,2,35,70,"2021-01-17"
42,8,139,1,109,109,"2021-01-17"
43,8,143,1,2000,2000,"2021-01-17"
44,8,76,2,199,398,"2021-01-17"
45,8,67,2,180,360,"2021-01-17"
46,9,58,5,929,4645,"2021-01-22"
47,9,59,2,939,1878,"2021-01-22"
48,9,107,2,450,900,"2021-01-22"
49,9,84,1,75,75,"2021-01-22"
50,9,35,1,389,389,"2021-01-22"
51,9,58,2,929,1858,"2021-01-22"
52,9,111,2,175,350,"2021-01-22"
53,9,38,4,235,940,"2021-01-22"
54,10,70,2,279,558,"2021-01-01"
55,10,78,5,229,1145,"2021-01-01"
56,11,126,1,350,350,"2021-01-17"
57,11,141,2,199,398,"2021-01-17"
58,11,57,4,995,3980,"2021-01-17"
59,11,141,1,199,199,"2021-01-17"
60,11,75,1,199,199,"2021-01-17"
61,11,88,3,140,420,"2021-01-17"
62,12,18,1,205,205,"2021-01-28"
63,12,116,1,179,179,"2021-01-28"
64,12,137,3,90,270,"2021-01-28"
