"promotion_id","product_id","promotion_name","discount_type","discount_value","start_date","end_date","month","year"
1,152,"Special Offer on Harpic Toilet Cleaner 500ml","percentage",25,"2021-07-02","2021-07-11",7,2021
2,68,"Special Offer on Red Slanty Chips 100g","fixed",150,"2021-07-09","2021-07-21",7,2021
3,118,"Special Offer on Rani Juice Can 240ml","fixed",150,"2021-07-20","2021-08-01",7,2021
4,90,"Special Offer on Mitchell's Tomato Ketchup 500g","fixed",200,"2021-07-18","2021-07-28",7,2021
5,154,"Special Offer on Air Freshener (Generic) 300ml","fixed",100,"2021-07-10","2021-07-16",7,2021
6,10,"Special Offer on Barkat Cooking Oil 1L","percentage",15,"2021-07-23","2021-07-28",7,2021
7,143,"Special Offer on Walnuts (Akhrot) 1kg","fixed",200,"2021-07-20","2021-07-26",7,2021
8,51,"Special Offer on PEL Microwave Oven 32L DW-132S","percentage",20,"2021-07-15","2021-07-21",7,2021
9,39,"Special Offer on Surf Excel Detergent Powder 1kg","fixed",200,"2021-07-23","2021-07-26",7,2021
10,63,"Special Offer on Choco Bliss Milk Spread 675g","percentage",25,"2021-07-06","2021-07-11",7,2021
11,25,"Special Offer on Comelle Condensed Milk 397g","fixed",100,"2021-07-13","2021-07-27",7,2021
12,114,"Special Offer on Mountain Dew Can","fixed",50,"2021-07-11","2021-07-16",7,2021
13,112,"Special Offer on Coca Cola Can","percentage",10,"2021-07-14","2021-07-18",7,2021
14,124,"Special Offer on Tang Pineapple 375g","percentage",10,"2021-07-16","2021-07-28",7,2021
15,101,"Special Offer on Ginger 250g","fixed",100,"2021-07-01","2021-07-08",7,2021
16,18,"Special Offer on Haleeb Asli Full Cream Milk 1L","percentage",25,"2021-07-04","2021-07-16",7,2021
