"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2021-07-09 10:45:00",6,100359,35214,0.0,35214.0,"Debit Card",5986.38,41200.38,352
2,"2021-07-28 18:55:00",5,100755,8173,0.0,8173.0,"Cash",1389.41,9562.41,81
3,"2021-07-12 16:25:00",5,100420,9434,0.0,9434.0,"Mobile Wallet",1603.78,11037.78,94
4,"2021-07-15 11:49:00",7,101078,1019,254.75,764.25,"Cash",129.92,894.17,7
5,"2021-07-11 19:45:00",17,100556,4671,0.0,4671.0,"Bank Transfer",794.07,5465.07,46
6,"2021-07-02 10:37:00",1,100523,3894,389.4,3504.6,"Mobile Wallet",595.78,4100.38,35
7,"2021-07-15 18:50:00",15,100315,24482,0.0,24482.0,"Debit Card",4161.94,28643.94,244
8,"2021-07-23 15:53:00",3,101081,1410,70.5,1339.5,"Cash",227.72,1567.22,13
9,"2021-07-16 20:18:00",12,100628,2375,0.0,2375.0,"Bank Transfer",403.75,2778.75,23
10,"2021-07-06 18:02:00",15,100529,917,0.0,917.0,"Debit Card",155.89,1072.89,9
11,"2021-07-26 16:28:00",1,100065,4766,476.6,4289.4,"Bank Transfer",729.2,5018.6,42
12,"2021-07-15 13:53:00",10,100935,2731,0.0,2731.0,"Bank Transfer",464.27,3195.27,27
13,"2021-07-31 17:09:00",1,100009,16725,0.0,16725.0,"Debit Card",2843.25,19568.25,167
14,"2021-07-24 20:40:00",15,100992,6734,0.0,6734.0,"Credit Card",1144.78,7878.78,67
15,"2021-07-30 17:44:00",4,100996,3583,179.15,3403.85,"Credit Card",578.65,3982.5,34
16,"2021-07-16 10:01:00",5,101099,10389,0.0,10389.0,"Bank Transfer",1766.13,12155.13,103
17,"2021-07-05 17:46:00",10,100336,2765,138.25,2626.75,"Debit Card",446.55,3073.3,26
18,"2021-07-08 14:09:00",17,100722,113052,11305.2,101746.8,"Credit Card",17296.96,119043.76,1017
19,"2021-07-16 12:28:00",17,100671,1975,98.75,1876.25,"Cash",318.96,2195.21,18
20,"2021-07-23 14:50:00",8,100187,59217,5921.7,53295.3,"Mobile Wallet",9060.2,62355.5,532
21,"2021-07-09 16:40:00",18,100427,853,0.0,853.0,"Cash",145.01,998.01,8
22,"2021-07-18 13:42:00",1,101051,103729,0.0,103729.0,"Mobile Wallet",17633.93,121362.93,1037
23,"2021-07-18 18:46:00",18,100154,98485,24621.25,73863.75,"Bank Transfer",12556.84,86420.59,738
24,"2021-07-02 09:13:00",17,101112,68615,0.0,68615.0,"Debit Card",11664.55,80279.55,686
25,"2021-07-15 15:05:00",2,100003,5054,0.0,5054.0,"Debit Card",859.18,5913.18,50
26,"2021-07-30 15:53:00",19,100949,1190,119.0,1071.0,"Credit Card",182.07,1253.07,10
27,"2021-07-16 16:05:00",17,101164,20970,0.0,20970.0,"Cash",3564.9,24534.9,209
28,"2021-07-01 13:50:00",11,100620,3095,0.0,3095.0,"Bank Transfer",526.15,3621.15,30
29,"2021-07-18 10:45:00",19,100479,7075,1061.25,6013.75,"Credit Card",1022.34,7036.09,60
30,"2021-07-26 20:49:00",12,100036,2579,0.0,2579.0,"Bank Transfer",438.43,3017.43,25
31,"2021-07-03 18:00:00",7,100430,105203,0.0,105203.0,"Bank Transfer",17884.51,123087.51,1052
32,"2021-07-19 09:53:00",15,100044,6455,322.75,6132.25,"Debit Card",1042.48,7174.73,61
33,"2021-07-02 12:53:00",11,101081,11449,0.0,11449.0,"Credit Card",1946.33,13395.33,114
34,"2021-07-07 19:54:00",14,100884,3173,0.0,3173.0,"Credit Card",539.41,3712.41,31
35,"2021-07-11 11:32:00",4,100920,1969,0.0,1969.0,"Bank Transfer",334.73,2303.73,19
36,"2021-07-03 11:06:00",8,100242,6632,0.0,6632.0,"Bank Transfer",1127.44,7759.44,66
37,"2021-07-08 11:41:00",12,101115,2589,258.9,2330.1,"Credit Card",396.12,2726.22,23
38,"2021-07-12 16:23:00",16,100314,2586,0.0,2586.0,"Credit Card",439.62,3025.62,25
39,"2021-07-24 14:47:00",18,100320,2938,0.0,2938.0,"Cash",499.46,3437.46,29
40,"2021-07-10 19:48:00",10,100272,4515,0.0,4515.0,"Debit Card",767.55,5282.55,45
41,"2021-07-23 17:40:00",15,100234,2294,0.0,2294.0,"Bank Transfer",389.98,2683.98,22
42,"2021-07-17 16:38:00",5,101197,3010,0.0,3010.0,"Cash",511.7,3521.7,30
43,"2021-07-06 10:52:00",8,101026,1508,0.0,1508.0,"Cash",256.36,1764.36,15
44,"2021-07-11 17:35:00",7,100274,164478,0.0,164478.0,"Credit Card",27961.26,192439.26,1644
45,"2021-07-13 13:47:00",10,100738,2209,0.0,2209.0,"Cash",375.53,2584.53,22
46,"2021-07-23 10:42:00",13,100148,19400,0.0,19400.0,"Credit Card",3298.0,22698.0,194
47,"2021-07-17 20:54:00",15,100358,160941,0.0,160941.0,"Debit Card",27359.97,188300.97,1609
48,"2021-07-06 19:06:00",14,100752,4747,237.35,4509.65,"Debit Card",766.64,5276.29,45
49,"2021-07-21 18:50:00",18,100561,11257,0.0,11257.0,"Cash",1913.69,13170.69,112
