"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,135,1,89,89,"2021-07-09"
2,1,81,2,145,290,"2021-07-09"
3,1,51,1,29000,29000,"2021-07-09"
4,1,14,2,549,1098,"2021-07-09"
5,1,16,3,1300,3900,"2021-07-09"
6,1,123,3,80,240,"2021-07-09"
7,1,118,3,199,597,"2021-07-09"
8,2,10,3,481,1443,"2021-07-28"
9,2,86,3,85,255,"2021-07-28"
10,2,27,1,169,169,"2021-07-28"
11,2,57,2,995,1990,"2021-07-28"
12,2,106,3,400,1200,"2021-07-28"
13,2,64,4,779,3116,"2021-07-28"
14,3,143,2,2000,4000,"2021-07-12"
15,3,80,2,549,1098,"2021-07-12"
16,3,78,1,229,229,"2021-07-12"
17,3,62,4,545,2180,"2021-07-12"
18,3,100,2,49,98,"2021-07-12"
19,3,147,2,900,1800,"2021-07-12"
20,3,105,1,29,29,"2021-07-12"
21,4,77,1,119,119,"2021-07-15"
22,4,34,1,315,315,"2021-07-15"
23,4,125,1,585,585,"2021-07-15"
24,5,57,2,995,1990,"2021-07-11"
25,5,12,1,515,515,"2021-07-11"
26,5,91,5,150,750,"2021-07-11"
27,5,93,1,29,29,"2021-07-11"
28,5,15,2,599,1198,"2021-07-11"
29,5,20,1,189,189,"2021-07-11"
30,6,54,1,235,235,"2021-07-02"
31,6,125,2,585,1170,"2021-07-02"
32,6,83,2,189,378,"2021-07-02"
33,6,125,3,585,1755,"2021-07-02"
34,6,96,4,89,356,"2021-07-02"
35,7,94,2,19,38,"2021-07-15"
36,7,35,3,389,1167,"2021-07-15"
37,7,111,3,175,525,"2021-07-15"
38,7,46,1,18900,18900,"2021-07-15"
39,7,138,3,45,135,"2021-07-15"
40,7,30,3,409,1227,"2021-07-15"
41,7,129,1,1400,1400,"2021-07-15"
42,7,8,2,545,1090,"2021-07-15"
43,8,156,1,150,150,"2021-07-23"
44,8,62,2,545,1090,"2021-07-23"
45,8,68,1,170,170,"2021-07-23"
46,9,130,2,70,140,"2021-07-16"
47,9,15,1,599,599,"2021-07-16"
48,9,30,4,409,1636,"2021-07-16"
49,10,77,2,119,238,"2021-07-06"
50,10,90,1,270,270,"2021-07-06"
51,10,30,1,409,409,"2021-07-06"
52,11,154,1,290,290,"2021-07-26"
53,11,70,4,279,1116,"2021-07-26"
54,11,53,3,1120,3360,"2021-07-26"
55,12,37,2,415,830,"2021-07-15"
56,12,83,5,189,945,"2021-07-15"
57,12,124,4,239,956,"2021-07-15"
58,13,134,3,4885,14655,"2021-07-31"
59,13,119,2,35,70,"2021-07-31"
60,13,143,1,2000,2000,"2021-07-31"
61,14,27,2,169,338,"2021-07-24"
62,14,147,3,900,2700,"2021-07-24"
63,14,79,4,619,2476,"2021-07-24"
64,14,154,3,290,870,"2021-07-24"
65,14,115,2,175,350,"2021-07-24"
66,15,85,1,75,75,"2021-07-30"
67,15,142,1,2200,2200,"2021-07-30"
68,15,125,1,585,585,"2021-07-30"
69,15,84,1,75,75,"2021-07-30"
70,15,25,1,359,359,"2021-07-30"
71,15,138,2,45,90,"2021-07-30"
72,15,75,1,199,199,"2021-07-30"
73,16,52,2,425,850,"2021-07-16"
74,16,142,4,2200,8800,"2021-07-16"
75,16,113,1,179,179,"2021-07-16"
76,16,55,2,280,560,"2021-07-16"
77,17,87,3,270,810,"2021-07-05"
78,17,12,1,515,515,"2021-07-05"
79,17,106,1,400,400,"2021-07-05"
80,17,13,2,520,1040,"2021-07-05"
81,18,68,2,170,340,"2021-07-08"
82,18,154,5,290,1450,"2021-07-08"
83,18,16,1,1300,1300,"2021-07-08"
84,18,33,4,765,3060,"2021-07-08"
85,18,85,4,75,300,"2021-07-08"
86,18,12,3,515,1545,"2021-07-08"
87,18,45,2,51500,103000,"2021-07-08"
88,18,71,1,410,410,"2021-07-08"
89,18,80,3,549,1647,"2021-07-08"
90,19,3,3,575,1725,"2021-07-16"
91,19,104,2,35,70,"2021-07-16"
92,19,67,1,180,180,"2021-07-16"
