"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2021-06-18 19:51:00",11,100713,5011,0.0,5011.0,"Debit Card",851.87,5862.87,50
2,"2021-06-07 10:39:00",7,100457,9992,0.0,9992.0,"Bank Transfer",1698.64,11690.64,99
3,"2021-06-11 11:52:00",14,100550,4364,654.6,3709.4,"Cash",630.6,4340.0,37
4,"2021-06-14 11:55:00",18,100460,685,0.0,685.0,"Debit Card",116.45,801.45,6
5,"2021-06-27 20:07:00",1,100622,7270,0.0,7270.0,"Credit Card",1235.9,8505.9,72
6,"2021-06-01 10:59:00",9,100279,557,0.0,557.0,"Debit Card",94.69,651.69,5
7,"2021-06-26 19:12:00",7,100100,1994,299.1,1694.9,"Credit Card",288.13,1983.03,16
8,"2021-06-08 16:57:00",13,100726,2913,0.0,2913.0,"Credit Card",495.21,3408.21,29
9,"2021-06-04 17:28:00",12,100645,15147,0.0,15147.0,"Debit Card",2574.99,17721.99,151
10,"2021-06-27 10:15:00",6,100805,5837,291.85,5545.15,"Debit Card",942.68,6487.83,55
11,"2021-06-26 11:19:00",8,100618,619,0.0,619.0,"Debit Card",105.23,724.23,6
12,"2021-06-19 13:58:00",6,100645,10119,505.95,9613.05,"Debit Card",1634.22,11247.27,96
13,"2021-06-25 19:40:00",1,100905,575,0.0,575.0,"Bank Transfer",97.75,672.75,5
14,"2021-06-18 19:04:00",14,100744,58296,0.0,58296.0,"Cash",9910.32,68206.32,582
15,"2021-06-17 16:36:00",15,100546,3660,0.0,3660.0,"Credit Card",622.2,4282.2,36
16,"2021-06-26 19:17:00",8,100650,26566,2656.6,23909.4,"Mobile Wallet",4064.6,27974.0,239
17,"2021-06-23 19:41:00",3,100282,6798,0.0,6798.0,"Mobile Wallet",1155.66,7953.66,67
18,"2021-06-06 16:06:00",13,100165,3868,0.0,3868.0,"Mobile Wallet",657.56,4525.56,38
19,"2021-06-20 19:49:00",5,101139,2730,409.5,2320.5,"Debit Card",394.48,2714.98,23
20,"2021-06-19 18:03:00",5,100340,41473,0.0,41473.0,"Cash",7050.41,48523.41,414
21,"2021-06-14 17:23:00",4,100436,7746,0.0,7746.0,"Mobile Wallet",1316.82,9062.82,77
22,"2021-06-05 19:33:00",2,100951,32085,0.0,32085.0,"Bank Transfer",5454.45,37539.45,320
23,"2021-06-09 11:19:00",12,100543,42077,0.0,42077.0,"Cash",7153.09,49230.09,420
24,"2021-06-09 14:13:00",16,100689,60066,6006.6,54059.4,"Bank Transfer",9190.1,63249.5,540
25,"2021-06-25 19:19:00",1,100913,4212,210.6,4001.4,"Credit Card",680.24,4681.64,40
26,"2021-06-29 11:33:00",17,100040,3951,790.2,3160.8,"Credit Card",537.34,3698.14,31
27,"2021-06-16 13:10:00",9,101039,2234,0.0,2234.0,"Cash",379.78,2613.78,22
28,"2021-06-20 19:15:00",16,100230,3391,0.0,3391.0,"Bank Transfer",576.47,3967.47,33
29,"2021-06-24 16:08:00",5,100620,5570,557.0,5013.0,"Mobile Wallet",852.21,5865.21,50
30,"2021-06-25 19:50:00",18,100770,133494,13349.4,120144.6,"Credit Card",20424.58,140569.18,1201
31,"2021-06-11 17:09:00",5,100614,2070,103.5,1966.5,"Cash",334.3,2300.8,19
32,"2021-06-11 19:12:00",11,100627,275678,41351.7,234326.3,"Mobile Wallet",39835.47,274161.77,2343
33,"2021-06-18 15:16:00",15,100053,524,104.8,419.2,"Cash",71.26,490.46,4
