"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,7,2,524,1048,"2021-06-18"
2,1,120,1,275,275,"2021-06-18"
3,1,65,1,150,150,"2021-06-18"
4,1,155,4,200,800,"2021-06-18"
5,1,15,1,599,599,"2021-06-18"
6,1,35,1,389,389,"2021-06-18"
7,1,39,2,575,1150,"2021-06-18"
8,1,155,3,200,600,"2021-06-18"
9,2,120,4,275,1100,"2021-06-07"
10,2,66,2,200,400,"2021-06-07"
11,2,127,4,1200,4800,"2021-06-07"
12,2,38,3,235,705,"2021-06-07"
13,2,13,2,520,1040,"2021-06-07"
14,2,140,2,145,290,"2021-06-07"
15,2,55,4,280,1120,"2021-06-07"
16,2,121,3,179,537,"2021-06-07"
17,3,53,2,1120,2240,"2021-06-11"
18,3,86,2,85,170,"2021-06-11"
19,3,17,1,1379,1379,"2021-06-11"
20,3,3,1,575,575,"2021-06-11"
21,4,137,1,90,90,"2021-06-14"
22,4,98,3,115,345,"2021-06-14"
23,4,123,1,80,80,"2021-06-14"
24,4,86,2,85,170,"2021-06-14"
25,5,142,3,2200,6600,"2021-06-27"
26,5,2,1,670,670,"2021-06-27"
27,6,116,1,179,179,"2021-06-01"
28,6,139,2,109,218,"2021-06-01"
29,6,131,2,80,160,"2021-06-01"
30,7,101,4,139,556,"2021-06-26"
31,7,122,5,145,725,"2021-06-26"
32,7,27,2,169,338,"2021-06-26"
33,7,85,5,75,375,"2021-06-26"
34,8,8,2,545,1090,"2021-06-08"
35,8,61,2,79,158,"2021-06-08"
36,8,139,1,109,109,"2021-06-08"
37,8,20,4,189,756,"2021-06-08"
38,8,128,2,400,800,"2021-06-08"
39,9,30,1,409,409,"2021-06-04"
40,9,133,2,5439,10878,"2021-06-04"
41,9,35,4,389,1556,"2021-06-04"
42,9,41,1,575,575,"2021-06-04"
43,9,116,1,179,179,"2021-06-04"
44,9,25,1,359,359,"2021-06-04"
45,9,61,5,79,395,"2021-06-04"
46,9,118,4,199,796,"2021-06-04"
47,10,87,2,270,540,"2021-06-27"
48,10,95,3,49,147,"2021-06-27"
49,10,142,1,2200,2200,"2021-06-27"
50,10,54,1,235,235,"2021-06-27"
51,10,24,3,825,2475,"2021-06-27"
52,10,123,3,80,240,"2021-06-27"
53,11,136,1,29,29,"2021-06-26"
54,11,10,1,481,481,"2021-06-26"
55,11,131,1,80,80,"2021-06-26"
56,11,136,1,29,29,"2021-06-26"
57,12,88,3,140,420,"2021-06-19"
58,12,36,2,469,938,"2021-06-19"
59,12,14,5,549,2745,"2021-06-19"
60,12,133,1,5439,5439,"2021-06-19"
61,12,141,2,199,398,"2021-06-19"
62,12,113,1,179,179,"2021-06-19"
63,13,3,1,575,575,"2021-06-25"
64,14,52,2,425,850,"2021-06-18"
65,14,119,2,35,70,"2021-06-18"
66,14,27,4,169,676,"2021-06-18"
67,14,46,3,18900,56700,"2021-06-18"
68,15,40,1,880,880,"2021-06-17"
69,15,15,1,599,599,"2021-06-17"
70,15,113,3,179,537,"2021-06-17"
71,15,18,5,205,1025,"2021-06-17"
72,15,91,1,150,150,"2021-06-17"
73,15,74,1,469,469,"2021-06-17"
74,16,50,1,17500,17500,"2021-06-26"
75,16,27,2,169,338,"2021-06-26"
76,16,133,1,5439,5439,"2021-06-26"
77,16,35,1,389,389,"2021-06-26"
78,16,149,1,1100,1100,"2021-06-26"
79,16,147,2,900,1800,"2021-06-26"
80,17,92,1,379,379,"2021-06-23"
81,17,41,4,575,2300,"2021-06-23"
82,17,15,1,599,599,"2021-06-23"
83,17,9,3,574,1722,"2021-06-23"
84,17,34,2,315,630,"2021-06-23"
85,17,79,1,619,619,"2021-06-23"
86,17,14,1,549,549,"2021-06-23"
87,18,120,2,275,550,"2021-06-06"
88,18,64,2,779,1558,"2021-06-06"
89,18,40,2,880,1760,"2021-06-06"
90,19,142,1,2200,2200,"2021-06-20"
91,19,109,1,250,250,"2021-06-20"
92,19,55,1,280,280,"2021-06-20"
93,20,68,1,170,170,"2021-06-19"
94,20,92,2,379,758,"2021-06-19"
95,20,80,5,549,2745,"2021-06-19"
96,20,46,2,18900,37800,"2021-06-19"
97,21,121,3,179,537,"2021-06-14"
98,21,113,2,179,358,"2021-06-14"
99,21,1,1,527,527,"2021-06-14"
100,21,103,1,39,39,"2021-06-14"
101,21,18,2,205,410,"2021-06-14"
102,21,142,1,2200,2200,"2021-06-14"
103,21,147,4,900,3600,"2021-06-14"
104,21,85,1,75,75,"2021-06-14"
105,22,39,2,575,1150,"2021-06-05"
106,22,88,2,140,280,"2021-06-05"
107,22,99,2,29,58,"2021-06-05"
108,22,51,1,29000,29000,"2021-06-05"
109,22,63,1,1019,1019,"2021-06-05"
110,22,72,2,289,578,"2021-06-05"
111,23,57,2,995,1990,"2021-06-09"
112,23,139,3,109,327,"2021-06-09"
113,23,48,2,19000,38000,"2021-06-09"
114,23,40,2,880,1760,"2021-06-09"
115,24,39,2,575,1150,"2021-06-09"
116,24,28,4,229,916,"2021-06-09"
117,24,51,2,29000,58000,"2021-06-09"
118,25,124,3,239,717,"2021-06-25"
119,25,56,3,1165,3495,"2021-06-25"
120,26,153,2,190,380,"2021-06-29"
121,26,18,3,205,615,"2021-06-29"
122,26,58,2,929,1858,"2021-06-29"
123,26,80,2,549,1098,"2021-06-29"
124,27,2,2,670,1340,"2021-06-16"
125,27,122,1,145,145,"2021-06-16"
126,27,130,4,70,280,"2021-06-16"
127,27,74,1,469,469,"2021-06-16"
128,28,20,4,189,756,"2021-06-20"
129,28,140,2,145,290,"2021-06-20"
130,28,127,1,1200,1200,"2021-06-20"
131,28,28,5,229,1145,"2021-06-20"
132,29,17,1,1379,1379,"2021-06-24"
133,29,4,1,589,589,"2021-06-24"
134,29,63,3,1019,3057,"2021-06-24"
135,29,8,1,545,545,"2021-06-24"
136,30,45,2,51500,103000,"2021-06-25"
137,30,145,2,3300,6600,"2021-06-25"
138,30,156,2,150,300,"2021-06-25"
139,30,144,2,2600,5200,"2021-06-25"
140,30,97,3,99,297,"2021-06-25"
141,30,50,1,17500,17500,"2021-06-25"
142,30,141,2,199,398,"2021-06-25"
143,30,118,1,199,199,"2021-06-25"
144,31,119,2,35,70,"2021-06-11"
145,31,66,4,200,800,"2021-06-11"
146,31,108,4,300,1200,"2021-06-11"
147,32,145,1,3300,3300,"2021-06-11"
148,32,99,3,29,87,"2021-06-11"
149,32,6,1,550,550,"2021-06-11"
150,32,37,1,415,415,"2021-06-11"
151,32,2,3,670,2010,"2021-06-11"
152,32,79,2,619,1238,"2021-06-11"
153,32,44,4,66900,267600,"2021-06-11"
154,32,124,2,239,478,"2021-06-11"
155,33,72,1,289,289,"2021-06-18"
156,33,38,1,235,235,"2021-06-18"
157,34,71,3,410,1230,"2021-06-22"
158,35,53,2,1120,2240,"2021-06-18"
159,35,57,1,995,995,"2021-06-18"
160,35,87,2,270,540,"2021-06-18"
161,35,154,3,290,870,"2021-06-18"
162,35,79,2,619,1238,"2021-06-18"
163,36,155,1,200,200,"2021-06-25"
164,36,107,1,450,450,"2021-06-25"
165,36,14,1,549,549,"2021-06-25"
