"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,50,11,"2021-02-20","2021-03-13",3,2021
2,1,2,161,31,"2021-02-12","2021-03-12",3,2021
3,1,3,42,19,"2021-02-15","2021-03-07",3,2021
4,1,4,44,41,"2021-02-09","2021-03-15",3,2021
5,1,5,177,28,"2021-02-20","2021-03-06",3,2021
6,1,6,20,38,"2021-02-24","2021-03-08",3,2021
7,1,7,6,14,"2021-02-11","2021-03-02",3,2021
8,1,8,117,44,"2021-02-21","2021-03-05",3,2021
9,1,9,165,34,"2021-02-06","2021-03-03",3,2021
10,1,10,128,12,"2021-01-31","2021-03-15",3,2021
11,1,11,3,23,"2021-01-30","2021-03-05",3,2021
12,1,12,102,44,"2021-02-01","2021-03-04",3,2021
13,1,13,126,20,"2021-02-13","2021-03-03",3,2021
14,1,14,123,36,"2021-02-10","2021-03-10",3,2021
15,1,15,113,23,"2021-02-20","2021-03-12",3,2021
16,1,16,146,14,"2021-02-09","2021-03-03",3,2021
17,1,17,87,32,"2021-02-26","2021-03-10",3,2021
18,1,18,43,46,"2021-02-16","2021-03-10",3,2021
19,1,19,90,48,"2021-01-30","2021-03-07",3,2021
20,1,20,60,38,"2021-02-08","2021-03-08",3,2021
21,1,21,99,49,"2021-02-14","2021-03-05",3,2021
22,1,22,28,43,"2021-02-22","2021-03-11",3,2021
23,1,23,114,35,"2021-02-19","2021-03-08",3,2021
24,1,24,139,60,"2021-01-31","2021-03-10",3,2021
25,1,25,111,51,"2021-02-23","2021-03-10",3,2021
26,1,26,24,16,"2021-02-05","2021-03-10",3,2021
27,1,27,99,45,"2021-02-15","2021-03-08",3,2021
28,1,28,35,47,"2021-01-30","2021-03-11",3,2021
29,1,29,186,49,"2021-02-12","2021-03-12",3,2021
30,1,30,102,47,"2021-02-24","2021-03-11",3,2021
31,1,31,2,15,"2021-02-19","2021-03-10",3,2021
32,1,32,122,44,"2021-02-02","2021-03-03",3,2021
33,1,33,148,43,"2021-02-21","2021-03-09",3,2021
34,1,34,173,17,"2021-02-12","2021-03-01",3,2021
35,1,35,93,26,"2021-02-17","2021-03-07",3,2021
36,1,36,131,20,"2021-02-24","2021-03-14",3,2021
37,1,37,154,18,"2021-02-25","2021-03-07",3,2021
38,1,38,64,32,"2021-02-27","2021-03-11",3,2021
39,1,39,25,23,"2021-02-17","2021-03-12",3,2021
40,1,40,142,13,"2021-01-30","2021-03-05",3,2021
41,1,41,200,44,"2021-02-04","2021-03-13",3,2021
42,1,42,178,47,"2021-02-09","2021-03-11",3,2021
43,1,43,85,32,"2021-02-02","2021-03-10",3,2021
44,1,44,127,22,"2021-02-08","2021-03-02",3,2021
45,1,45,137,26,"2021-01-31","2021-03-06",3,2021
46,1,46,192,10,"2021-02-02","2021-03-02",3,2021
47,1,47,16,39,"2021-02-01","2021-03-07",3,2021
