"promotion_id","product_id","promotion_name","discount_type","discount_value","start_date","end_date","month","year"
1,111,"Special Offer on Pepsi 1.5L","percentage",5,"2021-03-21","2021-03-31",3,2021
2,14,"Special Offer on Dalda Ghee 1kg","fixed",200,"2021-03-02","2021-03-13",3,2021
3,65,"Special Offer on Popitos Salted Chips 75g","fixed",150,"2021-03-02","2021-03-06",3,2021
4,93,"Special Offer on Tomato 500g","fixed",100,"2021-03-02","2021-03-13",3,2021
5,80,"Special Offer on Ponam Super Fine Atta 5kg","percentage",10,"2021-03-16","2021-03-29",3,2021
6,4,"Special Offer on Soya Supreme Cooking Oil 1L","percentage",10,"2021-03-11","2021-03-22",3,2021
7,3,"Special Offer on Olivola Oil 1L","fixed",100,"2021-03-23","2021-03-26",3,2021
8,27,"Special Offer on Cosmee Soothing Gel Aloe Vera 80g","percentage",20,"2021-03-14","2021-03-26",3,2021
9,68,"Special Offer on Red Slanty Chips 100g","percentage",20,"2021-03-15","2021-03-28",3,2021
10,38,"Special Offer on Bonus Detergent Powder 770g","fixed",100,"2021-03-19","2021-03-22",3,2021
11,25,"Special Offer on Comelle Condensed Milk 397g","fixed",150,"2021-03-13","2021-03-16",3,2021
12,76,"Special Offer on Ponam Daal Mix 500g","percentage",5,"2021-03-03","2021-03-06",3,2021
13,15,"Special Offer on Mezan Ghee 1kg","fixed",100,"2021-03-18","2021-03-28",3,2021
14,95,"Special Offer on Potato White 1kg","fixed",150,"2021-03-15","2021-03-28",3,2021
15,40,"Special Offer on Ariel Machine Detergent Powder 1kg","fixed",200,"2021-03-20","2021-03-25",3,2021
16,31,"Special Offer on Saeed Ghani Rose Water 700ml","fixed",150,"2021-03-04","2021-03-10",3,2021
