"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2021-03-24 12:09:00",13,100439,5750,0.0,5750.0,"Cash",977.5,6727.5,57
2,"2021-03-29 18:58:00",14,100100,22616,0.0,22616.0,"Cash",3844.72,26460.72,226
3,"2021-03-27 13:59:00",4,100049,2175,108.75,2066.25,"Cash",351.26,2417.51,20
4,"2021-03-27 17:23:00",9,100989,2600,260.0,2340.0,"Bank Transfer",397.8,2737.8,23
5,"2021-03-01 11:06:00",6,100494,96549,0.0,96549.0,"Debit Card",16413.33,112962.33,965
6,"2021-03-02 15:48:00",10,100630,3955,0.0,3955.0,"Bank Transfer",672.35,4627.35,39
7,"2021-03-17 18:20:00",18,100025,55478,0.0,55478.0,"Bank Transfer",9431.26,64909.26,554
8,"2021-03-01 11:41:00",11,100158,54017,0.0,54017.0,"Credit Card",9182.89,63199.89,540
9,"2021-03-09 20:03:00",1,100243,470,23.5,446.5,"Credit Card",75.9,522.4,4
10,"2021-03-19 16:13:00",13,100394,5114,0.0,5114.0,"Credit Card",869.38,5983.38,51
11,"2021-03-31 18:10:00",15,100349,1151,57.55,1093.45,"Mobile Wallet",185.89,1279.34,10
12,"2021-03-01 16:05:00",7,101100,799,39.95,759.05,"Debit Card",129.04,888.09,7
13,"2021-03-07 15:36:00",6,100567,558,0.0,558.0,"Debit Card",94.86,652.86,5
14,"2021-03-25 18:28:00",7,100795,2540,127.0,2413.0,"Cash",410.21,2823.21,24
15,"2021-03-13 12:03:00",19,101034,3325,332.5,2992.5,"Credit Card",508.72,3501.22,29
16,"2021-03-20 15:22:00",19,100043,24085,2408.5,21676.5,"Mobile Wallet",3685.0,25361.5,216
17,"2021-03-20 19:57:00",11,100001,1440,0.0,1440.0,"Credit Card",244.8,1684.8,14
18,"2021-03-02 11:11:00",13,100797,1245,0.0,1245.0,"Mobile Wallet",211.65,1456.65,12
19,"2021-03-24 13:23:00",12,100887,6690,0.0,6690.0,"Mobile Wallet",1137.3,7827.3,66
20,"2021-03-12 16:44:00",16,101156,3688,0.0,3688.0,"Credit Card",626.96,4314.96,36
