"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,84,4,75,300,"2021-05-21"
2,1,16,1,1300,1300,"2021-05-21"
3,1,122,5,145,725,"2021-05-21"
4,2,37,2,415,830,"2021-05-21"
5,2,7,1,524,524,"2021-05-21"
6,2,78,2,229,458,"2021-05-21"
7,2,22,2,67,134,"2021-05-21"
8,2,52,1,425,425,"2021-05-21"
9,2,149,2,1100,2200,"2021-05-21"
10,3,101,2,139,278,"2021-05-05"
11,3,122,1,145,145,"2021-05-05"
12,3,23,3,65,195,"2021-05-05"
13,4,30,2,409,818,"2021-05-21"
14,4,6,4,550,2200,"2021-05-21"
15,4,85,4,75,300,"2021-05-21"
16,4,90,1,270,270,"2021-05-21"
17,5,97,2,99,198,"2021-05-27"
18,5,87,4,270,1080,"2021-05-27"
19,5,153,1,190,190,"2021-05-27"
20,5,77,2,119,238,"2021-05-27"
21,5,82,2,389,778,"2021-05-27"
22,5,77,3,119,357,"2021-05-27"
23,5,3,1,575,575,"2021-05-27"
24,6,55,4,280,1120,"2021-05-12"
25,6,28,3,229,687,"2021-05-12"
26,6,129,2,1400,2800,"2021-05-12"
27,6,47,5,9000,45000,"2021-05-12"
28,7,82,3,389,1167,"2021-05-08"
29,7,46,4,18900,75600,"2021-05-08"
30,7,119,2,35,70,"2021-05-08"
31,7,26,2,85,170,"2021-05-08"
32,7,72,2,289,578,"2021-05-08"
33,7,128,3,400,1200,"2021-05-08"
34,7,154,4,290,1160,"2021-05-08"
35,8,4,3,589,1767,"2021-05-09"
36,8,84,3,75,225,"2021-05-09"
37,8,124,1,239,239,"2021-05-09"
38,9,10,2,481,962,"2021-05-21"
39,9,63,1,1019,1019,"2021-05-21"
40,9,74,4,469,1876,"2021-05-21"
41,9,83,1,189,189,"2021-05-21"
42,10,80,1,549,549,"2021-05-16"
43,10,9,1,574,574,"2021-05-16"
44,10,145,2,3300,6600,"2021-05-16"
45,10,90,2,270,540,"2021-05-16"
