"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2021-11-26 20:48:00",11,100190,37152,3715.2,33436.8,"Credit Card",5684.26,39121.06,334
2,"2021-11-12 18:50:00",10,100641,1518,303.6,1214.4,"Credit Card",206.45,1420.85,12
3,"2021-11-19 17:07:00",3,100459,1050,262.5,787.5,"Bank Transfer",133.88,921.38,7
4,"2021-11-18 10:54:00",11,100818,85,0.0,85.0,"Cash",14.45,99.45,0
5,"2021-11-23 19:46:00",5,100258,16460,0.0,16460.0,"Bank Transfer",2798.2,19258.2,164
6,"2021-11-08 17:25:00",6,101146,7570,1135.5,6434.5,"Cash",1093.86,7528.36,64
7,"2021-11-13 12:38:00",9,100891,32367,0.0,32367.0,"Cash",5502.39,37869.39,323
8,"2021-11-04 12:27:00",19,100074,10894,1089.4,9804.6,"Bank Transfer",1666.78,11471.38,98
9,"2021-11-08 17:23:00",19,100263,597,0.0,597.0,"Bank Transfer",101.49,698.49,5
10,"2021-11-26 20:47:00",7,100439,3940,0.0,3940.0,"Debit Card",669.8,4609.8,39
11,"2021-11-15 18:51:00",10,100734,267,13.35,253.65,"Debit Card",43.12,296.77,2
12,"2021-11-20 12:56:00",16,100990,31636,0.0,31636.0,"Bank Transfer",5378.12,37014.12,316
13,"2021-11-26 16:49:00",2,100791,3579,178.95,3400.05,"Bank Transfer",578.01,3978.06,34
14,"2021-11-15 19:40:00",14,100374,55795,5579.5,50215.5,"Bank Transfer",8536.64,58752.13,502
15,"2021-11-27 19:19:00",2,100895,4579,228.95,4350.05,"Bank Transfer",739.51,5089.56,43
16,"2021-11-03 11:06:00",16,100858,8261,0.0,8261.0,"Debit Card",1404.37,9665.37,82
17,"2021-11-11 16:49:00",11,100276,2218,0.0,2218.0,"Bank Transfer",377.06,2595.06,22
18,"2021-11-03 18:04:00",18,101081,4685,702.75,3982.25,"Bank Transfer",676.98,4659.23,39
19,"2021-11-14 19:57:00",4,100165,39035,0.0,39035.0,"Cash",6635.95,45670.95,390
20,"2021-11-05 19:44:00",14,100130,3597,0.0,3597.0,"Cash",611.49,4208.49,35
21,"2021-11-27 11:34:00",13,100599,2205,441.0,1764.0,"Credit Card",299.88,2063.88,17
22,"2021-11-29 19:17:00",4,101065,1360,0.0,1360.0,"Mobile Wallet",231.2,1591.2,13
23,"2021-11-06 17:51:00",15,100050,135004,0.0,135004.0,"Mobile Wallet",22950.68,157954.68,1350
24,"2021-11-22 11:00:00",2,101174,8252,0.0,8252.0,"Credit Card",1402.84,9654.84,82
25,"2021-11-10 19:37:00",12,100687,3401,510.15,2890.85,"Debit Card",491.44,3382.29,28
26,"2021-11-05 15:38:00",5,100901,3351,335.1,3015.9,"Bank Transfer",512.7,3528.6,30
27,"2021-11-03 15:57:00",14,100133,4124,0.0,4124.0,"Debit Card",701.08,4825.08,41
28,"2021-11-13 16:51:00",15,100072,1857,278.55,1578.45,"Debit Card",268.34,1846.79,15
29,"2021-11-14 11:12:00",4,100357,1455,0.0,1455.0,"Credit Card",247.35,1702.35,14
30,"2021-11-21 12:44:00",10,100045,2432,0.0,2432.0,"Credit Card",413.44,2845.44,24
31,"2021-11-27 20:24:00",7,100119,2480,0.0,2480.0,"Debit Card",421.6,2901.6,24
32,"2021-11-26 17:42:00",14,100925,5838,583.8,5254.2,"Credit Card",893.21,6147.41,52
33,"2021-11-14 17:25:00",12,101016,4246,424.6,3821.4,"Bank Transfer",649.64,4471.04,38
34,"2021-11-30 15:22:00",13,100104,1720,0.0,1720.0,"Debit Card",292.4,2012.4,17
35,"2021-11-01 18:11:00",6,100503,24772,4954.4,19817.6,"Cash",3368.99,23186.59,198
36,"2021-11-05 11:49:00",11,100885,169,25.35,143.65,"Cash",24.42,168.07,1
37,"2021-11-21 12:35:00",19,100530,266686,53337.2,213348.8,"Debit Card",36269.3,249618.1,2133
38,"2021-11-29 11:28:00",7,100090,2248,112.4,2135.6,"Debit Card",363.05,2498.65,21
39,"2021-11-13 11:30:00",9,100744,2647,0.0,2647.0,"Cash",449.99,3096.99,26
40,"2021-11-26 15:04:00",12,100697,5493,549.3,4943.7,"Credit Card",840.43,5784.13,49
41,"2021-11-09 18:12:00",14,101023,4776,238.8,4537.2,"Cash",771.32,5308.52,45
42,"2021-11-20 17:23:00",12,100005,3148,0.0,3148.0,"Debit Card",535.16,3683.16,31
43,"2021-11-25 19:24:00",15,100816,41818,0.0,41818.0,"Credit Card",7109.06,48927.06,418
44,"2021-11-26 09:14:00",6,100986,12954,1295.4,11658.6,"Cash",1981.96,13640.56,116
45,"2021-11-16 19:19:00",6,100461,8813,0.0,8813.0,"Mobile Wallet",1498.21,10311.21,88
46,"2021-11-18 12:20:00",9,100307,1570,0.0,1570.0,"Credit Card",266.9,1836.9,15
47,"2021-11-24 12:34:00",7,100471,3038,0.0,3038.0,"Mobile Wallet",516.46,3554.46,30
48,"2021-11-10 19:36:00",8,100451,3647,0.0,3647.0,"Cash",619.99,4266.99,36
49,"2021-11-18 18:20:00",14,101068,4285,428.5,3856.5,"Debit Card",655.6,4512.1,38
50,"2021-11-27 20:34:00",8,101202,106696,0.0,106696.0,"Debit Card",18138.32,124834.32,1066
51,"2021-11-14 19:03:00",5,101123,63675,0.0,63675.0,"Credit Card",10824.75,74499.75,636
52,"2021-11-04 20:33:00",10,100631,3533,176.65,3356.35,"Mobile Wallet",570.58,3926.93,33
53,"2021-11-28 10:00:00",18,100718,9113,0.0,9113.0,"Debit Card",1549.21,10662.21,91
54,"2021-11-17 20:25:00",2,100012,3087,154.35,2932.65,"Credit Card",498.55,3431.2,29
55,"2021-11-14 19:14:00",16,100964,2024,303.6,1720.4,"Cash",292.47,2012.87,17
56,"2021-11-24 18:25:00",5,100745,54222,0.0,54222.0,"Debit Card",9217.74,63439.74,542
57,"2021-11-02 19:19:00",8,100331,4926,738.9,4187.1,"Cash",711.81,4898.91,41
58,"2021-11-24 16:46:00",6,101123,400,0.0,400.0,"Credit Card",68.0,468.0,4
59,"2021-11-26 12:11:00",10,100202,534,0.0,534.0,"Credit Card",90.78,624.78,5
60,"2021-11-12 14:21:00",1,100091,6200,0.0,6200.0,"Debit Card",1054.0,7254.0,62
61,"2021-11-20 11:35:00",4,100731,2250,0.0,2250.0,"Credit Card",382.5,2632.5,22
62,"2021-11-13 09:33:00",14,100478,2197,329.55,1867.45,"Mobile Wallet",317.47,2184.92,18
63,"2021-11-03 12:28:00",1,100836,50168,2508.4,47659.6,"Mobile Wallet",8102.13,55761.73,476
64,"2021-11-20 16:16:00",8,100124,4262,0.0,4262.0,"Mobile Wallet",724.54,4986.54,42
65,"2021-11-03 18:03:00",18,101119,5288,0.0,5288.0,"Credit Card",898.96,6186.96,52
66,"2021-11-08 13:50:00",18,100401,2183,0.0,2183.0,"Mobile Wallet",371.11,2554.11,21
67,"2021-11-12 17:15:00",6,100672,1736,0.0,1736.0,"Debit Card",295.12,2031.12,17
68,"2021-11-28 17:37:00",9,100715,9818,1472.7,8345.3,"Cash",1418.7,9764.0,83
69,"2021-11-08 18:25:00",13,100160,4420,0.0,4420.0,"Mobile Wallet",751.4,5171.4,44
70,"2021-11-06 18:04:00",3,100947,4478,0.0,4478.0,"Credit Card",761.26,5239.26,44
71,"2021-11-30 13:41:00",11,100564,6427,0.0,6427.0,"Cash",1092.59,7519.59,64
72,"2021-11-10 18:56:00",6,100269,18031,1803.1,16227.9,"Cash",2758.74,18986.64,162
73,"2021-11-10 18:55:00",9,100974,2307,115.35,2191.65,"Debit Card",372.58,2564.23,21
74,"2021-11-05 15:27:00",14,100891,17874,0.0,17874.0,"Mobile Wallet",3038.58,20912.58,178
75,"2021-11-21 20:45:00",15,101153,136615,27323.0,109292.0,"Cash",18579.64,127871.64,1092
76,"2021-11-27 18:50:00",18,100282,2313,0.0,2313.0,"Mobile Wallet",393.21,2706.21,23
77,"2021-11-26 17:49:00",14,101174,135648,0.0,135648.0,"Bank Transfer",23060.16,158708.16,1356
78,"2021-11-04 09:07:00",19,101169,6161,0.0,6161.0,"Bank Transfer",1047.37,7208.37,61
79,"2021-11-05 10:14:00",18,100097,105942,0.0,105942.0,"Cash",18010.14,123952.14,1059
80,"2021-11-14 10:59:00",13,100423,2128,0.0,2128.0,"Debit Card",361.76,2489.76,21
81,"2021-11-25 20:29:00",16,100330,540,27.0,513.0,"Credit Card",87.21,600.21,5
82,"2021-11-20 18:28:00",4,100365,145169,0.0,145169.0,"Debit Card",24678.73,169847.73,1451
83,"2021-11-05 14:09:00",8,100622,1177,0.0,1177.0,"Debit Card",200.09,1377.09,11
84,"2021-11-06 16:21:00",6,100529,4458,0.0,4458.0,"Mobile Wallet",757.86,5215.86,44
85,"2021-11-19 17:09:00",17,100698,5139,0.0,5139.0,"Mobile Wallet",873.63,6012.63,51
86,"2021-11-02 17:55:00",11,100815,2687,671.75,2015.25,"Debit Card",342.59,2357.84,20
87,"2021-11-19 16:56:00",1,100069,2561,128.05,2432.95,"Mobile Wallet",413.6,2846.55,24
88,"2021-11-06 18:21:00",3,100814,5018,0.0,5018.0,"Cash",853.06,5871.06,50
89,"2021-11-08 19:06:00",19,100656,108549,0.0,108549.0,"Debit Card",18453.33,127002.33,1085
90,"2021-11-24 18:31:00",2,101143,5005,250.25,4754.75,"Bank Transfer",808.31,5563.06,47
91,"2021-11-06 18:44:00",13,100204,7136,356.8,6779.2,"Credit Card",1152.46,7931.66,67
92,"2021-11-24 19:15:00",3,101119,5075,0.0,5075.0,"Bank Transfer",862.75,5937.75,50
93,"2021-11-06 10:24:00",2,100101,995,0.0,995.0,"Debit Card",169.15,1164.15,9
94,"2021-11-06 14:14:00",3,100549,38288,0.0,38288.0,"Credit Card",6508.96,44796.96,382
95,"2021-11-20 15:43:00",13,100377,3129,0.0,3129.0,"Mobile Wallet",531.93,3660.93,31
96,"2021-11-12 18:12:00",12,101042,138255,0.0,138255.0,"Credit Card",23503.35,161758.35,1382
97,"2021-11-03 19:23:00",6,100192,35900,0.0,35900.0,"Cash",6103.0,42003.0,359
98,"2021-11-27 20:53:00",19,100163,61498,0.0,61498.0,"Credit Card",10454.66,71952.66,614
99,"2021-11-17 15:37:00",17,100731,907,0.0,907.0,"Credit Card",154.19,1061.19,9
100,"2021-11-02 11:47:00",13,100596,4715,0.0,4715.0,"Cash",801.55,5516.55,47
101,"2021-11-06 17:58:00",18,100357,1984,0.0,1984.0,"Debit Card",337.28,2321.28,19
102,"2021-11-23 16:38:00",3,100075,4588,0.0,4588.0,"Bank Transfer",779.96,5367.96,45
103,"2021-11-01 10:08:00",9,101057,32269,1613.45,30655.55,"Credit Card",5211.44,35866.99,306
104,"2021-11-19 19:29:00",8,100531,4229,0.0,4229.0,"Mobile Wallet",718.93,4947.93,42
105,"2021-11-08 17:20:00",9,100983,1075,0.0,1075.0,"Debit Card",182.75,1257.75,10
106,"2021-11-06 18:50:00",6,100756,148331,29666.2,118664.8,"Debit Card",20173.02,138837.82,1186
107,"2021-11-09 16:06:00",16,101065,3410,0.0,3410.0,"Debit Card",579.7,3989.7,34
108,"2021-11-02 11:01:00",12,101144,1648,0.0,1648.0,"Cash",280.16,1928.16,16
109,"2021-11-23 18:52:00",9,101175,6979,0.0,6979.0,"Mobile Wallet",1186.43,8165.43,69
110,"2021-11-28 09:57:00",9,100222,3811,0.0,3811.0,"Mobile Wallet",647.87,4458.87,38
111,"2021-11-04 09:07:00",1,100242,2573,257.3,2315.7,"Bank Transfer",393.67,2709.37,23
112,"2021-11-24 15:03:00",3,100893,19191,0.0,19191.0,"Debit Card",3262.47,22453.47,191
113,"2021-11-05 18:58:00",3,100762,1238,185.7,1052.3,"Mobile Wallet",178.89,1231.19,10
114,"2021-11-27 18:34:00",6,100816,5985,0.0,5985.0,"Cash",1017.45,7002.45,59
115,"2021-11-24 20:50:00",5,100154,977,146.55,830.45,"Bank Transfer",141.18,971.63,8
116,"2021-11-11 19:18:00",2,101104,17456,3491.2,13964.8,"Credit Card",2374.02,16338.82,139
117,"2021-11-23 12:54:00",8,101056,4100,1025.0,3075.0,"Bank Transfer",522.75,3597.75,30
118,"2021-11-20 12:01:00",15,100596,2600,0.0,2600.0,"Debit Card",442.0,3042.0,26
119,"2021-11-09 19:44:00",11,100250,3147,157.35,2989.65,"Credit Card",508.24,3497.89,29
120,"2021-11-21 18:04:00",10,100733,689,0.0,689.0,"Mobile Wallet",117.13,806.13,6
121,"2021-11-20 19:30:00",15,101163,779,77.9,701.1,"Credit Card",119.19,820.29,7
122,"2021-11-05 19:37:00",12,100396,4462,0.0,4462.0,"Cash",758.54,5220.54,44
123,"2021-11-09 15:14:00",15,100950,63931,12786.2,51144.8,"Debit Card",8694.62,59839.42,511
124,"2021-11-19 13:49:00",5,100234,15660,2349.0,13311.0,"Mobile Wallet",2262.87,15573.87,133
125,"2021-11-26 14:13:00",7,101200,5108,0.0,5108.0,"Mobile Wallet",868.36,5976.36,51
126,"2021-11-14 19:07:00",6,100684,400,0.0,400.0,"Bank Transfer",68.0,468.0,4
127,"2021-11-14 19:38:00",7,100874,19145,0.0,19145.0,"Debit Card",3254.65,22399.65,191
128,"2021-11-15 18:05:00",18,100962,7333,0.0,7333.0,"Credit Card",1246.61,8579.61,73
129,"2021-11-05 20:50:00",5,100209,3479,0.0,3479.0,"Mobile Wallet",591.43,4070.43,34
130,"2021-11-30 14:34:00",19,100147,5921,0.0,5921.0,"Cash",1006.57,6927.57,59
131,"2021-11-13 15:20:00",17,100146,4216,421.6,3794.4,"Credit Card",645.05,4439.45,37
132,"2021-11-12 10:32:00",8,100014,1295,259.0,1036.0,"Cash",176.12,1212.12,10
133,"2021-11-05 18:18:00",7,100414,6178,617.8,5560.2,"Debit Card",945.23,6505.43,55
