"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,8,2,545,1090,"2021-11-26"
2,1,22,1,67,67,"2021-11-26"
3,1,50,2,17500,35000,"2021-11-26"
4,1,57,1,995,995,"2021-11-26"
5,2,153,3,190,570,"2021-11-12"
6,2,122,1,145,145,"2021-11-12"
7,2,12,1,515,515,"2021-11-12"
8,2,118,1,199,199,"2021-11-12"
9,2,96,1,89,89,"2021-11-12"
10,3,93,3,29,87,"2021-11-19"
11,3,32,2,269,538,"2021-11-19"
12,3,52,1,425,425,"2021-11-19"
13,4,112,1,85,85,"2021-11-18"
14,5,80,1,549,549,"2021-11-23"
15,5,77,1,119,119,"2021-11-23"
16,5,141,3,199,597,"2021-11-23"
17,5,31,3,335,1005,"2021-11-23"
18,5,60,2,345,690,"2021-11-23"
19,5,150,3,4500,13500,"2021-11-23"
20,6,128,3,400,1200,"2021-11-08"
21,6,36,2,469,938,"2021-11-08"
22,6,127,2,1200,2400,"2021-11-08"
23,6,65,4,150,600,"2021-11-08"
24,6,60,3,345,1035,"2021-11-08"
25,6,4,2,589,1178,"2021-11-08"
26,6,19,1,219,219,"2021-11-08"
27,7,118,5,199,995,"2021-11-13"
28,7,51,1,29000,29000,"2021-11-13"
29,7,125,3,585,1755,"2021-11-13"
30,7,97,2,99,198,"2021-11-13"
31,7,70,1,279,279,"2021-11-13"
32,7,119,4,35,140,"2021-11-13"
33,8,139,3,109,327,"2021-11-04"
34,8,20,3,189,567,"2021-11-04"
35,8,143,5,2000,10000,"2021-11-04"
36,9,76,3,199,597,"2021-11-08"
37,10,147,2,900,1800,"2021-11-26"
38,10,67,3,180,540,"2021-11-26"
39,10,11,2,600,1200,"2021-11-26"
40,10,66,2,200,400,"2021-11-26"
41,11,96,3,89,267,"2021-11-15"
42,12,64,1,779,779,"2021-11-20"
43,12,137,2,90,180,"2021-11-20"
44,12,12,1,515,515,"2021-11-20"
45,12,20,1,189,189,"2021-11-20"
46,12,74,2,469,938,"2021-11-20"
47,12,104,1,35,35,"2021-11-20"
48,12,51,1,29000,29000,"2021-11-20"
49,13,67,1,180,180,"2021-11-26"
50,13,7,2,524,1048,"2021-11-26"
51,13,35,4,389,1556,"2021-11-26"
52,13,77,2,119,238,"2021-11-26"
53,13,116,1,179,179,"2021-11-26"
54,13,83,2,189,378,"2021-11-26"
55,14,49,2,13000,26000,"2021-11-15"
56,14,86,3,85,255,"2021-11-15"
57,14,87,2,270,540,"2021-11-15"
58,14,51,1,29000,29000,"2021-11-15"
59,15,28,2,229,458,"2021-11-27"
60,15,36,2,469,938,"2021-11-27"
61,15,82,5,389,1945,"2021-11-27"
62,15,79,2,619,1238,"2021-11-27"
63,16,59,1,939,939,"2021-11-03"
64,16,102,1,15,15,"2021-11-03"
65,16,40,2,880,1760,"2021-11-03"
66,16,82,5,389,1945,"2021-11-03"
67,16,86,2,85,170,"2021-11-03"
68,16,137,5,90,450,"2021-11-03"
69,16,128,1,400,400,"2021-11-03"
70,16,8,3,545,1635,"2021-11-03"
71,16,103,3,39,117,"2021-11-03"
72,16,37,2,415,830,"2021-11-03"
73,17,24,1,825,825,"2021-11-11"
74,17,70,1,279,279,"2021-11-11"
75,17,30,1,409,409,"2021-11-11"
76,17,117,2,225,450,"2021-11-11"
77,17,86,2,85,170,"2021-11-11"
78,17,86,1,85,85,"2021-11-11"
79,18,108,1,300,300,"2021-11-03"
80,18,34,2,315,630,"2021-11-03"
81,18,55,3,280,840,"2021-11-03"
82,18,67,3,180,540,"2021-11-03"
83,18,94,2,19,38,"2021-11-03"
84,18,132,4,450,1800,"2021-11-03"
85,18,116,3,179,537,"2021-11-03"
86,19,49,3,13000,39000,"2021-11-14"
87,19,104,1,35,35,"2021-11-14"
88,20,76,1,199,199,"2021-11-05"
89,20,84,1,75,75,"2021-11-05"
90,20,33,1,765,765,"2021-11-05"
91,20,1,4,527,2108,"2021-11-05"
92,20,107,1,450,450,"2021-11-05"
93,21,125,3,585,1755,"2021-11-27"
94,21,107,1,450,450,"2021-11-27"
95,22,132,2,450,900,"2021-11-29"
96,22,130,2,70,140,"2021-11-29"
97,22,114,2,75,150,"2021-11-29"
98,22,26,2,85,170,"2021-11-29"
99,23,25,1,359,359,"2021-11-06"
100,23,44,2,66900,133800,"2021-11-06"
101,23,13,1,520,520,"2021-11-06"
102,23,21,1,75,75,"2021-11-06"
103,23,151,1,250,250,"2021-11-06"
104,24,82,3,389,1167,"2021-11-22"
105,24,72,3,289,867,"2021-11-22"
106,24,117,2,225,450,"2021-11-22"
107,24,39,2,575,1150,"2021-11-22"
108,24,33,3,765,2295,"2021-11-22"
109,24,26,1,85,85,"2021-11-22"
110,24,113,2,179,358,"2021-11-22"
111,24,155,2,200,400,"2021-11-22"
112,24,86,1,85,85,"2021-11-22"
113,24,70,5,279,1395,"2021-11-22"
114,25,5,1,575,575,"2021-11-10"
115,25,156,4,150,600,"2021-11-10"
116,25,6,1,550,550,"2021-11-10"
117,25,73,4,369,1476,"2021-11-10"
118,25,66,1,200,200,"2021-11-10"
119,26,10,1,481,481,"2021-11-05"
120,26,129,2,1400,2800,"2021-11-05"
121,26,130,1,70,70,"2021-11-05"
122,27,69,3,170,510,"2021-11-03"
123,27,5,3,575,1725,"2021-11-03"
124,27,16,1,1300,1300,"2021-11-03"
125,27,135,1,89,89,"2021-11-03"
126,27,151,2,250,500,"2021-11-03"
127,28,91,2,150,300,"2021-11-13"
128,28,62,2,545,1090,"2021-11-13"
129,28,101,2,139,278,"2021-11-13"
130,28,20,1,189,189,"2021-11-13"
131,29,153,2,190,380,"2021-11-14"
132,29,109,2,250,500,"2021-11-14"
133,29,41,1,575,575,"2021-11-14"
134,30,60,1,345,345,"2021-11-21"
135,30,55,3,280,840,"2021-11-21"
136,30,7,2,524,1048,"2021-11-21"
137,30,118,1,199,199,"2021-11-21"
138,31,21,4,75,300,"2021-11-27"
139,31,94,3,19,57,"2021-11-27"
140,31,117,4,225,900,"2021-11-27"
141,31,64,1,779,779,"2021-11-27"
142,31,110,2,75,150,"2021-11-27"
143,31,85,1,75,75,"2021-11-27"
144,31,19,1,219,219,"2021-11-27"
145,32,60,1,345,345,"2021-11-26"
146,32,57,2,995,1990,"2021-11-26"
147,32,78,2,229,458,"2021-11-26"
148,32,135,5,89,445,"2021-11-26"
149,32,148,1,2600,2600,"2021-11-26"
150,33,149,3,1100,3300,"2021-11-14"
151,33,93,2,29,58,"2021-11-14"
152,33,89,2,350,700,"2021-11-14"
153,33,137,1,90,90,"2021-11-14"
154,33,95,2,49,98,"2021-11-14"
155,34,86,3,85,255,"2021-11-30"
156,34,82,1,389,389,"2021-11-30"
157,34,78,1,229,229,"2021-11-30"
158,34,19,2,219,438,"2021-11-30"
159,34,30,1,409,409,"2021-11-30"
160,35,58,3,929,2787,"2021-11-01"
161,35,28,1,229,229,"2021-11-01"
162,35,133,4,5439,21756,"2021-11-01"
163,36,27,1,169,169,"2021-11-05"
164,37,75,3,199,597,"2021-11-21"
165,37,84,4,75,300,"2021-11-21"
166,37,42,5,52500,262500,"2021-11-21"
167,37,70,1,279,279,"2021-11-21"
168,37,16,2,1300,2600,"2021-11-21"
169,37,71,1,410,410,"2021-11-21"
170,38,130,2,70,140,"2021-11-29"
171,38,125,3,585,1755,"2021-11-29"
172,38,111,1,175,175,"2021-11-29"
173,38,96,2,89,178,"2021-11-29"
174,39,137,5,90,450,"2021-11-13"
175,39,15,3,599,1797,"2021-11-13"
176,39,128,1,400,400,"2021-11-13"
177,40,66,3,200,600,"2021-11-26"
178,40,57,2,995,1990,"2021-11-26"
