"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,114,41,"2021-09-16","2021-10-12",10,2021
2,1,2,162,39,"2021-09-25","2021-10-15",10,2021
3,1,3,55,50,"2021-09-20","2021-10-12",10,2021
4,1,4,105,25,"2021-09-23","2021-10-11",10,2021
5,1,5,144,18,"2021-09-27","2021-10-12",10,2021
6,1,6,167,43,"2021-09-06","2021-10-08",10,2021
7,1,7,57,46,"2021-09-17","2021-10-03",10,2021
8,1,8,114,11,"2021-09-20","2021-10-04",10,2021
9,1,9,24,48,"2021-09-02","2021-10-08",10,2021
10,1,10,196,48,"2021-09-13","2021-10-03",10,2021
11,1,11,75,14,"2021-09-08","2021-10-01",10,2021
12,1,12,156,27,"2021-09-28","2021-10-10",10,2021
13,1,13,102,41,"2021-09-10","2021-10-05",10,2021
14,1,14,165,45,"2021-09-27","2021-10-13",10,2021
15,1,15,78,18,"2021-09-05","2021-10-04",10,2021
16,1,16,164,35,"2021-09-19","2021-10-10",10,2021
17,1,17,184,30,"2021-09-13","2021-10-12",10,2021
18,1,18,59,36,"2021-09-11","2021-10-12",10,2021
19,1,19,66,44,"2021-09-03","2021-10-09",10,2021
20,1,20,142,35,"2021-09-24","2021-10-14",10,2021
21,1,21,53,44,"2021-09-29","2021-10-02",10,2021
22,1,22,88,43,"2021-09-06","2021-10-06",10,2021
23,1,23,117,51,"2021-09-04","2021-10-07",10,2021
24,1,24,142,48,"2021-09-12","2021-10-04",10,2021
25,1,25,45,31,"2021-09-16","2021-10-14",10,2021
26,1,26,19,32,"2021-09-24","2021-10-12",10,2021
27,1,27,78,14,"2021-09-28","2021-10-15",10,2021
28,1,28,190,30,"2021-09-20","2021-10-15",10,2021
29,1,29,193,36,"2021-09-29","2021-10-01",10,2021
30,1,30,68,50,"2021-09-09","2021-10-15",10,2021
31,1,31,11,46,"2021-09-23","2021-10-05",10,2021
32,1,32,40,16,"2021-09-17","2021-10-13",10,2021
33,1,33,56,12,"2021-09-17","2021-10-11",10,2021
34,1,34,82,36,"2021-09-06","2021-10-12",10,2021
35,1,35,61,49,"2021-09-20","2021-10-09",10,2021
36,1,36,174,18,"2021-09-30","2021-10-07",10,2021
37,1,37,167,12,"2021-09-26","2021-10-09",10,2021
38,1,38,51,32,"2021-09-07","2021-10-02",10,2021
39,1,39,18,13,"2021-09-17","2021-10-04",10,2021
40,1,40,8,47,"2021-09-23","2021-10-01",10,2021
41,1,41,169,36,"2021-09-24","2021-10-01",10,2021
42,1,42,89,44,"2021-09-16","2021-10-15",10,2021
43,1,43,131,29,"2021-09-20","2021-10-07",10,2021
44,1,44,187,22,"2021-09-29","2021-10-09",10,2021
45,1,45,145,10,"2021-09-03","2021-10-14",10,2021
46,1,46,41,39,"2021-09-16","2021-10-13",10,2021
47,1,47,113,38,"2021-09-02","2021-10-06",10,2021
48,1,48,48,34,"2021-09-17","2021-10-04",10,2021
49,1,49,99,44,"2021-09-17","2021-10-01",10,2021
50,1,50,27,31,"2021-09-15","2021-10-04",10,2021
51,1,51,153,37,"2021-09-11","2021-10-01",10,2021
52,1,52,133,16,"2021-09-25","2021-10-01",10,2021
53,1,53,181,44,"2021-09-03","2021-10-10",10,2021
54,1,54,5,37,"2021-09-14","2021-10-13",10,2021
55,1,55,69,39,"2021-09-04","2021-10-14",10,2021
56,1,56,108,20,"2021-09-03","2021-10-15",10,2021
57,1,57,163,20,"2021-09-18","2021-10-01",10,2021
58,1,58,25,37,"2021-09-05","2021-10-10",10,2021
59,1,59,200,32,"2021-09-13","2021-10-13",10,2021
60,1,60,84,43,"2021-09-09","2021-10-08",10,2021
61,1,61,56,48,"2021-09-07","2021-10-02",10,2021
62,1,62,65,11,"2021-09-14","2021-10-04",10,2021
63,1,63,124,45,"2021-09-09","2021-10-02",10,2021
64,1,64,11,14,"2021-09-29","2021-10-11",10,2021
65,1,65,2,24,"2021-09-22","2021-10-09",10,2021
66,1,66,9,29,"2021-09-28","2021-10-03",10,2021
67,1,67,119,19,"2021-09-28","2021-10-04",10,2021
68,1,68,4,47,"2021-09-15","2021-10-12",10,2021
69,1,69,3,34,"2021-09-04","2021-10-14",10,2021
70,1,70,154,29,"2021-09-24","2021-10-07",10,2021
71,1,71,54,31,"2021-09-19","2021-10-05",10,2021
72,1,72,146,27,"2021-09-16","2021-10-03",10,2021
73,1,73,182,47,"2021-09-16","2021-10-05",10,2021
74,1,74,198,34,"2021-09-30","2021-10-10",10,2021
75,1,75,70,50,"2021-09-08","2021-10-07",10,2021
76,1,76,79,39,"2021-09-18","2021-10-05",10,2021
77,1,77,126,26,"2021-09-10","2021-10-06",10,2021
78,1,78,174,36,"2021-09-04","2021-10-02",10,2021
79,1,79,163,30,"2021-09-06","2021-10-05",10,2021
80,1,80,165,15,"2021-09-16","2021-10-05",10,2021
81,1,81,15,36,"2021-09-20","2021-10-12",10,2021
82,1,82,200,32,"2021-09-19","2021-10-08",10,2021
83,1,83,152,39,"2021-09-19","2021-10-08",10,2021
84,1,84,194,42,"2021-09-15","2021-10-12",10,2021
85,1,85,182,43,"2021-09-24","2021-10-13",10,2021
86,1,86,57,29,"2021-09-12","2021-10-10",10,2021
87,1,87,103,12,"2021-09-11","2021-10-02",10,2021
88,1,88,80,31,"2021-09-26","2021-10-12",10,2021
89,1,89,65,41,"2021-09-21","2021-10-05",10,2021
90,1,90,176,49,"2021-09-21","2021-10-06",10,2021
91,1,91,83,31,"2021-09-15","2021-10-05",10,2021
92,1,92,95,21,"2021-09-07","2021-10-03",10,2021
93,1,93,34,35,"2021-09-27","2021-10-06",10,2021
94,1,94,37,40,"2021-09-04","2021-10-15",10,2021
95,1,95,33,23,"2021-09-16","2021-10-12",10,2021
96,1,96,97,31,"2021-09-20","2021-10-03",10,2021
97,1,97,97,40,"2021-09-14","2021-10-03",10,2021
98,1,98,80,37,"2021-09-05","2021-10-01",10,2021
99,1,99,84,30,"2021-09-27","2021-10-05",10,2021
100,1,100,12,35,"2021-09-12","2021-10-09",10,2021
101,1,101,17,32,"2021-09-22","2021-10-13",10,2021
102,1,102,26,22,"2021-09-23","2021-10-08",10,2021
103,1,103,83,32,"2021-09-21","2021-10-01",10,2021
104,1,104,21,28,"2021-09-26","2021-10-05",10,2021
105,1,105,43,38,"2021-09-20","2021-10-06",10,2021
106,1,106,89,33,"2021-09-29","2021-10-09",10,2021
107,1,107,92,28,"2021-09-02","2021-10-04",10,2021
108,1,108,23,38,"2021-09-20","2021-10-11",10,2021
109,1,109,14,30,"2021-09-25","2021-10-06",10,2021
110,1,110,63,29,"2021-09-23","2021-10-07",10,2021
111,1,111,72,41,"2021-09-19","2021-10-08",10,2021
112,1,112,173,29,"2021-09-08","2021-10-15",10,2021
113,1,113,64,31,"2021-09-04","2021-10-07",10,2021
114,1,114,101,30,"2021-09-05","2021-10-15",10,2021
115,1,115,165,31,"2021-09-11","2021-10-04",10,2021
116,1,116,133,26,"2021-09-09","2021-10-08",10,2021
117,1,117,62,35,"2021-09-26","2021-10-09",10,2021
118,1,118,42,47,"2021-09-28","2021-10-01",10,2021
119,1,119,3,22,"2021-09-27","2021-10-03",10,2021
120,1,120,115,37,"2021-09-21","2021-10-12",10,2021
121,1,121,181,41,"2021-09-19","2021-10-03",10,2021
122,1,122,69,49,"2021-09-22","2021-10-09",10,2021
123,1,123,149,23,"2021-09-28","2021-10-08",10,2021
124,1,124,158,40,"2021-09-23","2021-10-05",10,2021
125,1,125,56,34,"2021-09-16","2021-10-12",10,2021
126,1,126,159,25,"2021-09-26","2021-10-06",10,2021
127,1,127,174,28,"2021-09-04","2021-10-08",10,2021
128,1,128,97,22,"2021-09-09","2021-10-13",10,2021
129,1,129,31,44,"2021-09-17","2021-10-01",10,2021
130,1,130,37,11,"2021-09-16","2021-10-04",10,2021
131,1,131,15,50,"2021-09-12","2021-10-07",10,2021
132,1,132,163,26,"2021-09-06","2021-10-08",10,2021
133,1,133,9,30,"2021-09-02","2021-10-04",10,2021
134,1,134,153,34,"2021-09-28","2021-10-03",10,2021
135,1,135,49,34,"2021-09-04","2021-10-15",10,2021
136,1,136,93,40,"2021-09-30","2021-10-08",10,2021
137,1,137,15,22,"2021-09-06","2021-10-10",10,2021
138,1,138,100,22,"2021-09-09","2021-10-02",10,2021
139,1,139,70,25,"2021-09-01","2021-10-01",10,2021
140,1,140,15,35,"2021-09-03","2021-10-13",10,2021
141,1,141,50,30,"2021-09-05","2021-10-12",10,2021
142,1,142,116,46,"2021-09-08","2021-10-01",10,2021
143,1,143,164,20,"2021-09-30","2021-10-01",10,2021
144,1,144,71,13,"2021-09-19","2021-10-03",10,2021
145,1,145,174,13,"2021-09-03","2021-10-02",10,2021
146,1,146,90,27,"2021-09-18","2021-10-02",10,2021
147,1,147,154,20,"2021-09-08","2021-10-14",10,2021
148,1,148,117,31,"2021-09-13","2021-10-13",10,2021
149,1,149,51,46,"2021-09-26","2021-10-02",10,2021
150,1,150,40,35,"2021-09-21","2021-10-10",10,2021
