"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,95,1,49,49,"2021-09-18"
2,1,19,2,219,438,"2021-09-18"
3,1,36,1,469,469,"2021-09-18"
4,1,81,2,145,290,"2021-09-18"
5,1,9,1,574,574,"2021-09-18"
6,1,33,2,765,1530,"2021-09-18"
7,1,41,4,575,2300,"2021-09-18"
8,1,89,1,350,350,"2021-09-18"
9,1,38,2,235,470,"2021-09-18"
10,2,136,3,29,87,"2021-09-03"
11,2,141,3,199,597,"2021-09-03"
12,2,91,1,150,150,"2021-09-03"
13,2,83,2,189,378,"2021-09-03"
14,3,134,2,4885,9770,"2021-09-16"
15,3,108,1,300,300,"2021-09-16"
16,4,74,2,469,938,"2021-09-06"
17,5,154,1,290,290,"2021-09-03"
18,5,71,2,410,820,"2021-09-03"
19,6,58,4,929,3716,"2021-09-02"
20,6,147,1,900,900,"2021-09-02"
21,6,28,1,229,229,"2021-09-02"
22,6,29,1,369,369,"2021-09-02"
23,6,55,1,280,280,"2021-09-02"
24,7,61,5,79,395,"2021-09-19"
25,7,148,2,2600,5200,"2021-09-19"
26,7,47,4,9000,36000,"2021-09-19"
27,7,99,3,29,87,"2021-09-19"
28,7,129,1,1400,1400,"2021-09-19"
29,8,77,1,119,119,"2021-09-22"
30,8,16,1,1300,1300,"2021-09-22"
31,8,152,2,180,360,"2021-09-22"
32,9,134,1,4885,4885,"2021-09-19"
33,9,107,2,450,900,"2021-09-19"
34,9,99,1,29,29,"2021-09-19"
35,10,1,3,527,1581,"2021-09-23"
36,10,146,4,1100,4400,"2021-09-23"
37,10,97,2,99,198,"2021-09-23"
38,10,147,1,900,900,"2021-09-23"
39,10,113,2,179,358,"2021-09-23"
40,10,20,5,189,945,"2021-09-23"
41,11,72,3,289,867,"2021-09-05"
42,11,15,4,599,2396,"2021-09-05"
43,11,84,1,75,75,"2021-09-05"
44,11,149,2,1100,2200,"2021-09-05"
45,11,91,1,150,150,"2021-09-05"
46,11,114,2,75,150,"2021-09-05"
47,12,128,1,400,400,"2021-09-10"
48,12,118,3,199,597,"2021-09-10"
49,12,7,1,524,524,"2021-09-10"
50,12,116,1,179,179,"2021-09-10"
