"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2022-04-23 17:48:00",16,100066,82702,0.0,82702.0,"Debit Card",14059.34,96761.34,827
2,"2022-04-11 11:39:00",1,101062,207105,31065.75,176039.25,"Credit Card",29926.67,205965.92,1760
3,"2022-04-25 15:36:00",8,101262,23016,0.0,23016.0,"Credit Card",3912.72,26928.72,230
4,"2022-04-16 14:47:00",12,100652,29225,0.0,29225.0,"Bank Transfer",4968.25,34193.25,292
5,"2022-04-15 20:14:00",15,100897,10630,0.0,10630.0,"Mobile Wallet",1807.1,12437.1,106
6,"2022-04-23 12:50:00",17,100832,4679,467.9,4211.1,"Debit Card",715.89,4926.99,42
7,"2022-04-25 09:00:00",1,100304,14554,0.0,14554.0,"Bank Transfer",2474.18,17028.18,145
8,"2022-04-17 16:16:00",11,101227,2823,0.0,2823.0,"Cash",479.91,3302.91,28
9,"2022-04-09 20:32:00",14,101381,6141,921.15,5219.85,"Cash",887.37,6107.22,52
10,"2022-04-16 16:45:00",6,100437,1250,62.5,1187.5,"Debit Card",201.88,1389.38,11
11,"2022-04-30 10:57:00",11,100442,3428,171.4,3256.6,"Mobile Wallet",553.62,3810.22,32
12,"2022-04-01 18:01:00",6,101240,151175,0.0,151175.0,"Debit Card",25699.75,176874.75,1511
13,"2022-04-20 10:18:00",4,101256,298,0.0,298.0,"Credit Card",50.66,348.66,2
14,"2022-04-06 17:49:00",8,100430,5186,0.0,5186.0,"Debit Card",881.62,6067.62,51
15,"2022-04-30 12:00:00",4,101269,4264,0.0,4264.0,"Debit Card",724.88,4988.88,42
16,"2022-04-16 20:09:00",7,100207,1121,224.2,896.8,"Bank Transfer",152.46,1049.26,8
17,"2022-04-09 16:04:00",8,100176,1114,0.0,1114.0,"Credit Card",189.38,1303.38,11
18,"2022-04-21 16:35:00",2,100343,135656,6782.8,128873.2,"Bank Transfer",21908.44,150781.64,1288
19,"2022-04-15 17:31:00",1,100054,5230,0.0,5230.0,"Credit Card",889.1,6119.1,52
20,"2022-04-14 20:22:00",17,100281,4103,410.3,3692.7,"Bank Transfer",627.76,4320.46,36
21,"2022-04-02 13:29:00",17,100779,38000,0.0,38000.0,"Mobile Wallet",6460.0,44460.0,380
22,"2022-04-25 15:44:00",9,100548,8660,0.0,8660.0,"Cash",1472.2,10132.2,86
23,"2022-04-24 10:38:00",5,101322,149977,0.0,149977.0,"Debit Card",25496.09,175473.09,1499
24,"2022-04-15 18:34:00",1,100435,2032,0.0,2032.0,"Credit Card",345.44,2377.44,20
25,"2022-04-05 17:42:00",10,100013,3203,320.3,2882.7,"Credit Card",490.06,3372.76,28
26,"2022-04-18 10:14:00",7,100721,21322,1066.1,20255.9,"Credit Card",3443.5,23699.4,202
27,"2022-04-29 09:24:00",5,100126,3102,0.0,3102.0,"Cash",527.34,3629.34,31
