"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,118,1,199,199,"2022-04-23"
2,1,74,1,469,469,"2022-04-23"
3,1,79,2,619,1238,"2022-04-23"
4,1,43,4,20000,80000,"2022-04-23"
5,1,118,3,199,597,"2022-04-23"
6,1,76,1,199,199,"2022-04-23"
7,2,117,1,225,225,"2022-04-11"
8,2,18,2,205,410,"2022-04-11"
9,2,38,2,235,470,"2022-04-11"
10,2,45,4,51500,206000,"2022-04-11"
11,3,133,3,5439,16317,"2022-04-25"
12,3,113,1,179,179,"2022-04-25"
13,3,40,5,880,4400,"2022-04-25"
14,3,13,2,520,1040,"2022-04-25"
15,3,87,4,270,1080,"2022-04-25"
16,4,63,2,1019,2038,"2022-04-16"
17,4,118,3,199,597,"2022-04-16"
18,4,130,1,70,70,"2022-04-16"
19,4,49,2,13000,26000,"2022-04-16"
20,4,13,1,520,520,"2022-04-16"
21,5,18,2,205,410,"2022-04-15"
22,5,53,2,1120,2240,"2022-04-15"
23,5,128,2,400,800,"2022-04-15"
24,5,155,2,200,400,"2022-04-15"
25,5,152,1,180,180,"2022-04-15"
26,5,145,2,3300,6600,"2022-04-15"
27,6,98,2,115,230,"2022-04-23"
28,6,97,1,99,99,"2022-04-23"
29,6,89,1,350,350,"2022-04-23"
30,6,74,4,469,1876,"2022-04-23"
31,6,10,4,481,1924,"2022-04-23"
32,6,66,1,200,200,"2022-04-23"
33,7,18,2,205,410,"2022-04-25"
34,7,125,3,585,1755,"2022-04-25"
35,7,125,2,585,1170,"2022-04-25"
36,7,6,5,550,2750,"2022-04-25"
37,7,153,1,190,190,"2022-04-25"
38,7,143,4,2000,8000,"2022-04-25"
39,7,70,1,279,279,"2022-04-25"
40,8,105,1,29,29,"2022-04-17"
41,8,103,3,39,117,"2022-04-17"
42,8,64,2,779,1558,"2022-04-17"
43,8,91,5,150,750,"2022-04-17"
44,8,29,1,369,369,"2022-04-17"
45,9,149,2,1100,2200,"2022-04-09"
46,9,79,1,619,619,"2022-04-09"
47,9,110,1,75,75,"2022-04-09"
48,9,26,5,85,425,"2022-04-09"
49,9,1,1,527,527,"2022-04-09"
50,9,33,3,765,2295,"2022-04-09"
51,10,37,1,415,415,"2022-04-16"
52,10,103,2,39,78,"2022-04-16"
53,10,123,1,80,80,"2022-04-16"
54,10,19,2,219,438,"2022-04-16"
55,10,124,1,239,239,"2022-04-16"
56,11,83,4,189,756,"2022-04-30"
57,11,59,2,939,1878,"2022-04-30"
58,11,21,1,75,75,"2022-04-30"
59,11,89,2,350,700,"2022-04-30"
60,11,94,1,19,19,"2022-04-30"
61,12,44,2,66900,133800,"2022-04-01"
62,12,13,1,520,520,"2022-04-01"
63,12,32,2,269,538,"2022-04-01"
64,12,133,3,5439,16317,"2022-04-01"
65,13,113,1,179,179,"2022-04-20"
66,13,77,1,119,119,"2022-04-20"
67,14,101,3,139,417,"2022-04-06"
68,14,8,3,545,1635,"2022-04-06"
69,14,59,1,939,939,"2022-04-06"
70,14,154,4,290,1160,"2022-04-06"
71,14,60,3,345,1035,"2022-04-06"
72,15,16,2,1300,2600,"2022-04-30"
73,15,62,2,545,1090,"2022-04-30"
74,15,9,1,574,574,"2022-04-30"
75,16,118,3,199,597,"2022-04-16"
76,16,7,1,524,524,"2022-04-16"
77,17,77,1,119,119,"2022-04-09"
78,17,66,2,200,400,"2022-04-09"
79,17,77,5,119,595,"2022-04-09"
80,18,138,1,45,45,"2022-04-21"
81,18,44,2,66900,133800,"2022-04-21"
82,18,155,1,200,200,"2022-04-21"
83,18,30,2,409,818,"2022-04-21"
84,18,114,1,75,75,"2022-04-21"
85,18,25,2,359,718,"2022-04-21"
86,19,34,1,315,315,"2022-04-15"
87,19,68,2,170,340,"2022-04-15"
88,19,84,1,75,75,"2022-04-15"
89,19,150,1,4500,4500,"2022-04-15"
90,20,88,2,140,280,"2022-04-14"
91,20,16,1,1300,1300,"2022-04-14"
92,20,61,2,79,158,"2022-04-14"
93,20,123,3,80,240,"2022-04-14"
94,20,29,5,369,1845,"2022-04-14"
95,20,55,1,280,280,"2022-04-14"
96,21,48,2,19000,38000,"2022-04-02"
97,22,71,2,410,820,"2022-04-25"
98,22,31,3,335,1005,"2022-04-25"
99,22,16,4,1300,5200,"2022-04-25"
100,22,62,3,545,1635,"2022-04-25"
101,23,9,1,574,574,"2022-04-24"
102,23,137,1,90,90,"2022-04-24"
103,23,132,3,450,1350,"2022-04-24"
104,23,1,1,527,527,"2022-04-24"
105,23,123,3,80,240,"2022-04-24"
106,23,80,4,549,2196,"2022-04-24"
107,23,51,5,29000,145000,"2022-04-24"
108,24,28,3,229,687,"2022-04-15"
109,24,40,1,880,880,"2022-04-15"
110,24,23,1,65,65,"2022-04-15"
111,24,155,2,200,400,"2022-04-15"
112,25,39,2,575,1150,"2022-04-05"
113,25,82,1,389,389,"2022-04-05"
114,25,99,1,29,29,"2022-04-05"
115,25,62,3,545,1635,"2022-04-05"
116,26,101,3,139,417,"2022-04-18"
117,26,85,3,75,225,"2022-04-18"
118,26,5,2,575,1150,"2022-04-18"
119,26,33,2,765,1530,"2022-04-18"
120,26,47,2,9000,18000,"2022-04-18"
121,27,55,2,280,560,"2022-04-29"
122,27,4,3,589,1767,"2022-04-29"
123,27,111,1,175,175,"2022-04-29"
124,27,11,1,600,600,"2022-04-29"
125,28,99,1,29,29,"2022-04-08"
126,28,132,1,450,450,"2022-04-08"
127,28,123,5,80,400,"2022-04-08"
128,28,48,3,19000,57000,"2022-04-08"
129,28,19,1,219,219,"2022-04-08"
130,28,23,1,65,65,"2022-04-08"
131,28,13,2,520,1040,"2022-04-08"
132,29,75,1,199,199,"2022-04-23"
133,29,121,1,179,179,"2022-04-23"
134,29,122,1,145,145,"2022-04-23"
135,29,52,1,425,425,"2022-04-23"
