"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,14,20,"2022-01-03","2022-02-13",2,2022
2,1,2,123,22,"2022-01-05","2022-02-15",2,2022
3,1,3,123,29,"2022-01-09","2022-02-05",2,2022
4,1,4,137,46,"2022-01-05","2022-02-03",2,2022
5,1,5,162,26,"2022-01-11","2022-02-06",2,2022
6,1,6,69,43,"2022-01-05","2022-02-11",2,2022
7,1,7,171,44,"2022-01-06","2022-02-12",2,2022
8,1,8,165,45,"2022-01-13","2022-02-09",2,2022
9,1,9,157,30,"2022-01-21","2022-02-15",2,2022
10,1,10,188,21,"2022-01-08","2022-02-11",2,2022
11,1,11,116,30,"2022-01-04","2022-02-02",2,2022
12,1,12,178,50,"2022-01-26","2022-02-11",2,2022
13,1,13,74,35,"2022-01-16","2022-02-07",2,2022
14,1,14,158,40,"2022-01-03","2022-02-14",2,2022
15,1,15,178,16,"2022-01-14","2022-02-10",2,2022
16,1,16,53,29,"2022-01-24","2022-02-09",2,2022
17,1,17,103,13,"2022-01-17","2022-02-06",2,2022
18,1,18,131,48,"2022-01-04","2022-02-07",2,2022
19,1,19,84,40,"2022-01-28","2022-02-08",2,2022
20,1,20,58,48,"2022-01-26","2022-02-02",2,2022
21,1,21,78,36,"2022-01-29","2022-02-05",2,2022
22,1,22,141,52,"2022-01-08","2022-02-09",2,2022
23,1,23,104,59,"2022-01-09","2022-02-09",2,2022
24,1,24,106,55,"2022-01-12","2022-02-15",2,2022
25,1,25,35,54,"2022-01-02","2022-02-03",2,2022
26,1,26,74,35,"2022-01-29","2022-02-10",2,2022
27,1,27,124,13,"2022-01-18","2022-02-09",2,2022
28,1,28,198,28,"2022-01-14","2022-02-10",2,2022
29,1,29,34,30,"2022-01-16","2022-02-11",2,2022
30,1,30,155,49,"2022-01-20","2022-02-13",2,2022
31,1,31,154,25,"2022-01-09","2022-02-14",2,2022
32,1,32,51,46,"2022-01-26","2022-02-08",2,2022
33,1,33,17,47,"2022-01-05","2022-02-11",2,2022
34,1,34,198,41,"2022-01-17","2022-02-05",2,2022
35,1,35,144,50,"2022-01-14","2022-02-06",2,2022
36,1,36,105,21,"2022-01-15","2022-02-05",2,2022
37,1,37,45,47,"2022-01-08","2022-02-08",2,2022
38,1,38,160,12,"2022-01-19","2022-02-15",2,2022
39,1,39,108,29,"2022-01-08","2022-02-14",2,2022
40,1,40,116,19,"2022-01-29","2022-02-11",2,2022
41,1,41,28,16,"2022-01-09","2022-02-05",2,2022
42,1,42,24,29,"2022-01-27","2022-02-05",2,2022
43,1,43,49,37,"2022-01-15","2022-02-15",2,2022
44,1,44,110,48,"2022-01-19","2022-02-13",2,2022
45,1,45,119,48,"2022-01-24","2022-02-05",2,2022
46,1,46,104,41,"2022-01-17","2022-02-09",2,2022
47,1,47,63,30,"2022-01-07","2022-02-15",2,2022
48,1,48,26,12,"2022-01-07","2022-02-08",2,2022
49,1,49,26,23,"2022-01-13","2022-02-13",2,2022
50,1,50,122,28,"2022-01-30","2022-02-01",2,2022
51,1,51,115,47,"2022-01-03","2022-02-09",2,2022
52,1,52,48,31,"2022-01-02","2022-02-01",2,2022
53,1,53,193,16,"2022-01-26","2022-02-14",2,2022
54,1,54,188,48,"2022-01-14","2022-02-10",2,2022
55,1,55,151,14,"2022-01-30","2022-02-01",2,2022
56,1,56,67,22,"2022-01-22","2022-02-04",2,2022
57,1,57,76,41,"2022-01-07","2022-02-06",2,2022
58,1,58,141,47,"2022-01-11","2022-02-11",2,2022
59,1,59,170,43,"2022-01-22","2022-02-08",2,2022
60,1,60,152,36,"2022-01-30","2022-02-03",2,2022
61,1,61,10,20,"2022-01-23","2022-02-07",2,2022
62,1,62,9,39,"2022-01-08","2022-02-09",2,2022
63,1,63,0,38,"2022-01-18","2022-02-05",2,2022
64,1,64,3,23,"2022-01-25","2022-02-12",2,2022
65,1,65,151,38,"2022-01-16","2022-02-09",2,2022
66,1,66,97,35,"2022-01-12","2022-02-02",2,2022
67,1,67,19,30,"2022-01-02","2022-02-14",2,2022
68,1,68,165,25,"2022-01-27","2022-02-11",2,2022
69,1,69,87,50,"2022-01-02","2022-02-02",2,2022
70,1,70,0,11,"2022-01-25","2022-02-12",2,2022
71,1,71,44,48,"2022-01-04","2022-02-01",2,2022
72,1,72,181,44,"2022-01-16","2022-02-15",2,2022
73,1,73,151,20,"2022-01-28","2022-02-12",2,2022
74,1,74,96,15,"2022-01-17","2022-02-04",2,2022
75,1,75,72,39,"2022-01-15","2022-02-09",2,2022
76,1,76,112,20,"2022-01-12","2022-02-14",2,2022
77,1,77,123,39,"2022-01-14","2022-02-15",2,2022
78,1,78,106,18,"2022-01-02","2022-02-11",2,2022
79,1,79,109,13,"2022-01-19","2022-02-09",2,2022
80,1,80,190,36,"2022-01-03","2022-02-12",2,2022
81,1,81,153,21,"2022-01-03","2022-02-11",2,2022
82,1,82,1,31,"2022-01-30","2022-02-13",2,2022
83,1,83,162,33,"2022-01-20","2022-02-13",2,2022
84,1,84,1,27,"2022-01-02","2022-02-08",2,2022
85,1,85,128,29,"2022-01-21","2022-02-07",2,2022
86,1,86,61,12,"2022-01-27","2022-02-08",2,2022
87,1,87,33,12,"2022-01-09","2022-02-15",2,2022
88,1,88,186,40,"2022-01-28","2022-02-11",2,2022
89,1,89,72,39,"2022-01-24","2022-02-08",2,2022
90,1,90,38,11,"2022-01-21","2022-02-04",2,2022
91,1,91,174,34,"2022-01-29","2022-02-10",2,2022
92,1,92,142,37,"2022-01-04","2022-02-02",2,2022
93,1,93,72,39,"2022-01-29","2022-02-13",2,2022
94,1,94,30,22,"2022-01-12","2022-02-04",2,2022
95,1,95,95,36,"2022-01-03","2022-02-10",2,2022
96,1,96,56,25,"2022-01-08","2022-02-04",2,2022
97,1,97,67,29,"2022-01-11","2022-02-03",2,2022
98,1,98,74,28,"2022-01-09","2022-02-12",2,2022
99,1,99,37,28,"2022-01-15","2022-02-12",2,2022
100,1,100,83,22,"2022-01-18","2022-02-14",2,2022
101,1,101,51,23,"2022-01-12","2022-02-06",2,2022
102,1,102,51,30,"2022-01-13","2022-02-11",2,2022
103,1,103,18,36,"2022-01-27","2022-02-07",2,2022
104,1,104,25,40,"2022-01-06","2022-02-07",2,2022
105,1,105,84,33,"2022-01-25","2022-02-03",2,2022
106,1,106,18,27,"2022-01-23","2022-02-03",2,2022
