"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2022-01-13 18:30:00",4,101307,6032,0.0,6032.0,"Bank Transfer",1025.44,7057.44,60
2,"2022-01-14 20:47:00",2,100940,470,47.0,423.0,"Bank Transfer",71.91,494.91,4
3,"2022-01-22 13:21:00",15,100989,57193,0.0,57193.0,"Cash",9722.81,66915.81,571
4,"2022-01-18 14:43:00",18,101397,6752,0.0,6752.0,"Debit Card",1147.84,7899.84,67
5,"2022-01-09 19:21:00",13,100346,3915,391.5,3523.5,"Credit Card",599.0,4122.5,35
6,"2022-01-08 19:24:00",11,101292,8889,0.0,8889.0,"Credit Card",1511.13,10400.13,88
7,"2022-01-23 17:07:00",4,100034,83224,0.0,83224.0,"Bank Transfer",14148.08,97372.08,832
8,"2022-01-26 12:57:00",19,101315,225,0.0,225.0,"Debit Card",38.25,263.25,2
9,"2022-01-14 14:55:00",4,101353,2700,405.0,2295.0,"Mobile Wallet",390.15,2685.15,22
10,"2022-01-24 10:22:00",16,100121,450,0.0,450.0,"Debit Card",76.5,526.5,4
11,"2022-01-09 17:26:00",15,100838,145949,0.0,145949.0,"Bank Transfer",24811.33,170760.33,1459
12,"2022-01-01 17:43:00",17,101338,7847,0.0,7847.0,"Mobile Wallet",1333.99,9180.99,78
13,"2022-01-16 19:44:00",11,100101,2460,123.0,2337.0,"Bank Transfer",397.29,2734.29,23
14,"2022-01-31 12:33:00",16,101412,5012,501.2,4510.8,"Debit Card",766.84,5277.64,45
15,"2022-01-31 11:21:00",3,100363,5463,0.0,5463.0,"Mobile Wallet",928.71,6391.71,54
16,"2022-01-08 19:42:00",13,101413,4147,0.0,4147.0,"Cash",704.99,4851.99,41
17,"2022-01-20 19:06:00",4,101188,5442,0.0,5442.0,"Mobile Wallet",925.14,6367.14,54
18,"2022-01-22 13:45:00",4,101409,6661,0.0,6661.0,"Credit Card",1132.37,7793.37,66
19,"2022-01-24 16:58:00",4,100864,453,0.0,453.0,"Cash",77.01,530.01,4
20,"2022-01-08 13:41:00",8,100340,6133,0.0,6133.0,"Debit Card",1042.61,7175.61,61
21,"2022-01-21 12:49:00",9,100943,2063,309.45,1753.55,"Credit Card",298.1,2051.65,17
22,"2022-01-18 15:43:00",19,101310,13462,0.0,13462.0,"Cash",2288.54,15750.54,134
23,"2022-01-22 14:47:00",18,100407,2718,271.8,2446.2,"Bank Transfer",415.85,2862.05,24
24,"2022-01-28 16:52:00",8,100258,145,7.25,137.75,"Cash",23.42,161.17,1
25,"2022-01-04 19:10:00",2,101207,1150,0.0,1150.0,"Cash",195.5,1345.5,11
26,"2022-01-22 17:48:00",9,100568,2389,358.35,2030.65,"Credit Card",345.21,2375.86,20
27,"2022-01-01 16:45:00",6,100946,2504,125.2,2378.8,"Cash",404.4,2783.2,23
28,"2022-01-31 10:22:00",1,100777,7879,393.95,7485.05,"Debit Card",1272.46,8757.51,74
29,"2022-01-11 18:54:00",1,101344,3120,312.0,2808.0,"Mobile Wallet",477.36,3285.36,28
30,"2022-01-28 17:16:00",16,100202,110617,0.0,110617.0,"Mobile Wallet",18804.89,129421.89,1106
31,"2022-01-03 19:25:00",17,100863,174,0.0,174.0,"Cash",29.58,203.58,1
32,"2022-01-05 13:02:00",9,100925,2150,0.0,2150.0,"Mobile Wallet",365.5,2515.5,21
33,"2022-01-19 20:11:00",8,101374,1536,0.0,1536.0,"Mobile Wallet",261.12,1797.12,15
34,"2022-01-09 15:14:00",1,100834,801,0.0,801.0,"Credit Card",136.17,937.17,8
35,"2022-01-21 13:38:00",12,100040,3473,0.0,3473.0,"Cash",590.41,4063.41,34
36,"2022-01-04 10:23:00",9,100072,4186,209.3,3976.7,"Bank Transfer",676.04,4652.74,39
37,"2022-01-04 19:32:00",7,100681,900,0.0,900.0,"Mobile Wallet",153.0,1053.0,9
38,"2022-01-11 19:03:00",15,101419,82420,16484.0,65936.0,"Mobile Wallet",11209.12,77145.12,659
39,"2022-01-14 15:59:00",18,101351,78689,0.0,78689.0,"Cash",13377.13,92066.13,786
40,"2022-01-14 19:49:00",8,101290,1862,93.1,1768.9,"Mobile Wallet",300.71,2069.61,17
41,"2022-01-25 19:36:00",15,101286,7284,0.0,7284.0,"Credit Card",1238.28,8522.28,72
42,"2022-01-01 19:59:00",15,100228,2038,305.7,1732.3,"Mobile Wallet",294.49,2026.79,17
43,"2022-01-19 16:49:00",19,101158,12636,0.0,12636.0,"Credit Card",2148.12,14784.12,126
44,"2022-01-27 18:36:00",15,100427,2972,0.0,2972.0,"Bank Transfer",505.24,3477.24,29
45,"2022-01-29 17:41:00",17,100351,6276,627.6,5648.4,"Bank Transfer",960.23,6608.63,56
46,"2022-01-30 09:07:00",5,101144,415,41.5,373.5,"Bank Transfer",63.5,436.99,3
47,"2022-01-26 11:35:00",14,101317,2667,0.0,2667.0,"Cash",453.39,3120.39,26
48,"2022-01-13 19:44:00",5,100760,7288,0.0,7288.0,"Cash",1238.96,8526.96,72
49,"2022-01-08 16:08:00",16,101429,4676,0.0,4676.0,"Debit Card",794.92,5470.92,46
50,"2022-01-29 15:05:00",18,101058,9518,0.0,9518.0,"Debit Card",1618.06,11136.06,95
51,"2022-01-21 20:01:00",2,100442,61869,0.0,61869.0,"Debit Card",10517.73,72386.73,618
52,"2022-01-14 12:44:00",19,100544,1170,0.0,1170.0,"Cash",198.9,1368.9,11
53,"2022-01-11 12:51:00",10,101060,1567,0.0,1567.0,"Debit Card",266.39,1833.39,15
54,"2022-01-14 18:36:00",5,100754,262002,13100.1,248901.9,"Debit Card",42313.32,291215.22,2489
55,"2022-01-12 13:36:00",11,100572,63335,3166.75,60168.25,"Bank Transfer",10228.6,70396.85,601
56,"2022-01-25 18:30:00",1,100519,957,0.0,957.0,"Debit Card",162.69,1119.69,9
57,"2022-01-10 18:38:00",3,101237,4377,656.55,3720.45,"Debit Card",632.48,4352.93,37
58,"2022-01-16 19:56:00",8,100469,3060,153.0,2907.0,"Mobile Wallet",494.19,3401.19,29
59,"2022-01-11 12:56:00",8,101089,11079,0.0,11079.0,"Cash",1883.43,12962.43,110
60,"2022-01-01 17:22:00",19,101394,1967,0.0,1967.0,"Debit Card",334.39,2301.39,19
61,"2022-01-07 19:00:00",17,100110,966,96.6,869.4,"Bank Transfer",147.8,1017.2,8
62,"2022-01-08 17:57:00",11,100458,3796,189.8,3606.2,"Credit Card",613.05,4219.25,36
63,"2022-01-01 14:34:00",14,101231,28096,0.0,28096.0,"Credit Card",4776.32,32872.32,280
64,"2022-01-10 19:55:00",7,101088,2628,394.2,2233.8,"Bank Transfer",379.75,2613.55,22
65,"2022-01-02 14:52:00",12,100554,18907,0.0,18907.0,"Cash",3214.19,22121.19,189
66,"2022-01-07 17:28:00",19,100633,75870,3793.5,72076.5,"Cash",12253.0,84329.5,720
67,"2022-01-19 17:30:00",13,101206,17500,875.0,16625.0,"Debit Card",2826.25,19451.25,166
68,"2022-01-12 17:45:00",11,101109,796,0.0,796.0,"Debit Card",135.32,931.32,7
69,"2022-01-31 11:32:00",19,101365,3646,364.6,3281.4,"Credit Card",557.84,3839.24,32
70,"2022-01-16 20:32:00",18,100745,2060,0.0,2060.0,"Mobile Wallet",350.2,2410.2,20
71,"2022-01-13 17:01:00",1,100124,1450,0.0,1450.0,"Cash",246.5,1696.5,14
72,"2022-01-02 20:19:00",8,101228,10512,1051.2,9460.8,"Bank Transfer",1608.34,11069.14,94
73,"2022-01-11 18:50:00",8,101107,2967,445.05,2521.95,"Mobile Wallet",428.73,2950.68,25
74,"2022-01-14 18:26:00",14,101286,7674,0.0,7674.0,"Debit Card",1304.58,8978.58,76
75,"2022-01-19 15:07:00",16,101213,57,11.4,45.6,"Cash",7.75,53.35,0
76,"2022-01-15 14:57:00",14,101095,2828,424.2,2403.8,"Credit Card",408.65,2812.45,24
77,"2022-01-13 12:26:00",13,100636,1067,160.05,906.95,"Credit Card",154.18,1061.13,9
78,"2022-01-17 14:25:00",3,100022,5695,854.25,4840.75,"Mobile Wallet",822.93,5663.68,48
