"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,119,38,"2022-06-24","2022-07-03",7,2022
2,1,2,89,42,"2022-06-07","2022-07-11",7,2022
3,1,3,19,17,"2022-06-19","2022-07-07",7,2022
4,1,4,114,22,"2022-06-12","2022-07-04",7,2022
5,1,5,77,39,"2022-06-09","2022-07-06",7,2022
6,1,6,183,27,"2022-06-25","2022-07-11",7,2022
7,1,7,80,19,"2022-06-25","2022-07-05",7,2022
8,1,8,22,32,"2022-06-06","2022-07-07",7,2022
9,1,9,133,19,"2022-06-25","2022-07-11",7,2022
10,1,10,139,46,"2022-06-11","2022-07-11",7,2022
11,1,11,174,41,"2022-06-28","2022-07-01",7,2022
12,1,12,182,19,"2022-06-05","2022-07-11",7,2022
13,1,13,7,44,"2022-06-16","2022-07-13",7,2022
14,1,14,19,27,"2022-06-01","2022-07-09",7,2022
15,1,15,88,23,"2022-06-06","2022-07-08",7,2022
16,1,16,1,45,"2022-06-28","2022-07-01",7,2022
17,1,17,98,32,"2022-06-05","2022-07-12",7,2022
18,1,18,26,57,"2022-06-05","2022-07-06",7,2022
19,1,19,50,47,"2022-06-08","2022-07-10",7,2022
20,1,20,89,38,"2022-06-18","2022-07-14",7,2022
21,1,21,133,37,"2022-06-12","2022-07-03",7,2022
22,1,22,115,43,"2022-06-16","2022-07-10",7,2022
23,1,23,133,39,"2022-06-20","2022-07-10",7,2022
24,1,24,77,55,"2022-06-30","2022-07-06",7,2022
25,1,25,40,36,"2022-06-15","2022-07-02",7,2022
26,1,26,0,46,"2022-06-09","2022-07-08",7,2022
27,1,27,176,13,"2022-06-10","2022-07-13",7,2022
28,1,28,47,21,"2022-06-05","2022-07-11",7,2022
29,1,29,180,12,"2022-06-20","2022-07-06",7,2022
30,1,30,51,47,"2022-06-29","2022-07-15",7,2022
31,1,31,78,28,"2022-06-07","2022-07-09",7,2022
32,1,32,19,48,"2022-06-08","2022-07-05",7,2022
33,1,33,6,27,"2022-06-17","2022-07-11",7,2022
34,1,34,121,40,"2022-06-02","2022-07-14",7,2022
35,1,35,69,43,"2022-06-06","2022-07-08",7,2022
36,1,36,43,21,"2022-06-15","2022-07-07",7,2022
37,1,37,136,38,"2022-06-05","2022-07-11",7,2022
38,1,38,25,25,"2022-06-24","2022-07-03",7,2022
39,1,39,199,12,"2022-06-15","2022-07-13",7,2022
40,1,40,86,39,"2022-06-10","2022-07-01",7,2022
41,1,41,96,23,"2022-06-13","2022-07-11",7,2022
42,1,42,155,34,"2022-06-12","2022-07-12",7,2022
43,1,43,110,43,"2022-06-04","2022-07-14",7,2022
44,1,44,47,41,"2022-06-03","2022-07-01",7,2022
45,1,45,117,17,"2022-06-04","2022-07-06",7,2022
46,1,46,180,19,"2022-06-29","2022-07-11",7,2022
47,1,47,66,49,"2022-06-04","2022-07-15",7,2022
48,1,48,151,26,"2022-06-06","2022-07-09",7,2022
49,1,49,65,44,"2022-06-09","2022-07-06",7,2022
50,1,50,75,25,"2022-06-16","2022-07-06",7,2022
51,1,51,95,25,"2022-06-03","2022-07-06",7,2022
52,1,52,155,15,"2022-06-04","2022-07-03",7,2022
53,1,53,95,21,"2022-06-11","2022-07-04",7,2022
54,1,54,70,12,"2022-06-27","2022-07-08",7,2022
55,1,55,46,38,"2022-06-17","2022-07-05",7,2022
56,1,56,113,10,"2022-06-03","2022-07-01",7,2022
57,1,57,86,20,"2022-06-22","2022-07-10",7,2022
58,1,58,121,49,"2022-06-03","2022-07-04",7,2022
59,1,59,86,47,"2022-06-08","2022-07-03",7,2022
60,1,60,139,47,"2022-06-07","2022-07-10",7,2022
61,1,61,44,23,"2022-06-27","2022-07-05",7,2022
62,1,62,162,13,"2022-06-09","2022-07-14",7,2022
63,1,63,99,22,"2022-06-04","2022-07-13",7,2022
64,1,64,77,48,"2022-06-24","2022-07-03",7,2022
65,1,65,18,42,"2022-06-09","2022-07-14",7,2022
66,1,66,89,21,"2022-06-20","2022-07-12",7,2022
67,1,67,125,28,"2022-06-09","2022-07-10",7,2022
68,1,68,78,47,"2022-06-27","2022-07-06",7,2022
69,1,69,75,31,"2022-06-13","2022-07-12",7,2022
70,1,70,196,32,"2022-06-13","2022-07-15",7,2022
71,1,71,155,49,"2022-06-20","2022-07-11",7,2022
72,1,72,25,28,"2022-06-05","2022-07-13",7,2022
73,1,73,160,16,"2022-06-25","2022-07-14",7,2022
74,1,74,135,47,"2022-06-13","2022-07-03",7,2022
75,1,75,95,23,"2022-06-23","2022-07-10",7,2022
76,1,76,89,48,"2022-06-19","2022-07-15",7,2022
77,1,77,143,21,"2022-06-14","2022-07-03",7,2022
78,1,78,172,44,"2022-06-20","2022-07-01",7,2022
79,1,79,144,10,"2022-06-18","2022-07-08",7,2022
80,1,80,99,38,"2022-06-13","2022-07-15",7,2022
81,1,81,143,26,"2022-06-02","2022-07-01",7,2022
82,1,82,181,26,"2022-06-12","2022-07-09",7,2022
83,1,83,38,20,"2022-06-17","2022-07-10",7,2022
84,1,84,117,22,"2022-06-13","2022-07-03",7,2022
85,1,85,98,46,"2022-06-20","2022-07-12",7,2022
86,1,86,127,18,"2022-06-22","2022-07-15",7,2022
87,1,87,95,33,"2022-06-27","2022-07-10",7,2022
88,1,88,88,36,"2022-06-17","2022-07-06",7,2022
89,1,89,23,50,"2022-06-20","2022-07-12",7,2022
90,1,90,134,33,"2022-06-17","2022-07-05",7,2022
91,1,91,161,26,"2022-06-30","2022-07-05",7,2022
92,1,92,147,50,"2022-06-06","2022-07-09",7,2022
93,1,93,36,38,"2022-06-24","2022-07-09",7,2022
94,1,94,58,23,"2022-06-27","2022-07-14",7,2022
95,1,95,51,23,"2022-06-21","2022-07-07",7,2022
96,1,96,74,21,"2022-06-01","2022-07-07",7,2022
97,1,97,94,28,"2022-06-27","2022-07-15",7,2022
98,1,98,98,40,"2022-06-20","2022-07-07",7,2022
