"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,121,10,"2022-05-03","2022-06-04",6,2022
2,1,2,98,35,"2022-05-27","2022-06-02",6,2022
3,1,3,158,35,"2022-05-17","2022-06-01",6,2022
4,1,4,61,38,"2022-05-28","2022-06-12",6,2022
5,1,5,107,16,"2022-05-06","2022-06-01",6,2022
6,1,6,119,12,"2022-05-08","2022-06-13",6,2022
7,1,7,16,43,"2022-05-31","2022-06-07",6,2022
8,1,8,5,12,"2022-05-14","2022-06-05",6,2022
9,1,9,132,16,"2022-05-08","2022-06-04",6,2022
10,1,10,6,31,"2022-05-09","2022-06-14",6,2022
11,1,11,190,18,"2022-05-20","2022-06-01",6,2022
12,1,12,131,48,"2022-05-05","2022-06-09",6,2022
13,1,13,16,18,"2022-05-15","2022-06-15",6,2022
14,1,14,160,28,"2022-05-22","2022-06-11",6,2022
15,1,15,64,29,"2022-05-25","2022-06-10",6,2022
16,1,16,52,40,"2022-05-04","2022-06-04",6,2022
17,1,17,154,31,"2022-05-22","2022-06-14",6,2022
18,1,18,114,41,"2022-05-15","2022-06-06",6,2022
19,1,19,69,31,"2022-05-15","2022-06-10",6,2022
20,1,20,90,58,"2022-05-29","2022-06-11",6,2022
21,1,21,93,37,"2022-05-04","2022-06-10",6,2022
22,1,22,128,46,"2022-05-29","2022-06-13",6,2022
23,1,23,60,43,"2022-05-30","2022-06-02",6,2022
24,1,24,65,34,"2022-05-05","2022-06-11",6,2022
25,1,25,76,58,"2022-05-10","2022-06-03",6,2022
26,1,26,186,32,"2022-05-12","2022-06-03",6,2022
27,1,27,70,31,"2022-05-04","2022-06-08",6,2022
28,1,28,154,24,"2022-05-09","2022-06-10",6,2022
29,1,29,19,24,"2022-05-28","2022-06-01",6,2022
30,1,30,105,34,"2022-05-28","2022-06-06",6,2022
31,1,31,42,32,"2022-05-24","2022-06-13",6,2022
32,1,32,131,50,"2022-05-18","2022-06-01",6,2022
33,1,33,37,36,"2022-05-25","2022-06-09",6,2022
34,1,34,150,36,"2022-05-13","2022-06-13",6,2022
35,1,35,64,14,"2022-05-11","2022-06-14",6,2022
36,1,36,128,41,"2022-05-15","2022-06-12",6,2022
37,1,37,109,37,"2022-05-21","2022-06-14",6,2022
38,1,38,86,46,"2022-05-26","2022-06-09",6,2022
39,1,39,66,37,"2022-05-04","2022-06-06",6,2022
40,1,40,82,48,"2022-05-06","2022-06-12",6,2022
41,1,41,175,28,"2022-05-26","2022-06-02",6,2022
42,1,42,157,38,"2022-05-14","2022-06-08",6,2022
43,1,43,195,44,"2022-05-30","2022-06-02",6,2022
44,1,44,165,19,"2022-05-07","2022-06-03",6,2022
45,1,45,57,48,"2022-05-25","2022-06-15",6,2022
46,1,46,81,21,"2022-05-12","2022-06-09",6,2022
47,1,47,156,25,"2022-05-16","2022-06-04",6,2022
48,1,48,119,48,"2022-05-19","2022-06-02",6,2022
49,1,49,56,50,"2022-05-04","2022-06-15",6,2022
50,1,50,91,25,"2022-05-12","2022-06-13",6,2022
51,1,51,131,12,"2022-05-22","2022-06-06",6,2022
52,1,52,39,10,"2022-05-18","2022-06-07",6,2022
53,1,53,143,35,"2022-05-17","2022-06-06",6,2022
54,1,54,141,31,"2022-05-11","2022-06-15",6,2022
55,1,55,174,33,"2022-05-11","2022-06-03",6,2022
56,1,56,132,13,"2022-05-10","2022-06-01",6,2022
57,1,57,145,44,"2022-05-05","2022-06-01",6,2022
58,1,58,188,24,"2022-05-23","2022-06-15",6,2022
59,1,59,87,47,"2022-05-25","2022-06-11",6,2022
60,1,60,88,44,"2022-05-09","2022-06-06",6,2022
61,1,61,136,16,"2022-05-28","2022-06-12",6,2022
