"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,119,3,35,105,"2022-03-12"
2,1,132,2,450,900,"2022-03-12"
3,1,73,3,369,1107,"2022-03-12"
4,1,131,1,80,80,"2022-03-12"
5,1,20,1,189,189,"2022-03-12"
6,1,37,2,415,830,"2022-03-12"
7,1,83,3,189,567,"2022-03-12"
8,2,146,2,1100,2200,"2022-03-04"
9,2,118,4,199,796,"2022-03-04"
10,2,106,4,400,1600,"2022-03-04"
11,2,2,3,670,2010,"2022-03-04"
12,2,120,2,275,550,"2022-03-04"
13,2,26,4,85,340,"2022-03-04"
14,3,96,2,89,178,"2022-03-07"
15,3,133,5,5439,27195,"2022-03-07"
16,3,123,4,80,320,"2022-03-07"
17,4,10,1,481,481,"2022-03-21"
18,4,30,2,409,818,"2022-03-21"
19,4,151,1,250,250,"2022-03-21"
20,4,70,1,279,279,"2022-03-21"
21,4,98,2,115,230,"2022-03-21"
22,4,32,2,269,538,"2022-03-21"
23,5,3,2,575,1150,"2022-03-05"
24,5,136,1,29,29,"2022-03-05"
25,5,102,1,15,15,"2022-03-05"
26,5,113,1,179,179,"2022-03-05"
27,6,156,1,150,150,"2022-03-31"
28,7,53,4,1120,4480,"2022-03-12"
29,7,131,1,80,80,"2022-03-12"
30,7,144,1,2600,2600,"2022-03-12"
31,7,74,1,469,469,"2022-03-12"
32,8,124,5,239,1195,"2022-03-15"
33,8,11,1,600,600,"2022-03-15"
34,9,69,3,170,510,"2022-03-05"
35,9,44,2,66900,133800,"2022-03-05"
36,9,90,5,270,1350,"2022-03-05"
37,9,59,2,939,1878,"2022-03-05"
38,10,147,3,900,2700,"2022-03-19"
39,10,109,1,250,250,"2022-03-19"
40,10,147,2,900,1800,"2022-03-19"
41,11,127,3,1200,3600,"2022-03-25"
42,11,120,2,275,550,"2022-03-25"
43,11,150,1,4500,4500,"2022-03-25"
44,11,74,1,469,469,"2022-03-25"
45,11,143,3,2000,6000,"2022-03-25"
46,11,80,4,549,2196,"2022-03-25"
47,12,74,2,469,938,"2022-03-25"
48,12,30,3,409,1227,"2022-03-25"
49,12,115,5,175,875,"2022-03-25"
50,12,31,1,335,335,"2022-03-25"
51,12,19,2,219,438,"2022-03-25"
52,12,9,1,574,574,"2022-03-25"
53,12,22,1,67,67,"2022-03-25"
54,12,21,2,75,150,"2022-03-25"
55,13,117,1,225,225,"2022-03-25"
56,13,105,2,29,58,"2022-03-25"
57,13,149,2,1100,2200,"2022-03-25"
58,13,67,2,180,360,"2022-03-25"
59,14,89,4,350,1400,"2022-03-18"
60,15,144,1,2600,2600,"2022-03-08"
61,15,130,5,70,350,"2022-03-08"
62,15,1,1,527,527,"2022-03-08"
63,15,56,1,1165,1165,"2022-03-08"
64,15,31,1,335,335,"2022-03-08"
65,15,93,1,29,29,"2022-03-08"
66,15,103,4,39,156,"2022-03-08"
67,16,105,1,29,29,"2022-03-26"
68,16,49,1,13000,13000,"2022-03-26"
69,16,87,1,270,270,"2022-03-26"
70,16,52,3,425,1275,"2022-03-26"
71,16,80,1,549,549,"2022-03-26"
72,17,75,1,199,199,"2022-03-11"
73,17,73,2,369,738,"2022-03-11"
74,17,126,3,350,1050,"2022-03-11"
75,17,150,4,4500,18000,"2022-03-11"
76,17,154,3,290,870,"2022-03-11"
77,17,63,1,1019,1019,"2022-03-11"
78,18,72,1,289,289,"2022-03-24"
79,18,117,3,225,675,"2022-03-24"
80,18,107,1,450,450,"2022-03-24"
81,19,135,1,89,89,"2022-03-04"
82,19,2,2,670,1340,"2022-03-04"
83,19,140,1,145,145,"2022-03-04"
84,19,37,1,415,415,"2022-03-04"
85,19,113,1,179,179,"2022-03-04"
86,20,9,2,574,1148,"2022-03-25"
87,20,119,2,35,70,"2022-03-25"
88,20,147,3,900,2700,"2022-03-25"
89,20,105,1,29,29,"2022-03-25"
90,20,146,5,1100,5500,"2022-03-25"
91,20,129,3,1400,4200,"2022-03-25"
92,21,78,5,229,1145,"2022-03-24"
93,21,98,2,115,230,"2022-03-24"
94,21,102,3,15,45,"2022-03-24"
95,21,42,4,52500,210000,"2022-03-24"
96,22,125,3,585,1755,"2022-03-11"
97,22,56,3,1165,3495,"2022-03-11"
98,23,72,3,289,867,"2022-03-05"
99,23,140,1,145,145,"2022-03-05"
100,23,63,2,1019,2038,"2022-03-05"
101,23,41,3,575,1725,"2022-03-05"
102,23,142,2,2200,4400,"2022-03-05"
103,24,8,4,545,2180,"2022-03-02"
104,24,117,4,225,900,"2022-03-02"
105,24,86,1,85,85,"2022-03-02"
106,24,150,1,4500,4500,"2022-03-02"
107,24,39,1,575,575,"2022-03-02"
108,24,9,1,574,574,"2022-03-02"
109,24,130,3,70,210,"2022-03-02"
110,25,69,2,170,340,"2022-03-22"
111,25,3,1,575,575,"2022-03-22"
112,25,66,3,200,600,"2022-03-22"
113,26,84,2,75,150,"2022-03-12"
114,26,96,5,89,445,"2022-03-12"
115,26,91,1,150,150,"2022-03-12"
116,26,106,1,400,400,"2022-03-12"
117,26,35,1,389,389,"2022-03-12"
118,26,127,1,1200,1200,"2022-03-12"
119,26,155,2,200,400,"2022-03-12"
120,27,140,3,145,435,"2022-03-10"
121,28,34,5,315,1575,"2022-03-26"
122,28,26,1,85,85,"2022-03-26"
123,28,149,2,1100,2200,"2022-03-26"
124,28,116,1,179,179,"2022-03-26"
125,29,81,2,145,290,"2022-03-04"
126,29,64,2,779,1558,"2022-03-04"
127,29,62,1,545,545,"2022-03-04"
128,29,46,3,18900,56700,"2022-03-04"
129,29,41,3,575,1725,"2022-03-04"
130,30,61,2,79,158,"2022-03-16"
131,30,54,2,235,470,"2022-03-16"
132,30,146,2,1100,2200,"2022-03-16"
133,30,72,5,289,1445,"2022-03-16"
134,30,97,2,99,198,"2022-03-16"
135,30,27,2,169,338,"2022-03-16"
136,31,29,1,369,369,"2022-03-31"
137,31,78,2,229,458,"2022-03-31"
138,31,52,2,425,850,"2022-03-31"
139,31,87,4,270,1080,"2022-03-31"
140,32,154,5,290,1450,"2022-03-11"
141,32,71,2,410,820,"2022-03-11"
142,32,109,4,250,1000,"2022-03-11"
143,33,143,1,2000,2000,"2022-03-15"
144,33,135,2,89,178,"2022-03-15"
145,33,55,1,280,280,"2022-03-15"
146,33,57,5,995,4975,"2022-03-15"
147,33,79,4,619,2476,"2022-03-15"
148,34,143,1,2000,2000,"2022-03-18"
149,34,42,2,52500,105000,"2022-03-18"
150,34,6,1,550,550,"2022-03-18"
151,34,60,1,345,345,"2022-03-18"
152,34,121,1,179,179,"2022-03-18"
153,34,94,2,19,38,"2022-03-18"
154,35,85,2,75,150,"2022-03-16"
155,35,41,2,575,1150,"2022-03-16"
156,35,20,1,189,189,"2022-03-16"
157,35,39,1,575,575,"2022-03-16"
158,35,151,2,250,500,"2022-03-16"
159,35,138,3,45,135,"2022-03-16"
160,35,98,2,115,230,"2022-03-16"
161,35,77,3,119,357,"2022-03-16"
162,35,31,3,335,1005,"2022-03-16"
