"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,101,40,"2022-04-30","2022-05-08",5,2022
2,1,2,92,29,"2022-04-06","2022-05-05",5,2022
3,1,3,145,37,"2022-04-25","2022-05-01",5,2022
4,1,4,164,21,"2022-04-07","2022-05-13",5,2022
5,1,5,16,41,"2022-04-22","2022-05-04",5,2022
6,1,6,137,14,"2022-04-18","2022-05-01",5,2022
7,1,7,7,20,"2022-04-10","2022-05-14",5,2022
8,1,8,114,35,"2022-04-22","2022-05-13",5,2022
9,1,9,132,45,"2022-04-17","2022-05-02",5,2022
10,1,10,137,44,"2022-04-10","2022-05-07",5,2022
11,1,11,85,16,"2022-04-20","2022-05-13",5,2022
12,1,12,130,50,"2022-04-05","2022-05-09",5,2022
13,1,13,131,12,"2022-04-16","2022-05-06",5,2022
14,1,14,20,39,"2022-04-10","2022-05-15",5,2022
15,1,15,3,20,"2022-04-03","2022-05-09",5,2022
16,1,16,180,48,"2022-04-17","2022-05-01",5,2022
17,1,17,85,12,"2022-04-01","2022-05-08",5,2022
18,1,18,60,57,"2022-04-13","2022-05-09",5,2022
19,1,19,131,57,"2022-04-24","2022-05-01",5,2022
20,1,20,100,57,"2022-04-19","2022-05-09",5,2022
21,1,21,70,52,"2022-04-23","2022-05-07",5,2022
22,1,22,66,40,"2022-04-13","2022-05-06",5,2022
23,1,23,139,36,"2022-04-27","2022-05-06",5,2022
24,1,24,132,57,"2022-04-23","2022-05-03",5,2022
25,1,25,39,32,"2022-04-18","2022-05-10",5,2022
26,1,26,89,43,"2022-04-12","2022-05-10",5,2022
27,1,27,111,34,"2022-04-08","2022-05-08",5,2022
28,1,28,21,18,"2022-04-10","2022-05-10",5,2022
29,1,29,140,35,"2022-04-15","2022-05-05",5,2022
30,1,30,174,44,"2022-04-19","2022-05-01",5,2022
31,1,31,88,13,"2022-04-13","2022-05-06",5,2022
32,1,32,8,40,"2022-04-25","2022-05-02",5,2022
33,1,33,7,21,"2022-04-15","2022-05-12",5,2022
34,1,34,28,36,"2022-04-25","2022-05-01",5,2022
35,1,35,108,40,"2022-04-11","2022-05-13",5,2022
36,1,36,64,14,"2022-04-18","2022-05-09",5,2022
37,1,37,74,19,"2022-04-27","2022-05-11",5,2022
38,1,38,2,39,"2022-04-03","2022-05-12",5,2022
39,1,39,168,12,"2022-04-10","2022-05-10",5,2022
40,1,40,191,18,"2022-04-10","2022-05-05",5,2022
41,1,41,167,24,"2022-04-29","2022-05-09",5,2022
42,1,42,120,34,"2022-04-14","2022-05-15",5,2022
43,1,43,115,12,"2022-04-28","2022-05-06",5,2022
44,1,44,95,20,"2022-04-28","2022-05-03",5,2022
45,1,45,27,17,"2022-04-27","2022-05-12",5,2022
46,1,46,131,41,"2022-04-04","2022-05-08",5,2022
47,1,47,109,28,"2022-04-07","2022-05-01",5,2022
48,1,48,127,17,"2022-04-16","2022-05-04",5,2022
49,1,49,97,12,"2022-04-06","2022-05-12",5,2022
50,1,50,87,37,"2022-04-30","2022-05-09",5,2022
51,1,51,44,20,"2022-04-10","2022-05-14",5,2022
52,1,52,25,29,"2022-04-02","2022-05-02",5,2022
53,1,53,185,46,"2022-04-21","2022-05-06",5,2022
54,1,54,110,13,"2022-04-27","2022-05-14",5,2022
55,1,55,107,49,"2022-04-28","2022-05-12",5,2022
56,1,56,55,14,"2022-04-21","2022-05-14",5,2022
57,1,57,85,13,"2022-04-13","2022-05-06",5,2022
58,1,58,156,37,"2022-04-27","2022-05-14",5,2022
59,1,59,97,47,"2022-04-12","2022-05-04",5,2022
60,1,60,94,21,"2022-04-30","2022-05-12",5,2022
61,1,61,133,10,"2022-04-18","2022-05-04",5,2022
62,1,62,84,10,"2022-04-16","2022-05-05",5,2022
63,1,63,47,27,"2022-04-13","2022-05-03",5,2022
64,1,64,46,43,"2022-04-05","2022-05-07",5,2022
65,1,65,0,31,"2022-04-14","2022-05-07",5,2022
66,1,66,32,13,"2022-04-03","2022-05-02",5,2022
67,1,67,177,14,"2022-04-03","2022-05-02",5,2022
68,1,68,175,16,"2022-04-14","2022-05-13",5,2022
69,1,69,155,31,"2022-04-29","2022-05-03",5,2022
70,1,70,14,22,"2022-04-02","2022-05-05",5,2022
71,1,71,153,16,"2022-04-02","2022-05-01",5,2022
72,1,72,95,19,"2022-04-23","2022-05-12",5,2022
73,1,73,53,17,"2022-04-05","2022-05-15",5,2022
74,1,74,113,38,"2022-04-05","2022-05-03",5,2022
75,1,75,157,12,"2022-04-24","2022-05-02",5,2022
76,1,76,71,24,"2022-04-24","2022-05-04",5,2022
77,1,77,22,11,"2022-04-25","2022-05-08",5,2022
78,1,78,39,39,"2022-04-17","2022-05-12",5,2022
79,1,79,18,11,"2022-04-18","2022-05-14",5,2022
80,1,80,39,46,"2022-04-02","2022-05-10",5,2022
81,1,81,37,33,"2022-04-04","2022-05-08",5,2022
82,1,82,92,20,"2022-04-09","2022-05-14",5,2022
83,1,83,7,18,"2022-04-01","2022-05-04",5,2022
84,1,84,180,35,"2022-04-29","2022-05-02",5,2022
85,1,85,5,30,"2022-04-08","2022-05-06",5,2022
86,1,86,104,36,"2022-04-02","2022-05-07",5,2022
87,1,87,178,17,"2022-04-25","2022-05-11",5,2022
88,1,88,60,29,"2022-04-19","2022-05-08",5,2022
89,1,89,170,24,"2022-04-10","2022-05-04",5,2022
90,1,90,167,49,"2022-04-15","2022-05-12",5,2022
91,1,91,174,49,"2022-04-12","2022-05-12",5,2022
92,1,92,154,29,"2022-04-19","2022-05-13",5,2022
93,1,93,64,25,"2022-04-30","2022-05-02",5,2022
94,1,94,98,31,"2022-04-02","2022-05-01",5,2022
95,1,95,57,27,"2022-04-14","2022-05-12",5,2022
96,1,96,19,39,"2022-04-17","2022-05-02",5,2022
97,1,97,50,22,"2022-04-20","2022-05-01",5,2022
98,1,98,33,27,"2022-04-10","2022-05-10",5,2022
99,1,99,18,35,"2022-04-02","2022-05-10",5,2022
100,1,100,61,21,"2022-04-19","2022-05-05",5,2022
101,1,101,67,36,"2022-04-17","2022-05-02",5,2022
