"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2022-05-22 15:45:00",9,101427,22800,0.0,22800.0,"Cash",3876.0,26676.0,228
2,"2022-05-14 15:36:00",8,101144,5631,0.0,5631.0,"Credit Card",957.27,6588.27,56
3,"2022-05-18 17:28:00",3,101031,170335,8516.75,161818.25,"Mobile Wallet",27509.1,189327.35,1618
4,"2022-05-10 17:53:00",1,100364,59503,0.0,59503.0,"Credit Card",10115.51,69618.51,595
5,"2022-05-10 13:10:00",3,100549,13726,0.0,13726.0,"Mobile Wallet",2333.42,16059.42,137
6,"2022-05-12 16:28:00",12,101064,4338,650.7,3687.3,"Credit Card",626.84,4314.14,36
7,"2022-05-01 12:14:00",8,100894,53156,0.0,53156.0,"Credit Card",9036.52,62192.52,531
8,"2022-05-14 10:31:00",11,100034,2973,0.0,2973.0,"Debit Card",505.41,3478.41,29
9,"2022-05-03 18:05:00",11,100344,2987,0.0,2987.0,"Credit Card",507.79,3494.79,29
10,"2022-05-21 13:00:00",1,101146,8524,0.0,8524.0,"Bank Transfer",1449.08,9973.08,85
11,"2022-05-14 19:21:00",8,101174,29598,0.0,29598.0,"Credit Card",5031.66,34629.66,295
12,"2022-05-06 18:27:00",1,100084,3350,670.0,2680.0,"Mobile Wallet",455.6,3135.6,26
13,"2022-05-18 12:45:00",18,100378,45663,0.0,45663.0,"Cash",7762.71,53425.71,456
14,"2022-05-04 11:29:00",1,100157,6816,0.0,6816.0,"Mobile Wallet",1158.72,7974.72,68
15,"2022-05-06 12:12:00",15,100277,679,67.9,611.1,"Cash",103.89,714.99,6
16,"2022-05-09 18:24:00",3,100364,2708,135.4,2572.6,"Credit Card",437.34,3009.94,25
17,"2022-05-14 16:20:00",18,100308,60111,3005.55,57105.45,"Bank Transfer",9707.93,66813.38,571
18,"2022-05-15 12:11:00",12,100813,73495,0.0,73495.0,"Debit Card",12494.15,85989.15,734
