"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,74,49,"2022-10-04","2022-11-15",11,2022
2,1,2,173,49,"2022-10-15","2022-11-03",11,2022
3,1,3,17,11,"2022-10-08","2022-11-12",11,2022
4,1,4,186,16,"2022-10-17","2022-11-14",11,2022
5,1,5,158,33,"2022-10-03","2022-11-08",11,2022
6,1,6,144,19,"2022-10-15","2022-11-09",11,2022
7,1,7,129,41,"2022-10-20","2022-11-13",11,2022
8,1,8,8,27,"2022-10-06","2022-11-05",11,2022
9,1,9,87,28,"2022-10-16","2022-11-06",11,2022
10,1,10,3,24,"2022-10-13","2022-11-15",11,2022
11,1,11,98,15,"2022-10-12","2022-11-08",11,2022
12,1,12,119,17,"2022-10-05","2022-11-02",11,2022
13,1,13,5,25,"2022-10-27","2022-11-01",11,2022
14,1,14,72,48,"2022-10-20","2022-11-06",11,2022
15,1,15,39,39,"2022-10-17","2022-11-06",11,2022
16,1,16,150,30,"2022-10-02","2022-11-13",11,2022
17,1,17,107,41,"2022-10-16","2022-11-14",11,2022
18,1,18,140,32,"2022-10-05","2022-11-11",11,2022
19,1,19,144,39,"2022-10-21","2022-11-15",11,2022
20,1,20,64,39,"2022-10-23","2022-11-07",11,2022
21,1,21,120,41,"2022-10-15","2022-11-13",11,2022
22,1,22,102,49,"2022-10-06","2022-11-03",11,2022
23,1,23,37,36,"2022-10-06","2022-11-15",11,2022
24,1,24,113,53,"2022-10-25","2022-11-13",11,2022
25,1,25,88,51,"2022-10-23","2022-11-12",11,2022
26,1,26,114,31,"2022-10-11","2022-11-12",11,2022
27,1,27,195,15,"2022-10-09","2022-11-01",11,2022
28,1,28,67,14,"2022-10-30","2022-11-07",11,2022
29,1,29,196,25,"2022-10-12","2022-11-12",11,2022
30,1,30,67,30,"2022-10-05","2022-11-09",11,2022
31,1,31,1,25,"2022-10-02","2022-11-01",11,2022
32,1,32,107,23,"2022-10-23","2022-11-10",11,2022
33,1,33,18,47,"2022-10-28","2022-11-07",11,2022
34,1,34,49,11,"2022-10-02","2022-11-02",11,2022
35,1,35,116,34,"2022-10-20","2022-11-03",11,2022
36,1,36,11,22,"2022-10-12","2022-11-14",11,2022
37,1,37,82,50,"2022-10-14","2022-11-09",11,2022
38,1,38,105,38,"2022-10-16","2022-11-08",11,2022
39,1,39,161,20,"2022-10-21","2022-11-04",11,2022
40,1,40,101,25,"2022-10-21","2022-11-08",11,2022
41,1,41,191,20,"2022-10-06","2022-11-14",11,2022
42,1,42,189,10,"2022-10-04","2022-11-15",11,2022
43,1,43,15,30,"2022-10-24","2022-11-03",11,2022
44,1,44,200,45,"2022-10-09","2022-11-13",11,2022
45,1,45,24,46,"2022-10-05","2022-11-12",11,2022
46,1,46,198,42,"2022-10-24","2022-11-02",11,2022
47,1,47,54,30,"2022-10-18","2022-11-08",11,2022
48,1,48,46,37,"2022-10-02","2022-11-07",11,2022
49,1,49,50,37,"2022-10-30","2022-11-14",11,2022
50,1,50,103,39,"2022-10-23","2022-11-07",11,2022
51,1,51,105,31,"2022-10-27","2022-11-06",11,2022
52,1,52,57,42,"2022-10-24","2022-11-02",11,2022
53,1,53,182,13,"2022-10-20","2022-11-09",11,2022
54,1,54,86,25,"2022-10-24","2022-11-15",11,2022
55,1,55,130,47,"2022-10-08","2022-11-05",11,2022
56,1,56,144,21,"2022-10-16","2022-11-10",11,2022
57,1,57,7,39,"2022-10-09","2022-11-07",11,2022
58,1,58,173,12,"2022-10-26","2022-11-11",11,2022
59,1,59,7,26,"2022-10-31","2022-11-03",11,2022
60,1,60,111,19,"2022-10-15","2022-11-02",11,2022
61,1,61,146,34,"2022-10-21","2022-11-07",11,2022
62,1,62,57,16,"2022-10-29","2022-11-11",11,2022
63,1,63,188,37,"2022-10-13","2022-11-13",11,2022
64,1,64,94,39,"2022-10-22","2022-11-02",11,2022
65,1,65,184,15,"2022-10-29","2022-11-05",11,2022
66,1,66,160,26,"2022-10-12","2022-11-08",11,2022
67,1,67,21,30,"2022-10-20","2022-11-08",11,2022
68,1,68,30,12,"2022-10-10","2022-11-04",11,2022
69,1,69,28,49,"2022-10-22","2022-11-14",11,2022
70,1,70,171,37,"2022-10-30","2022-11-15",11,2022
71,1,71,142,17,"2022-10-26","2022-11-14",11,2022
72,1,72,139,13,"2022-10-04","2022-11-02",11,2022
73,1,73,118,30,"2022-10-04","2022-11-04",11,2022
74,1,74,109,40,"2022-10-28","2022-11-15",11,2022
75,1,75,156,33,"2022-10-04","2022-11-09",11,2022
76,1,76,123,10,"2022-10-16","2022-11-08",11,2022
77,1,77,73,48,"2022-10-08","2022-11-01",11,2022
78,1,78,3,28,"2022-10-28","2022-11-14",11,2022
79,1,79,119,22,"2022-10-08","2022-11-02",11,2022
80,1,80,196,15,"2022-10-10","2022-11-13",11,2022
81,1,81,198,43,"2022-10-09","2022-11-12",11,2022
82,1,82,106,42,"2022-10-17","2022-11-13",11,2022
83,1,83,162,14,"2022-10-23","2022-11-04",11,2022
84,1,84,8,27,"2022-10-31","2022-11-10",11,2022
85,1,85,175,41,"2022-10-06","2022-11-01",11,2022
86,1,86,1,38,"2022-10-31","2022-11-03",11,2022
87,1,87,16,50,"2022-10-17","2022-11-12",11,2022
88,1,88,163,48,"2022-10-06","2022-11-08",11,2022
89,1,89,189,32,"2022-10-04","2022-11-14",11,2022
90,1,90,124,15,"2022-10-10","2022-11-02",11,2022
91,1,91,104,26,"2022-10-11","2022-11-12",11,2022
92,1,92,68,30,"2022-10-08","2022-11-04",11,2022
93,1,93,22,25,"2022-10-10","2022-11-12",11,2022
94,1,94,72,28,"2022-10-28","2022-11-14",11,2022
95,1,95,26,23,"2022-10-20","2022-11-01",11,2022
96,1,96,47,21,"2022-10-10","2022-11-04",11,2022
97,1,97,39,39,"2022-10-05","2022-11-13",11,2022
98,1,98,21,38,"2022-10-12","2022-11-15",11,2022
99,1,99,44,21,"2022-10-22","2022-11-03",11,2022
100,1,100,12,31,"2022-10-29","2022-11-06",11,2022
101,1,101,91,35,"2022-10-18","2022-11-10",11,2022
102,1,102,46,21,"2022-10-11","2022-11-05",11,2022
103,1,103,99,32,"2022-10-10","2022-11-03",11,2022
104,1,104,20,23,"2022-10-19","2022-11-06",11,2022
105,1,105,23,38,"2022-10-30","2022-11-12",11,2022
106,1,106,67,27,"2022-10-16","2022-11-01",11,2022
107,1,107,88,36,"2022-10-07","2022-11-08",11,2022
108,1,108,23,35,"2022-10-22","2022-11-11",11,2022
109,1,109,33,26,"2022-10-17","2022-11-06",11,2022
110,1,110,45,24,"2022-10-12","2022-11-05",11,2022
111,1,111,119,40,"2022-10-28","2022-11-11",11,2022
112,1,112,183,38,"2022-10-28","2022-11-02",11,2022
113,1,113,123,14,"2022-10-03","2022-11-15",11,2022
114,1,114,146,27,"2022-10-04","2022-11-10",11,2022
115,1,115,194,13,"2022-10-05","2022-11-05",11,2022
116,1,116,158,28,"2022-10-23","2022-11-07",11,2022
