"promotion_id","product_id","promotion_name","discount_type","discount_value","start_date","end_date","month","year"
1,83,"Special Offer on Ponam Cornflour 1kg","percentage",25,"2022-10-03","2022-10-09",10,2022
2,116,"Special Offer on Popular Maza Juice 1L","fixed",200,"2022-10-23","2022-10-30",10,2022
3,63,"Special Offer on Choco Bliss Milk Spread 675g","percentage",15,"2022-10-23","2022-11-03",10,2022
4,84,"Special Offer on Ponam Suji 500g","percentage",5,"2022-10-04","2022-10-15",10,2022
5,86,"Special Offer on Ponam Bajra Flour 500g","percentage",25,"2022-10-12","2022-10-25",10,2022
6,150,"Special Offer on Pine Nuts (Chilgoza) 200g","percentage",20,"2022-10-22","2022-11-05",10,2022
7,109,"Special Offer on Orange (Kinnow) 1kg","percentage",5,"2022-10-03","2022-10-15",10,2022
8,138,"Special Offer on Bake Parlor Fruit Bun","percentage",10,"2022-10-01","2022-10-12",10,2022
9,104,"Special Offer on Turnip 500g","fixed",200,"2022-10-01","2022-10-11",10,2022
10,141,"Special Offer on Bake Parlor Bread Large","fixed",100,"2022-10-13","2022-10-24",10,2022
11,59,"Special Offer on K&N's Chicken Fun Nuggets 795g","fixed",150,"2022-10-12","2022-10-15",10,2022
12,130,"Special Offer on Whiskas Cat Food Pouch 85g","percentage",10,"2022-10-21","2022-11-04",10,2022
13,51,"Special Offer on PEL Microwave Oven 32L DW-132S","fixed",200,"2022-10-12","2022-10-26",10,2022
14,89,"Special Offer on Mitchell's Mango Squash 500ml","fixed",50,"2022-10-21","2022-10-30",10,2022
15,99,"Special Offer on Cabbage 500g","fixed",200,"2022-10-18","2022-10-29",10,2022
16,35,"Special Offer on Sunsilk Thick & Long Shampoo 185ml","percentage",15,"2022-10-04","2022-10-09",10,2022
