"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2022-10-11 18:52:00",10,100594,2870,0.0,2870.0,"Debit Card",487.9,3357.9,28
2,"2022-10-12 16:32:00",10,100013,36166,0.0,36166.0,"Credit Card",6148.22,42314.22,361
3,"2022-10-07 18:27:00",7,100925,31053,6210.6,24842.4,"Cash",4223.21,29065.61,248
4,"2022-10-10 18:44:00",5,100851,4531,0.0,4531.0,"Debit Card",770.27,5301.27,45
5,"2022-10-11 13:51:00",11,100791,40885,0.0,40885.0,"Cash",6950.45,47835.45,408
6,"2022-10-23 17:31:00",5,100714,500,0.0,500.0,"Mobile Wallet",85.0,585.0,5
7,"2022-10-20 18:12:00",17,101000,3770,754.0,3016.0,"Bank Transfer",512.72,3528.72,30
8,"2022-10-06 19:14:00",11,101402,11795,0.0,11795.0,"Mobile Wallet",2005.15,13800.15,117
9,"2022-10-26 19:50:00",3,100852,7624,381.2,7242.8,"Bank Transfer",1231.28,8474.08,72
10,"2022-10-12 13:51:00",18,100232,1958,97.9,1860.1,"Mobile Wallet",316.22,2176.32,18
11,"2022-10-10 15:31:00",9,101204,2698,539.6,2158.4,"Bank Transfer",366.93,2525.33,21
12,"2022-10-12 20:32:00",3,100686,271993,0.0,271993.0,"Credit Card",46238.81,318231.81,2719
13,"2022-10-04 10:59:00",14,100088,90165,0.0,90165.0,"Mobile Wallet",15328.05,105493.05,901
14,"2022-10-29 19:20:00",16,101131,26207,0.0,26207.0,"Credit Card",4455.19,30662.19,262
15,"2022-10-14 14:30:00",8,100673,2828,0.0,2828.0,"Mobile Wallet",480.76,3308.76,28
16,"2022-10-21 18:41:00",6,100206,3789,189.45,3599.55,"Mobile Wallet",611.92,4211.47,35
17,"2022-10-30 12:43:00",6,100977,7849,0.0,7849.0,"Debit Card",1334.33,9183.33,78
18,"2022-10-10 17:55:00",16,100578,6125,1225.0,4900.0,"Mobile Wallet",833.0,5733.0,49
19,"2022-10-15 19:06:00",16,101301,2523,126.15,2396.85,"Debit Card",407.46,2804.31,23
20,"2022-10-15 19:50:00",2,101159,2401,120.05,2280.95,"Debit Card",387.76,2668.71,22
21,"2022-10-27 18:26:00",3,100222,2010,0.0,2010.0,"Mobile Wallet",341.7,2351.7,20
22,"2022-10-27 18:18:00",9,101426,4906,735.9,4170.1,"Debit Card",708.92,4879.02,41
23,"2022-10-05 12:50:00",8,100204,3591,0.0,3591.0,"Cash",610.47,4201.47,35
24,"2022-10-27 17:33:00",16,100117,5082,0.0,5082.0,"Debit Card",863.94,5945.94,50
25,"2022-10-11 19:25:00",1,100279,170668,17066.8,153601.2,"Debit Card",26112.2,179713.4,1536
26,"2022-10-02 19:44:00",13,100414,53085,0.0,53085.0,"Mobile Wallet",9024.45,62109.45,530
27,"2022-10-02 19:24:00",1,101387,4149,0.0,4149.0,"Bank Transfer",705.33,4854.33,41
28,"2022-10-25 18:44:00",8,100678,8094,1214.1,6879.9,"Cash",1169.58,8049.48,68
29,"2022-10-20 11:36:00",5,101137,1139,227.8,911.2,"Mobile Wallet",154.9,1066.1,9
30,"2022-10-29 14:06:00",13,100937,25142,0.0,25142.0,"Bank Transfer",4274.14,29416.14,251
31,"2022-10-22 16:02:00",17,101313,2729,0.0,2729.0,"Credit Card",463.93,3192.93,27
32,"2022-10-08 17:18:00",1,100007,3179,0.0,3179.0,"Credit Card",540.43,3719.43,31
33,"2022-10-08 17:32:00",1,100531,15337,3067.4,12269.6,"Cash",2085.83,14355.43,122
34,"2022-10-14 17:19:00",16,100122,6291,1258.2,5032.8,"Debit Card",855.58,5888.38,50
35,"2022-10-21 18:40:00",18,100574,4007,0.0,4007.0,"Mobile Wallet",681.19,4688.19,40
36,"2022-10-28 17:43:00",3,100362,2669,400.35,2268.65,"Cash",385.67,2654.32,22
37,"2022-10-02 10:18:00",9,100109,2691,0.0,2691.0,"Bank Transfer",457.47,3148.47,26
38,"2022-10-18 10:19:00",1,100097,1607,160.7,1446.3,"Mobile Wallet",245.87,1692.17,14
39,"2022-10-10 10:58:00",8,100634,213170,0.0,213170.0,"Bank Transfer",36238.9,249408.9,2131
40,"2022-10-27 15:07:00",1,100372,7133,0.0,7133.0,"Credit Card",1212.61,8345.61,71
41,"2022-10-14 17:08:00",18,100271,7262,1452.4,5809.6,"Bank Transfer",987.63,6797.23,58
42,"2022-10-07 19:47:00",8,101118,12279,0.0,12279.0,"Cash",2087.43,14366.43,122
43,"2022-10-22 12:35:00",19,100671,2905,435.75,2469.25,"Bank Transfer",419.77,2889.02,24
44,"2022-10-27 16:16:00",1,100268,30751,4612.65,26138.35,"Mobile Wallet",4443.52,30581.87,261
45,"2022-10-08 11:10:00",2,100870,1318,0.0,1318.0,"Mobile Wallet",224.06,1542.06,13
46,"2022-10-01 20:33:00",18,100714,38000,0.0,38000.0,"Debit Card",6460.0,44460.0,380
47,"2022-10-21 10:35:00",1,100102,1972,197.2,1774.8,"Cash",301.72,2076.52,17
48,"2022-10-20 10:48:00",13,101220,18850,0.0,18850.0,"Debit Card",3204.5,22054.5,188
49,"2022-10-27 16:01:00",7,100012,46867,9373.4,37493.6,"Mobile Wallet",6373.91,43867.51,374
50,"2022-10-08 12:59:00",17,101384,84077,4203.85,79873.15,"Debit Card",13578.44,93451.59,798
51,"2022-10-09 18:47:00",11,101157,2517,0.0,2517.0,"Credit Card",427.89,2944.89,25
52,"2022-10-15 12:26:00",1,101223,3462,692.4,2769.6,"Bank Transfer",470.83,3240.43,27
53,"2022-10-14 12:47:00",4,100514,30381,6076.2,24304.8,"Debit Card",4131.82,28436.62,243
54,"2022-10-29 19:15:00",5,100809,929,0.0,929.0,"Debit Card",157.93,1086.93,9
55,"2022-10-01 15:09:00",18,100036,5985,0.0,5985.0,"Credit Card",1017.45,7002.45,59
56,"2022-10-04 13:11:00",11,101331,3260,0.0,3260.0,"Mobile Wallet",554.2,3814.2,32
57,"2022-10-28 11:26:00",8,101121,3499,699.8,2799.2,"Bank Transfer",475.86,3275.06,27
58,"2022-10-17 11:37:00",4,101264,1768,0.0,1768.0,"Bank Transfer",300.56,2068.56,17
59,"2022-10-11 19:56:00",8,101183,55382,0.0,55382.0,"Debit Card",9414.94,64796.94,553
60,"2022-10-28 10:56:00",5,100795,60663,0.0,60663.0,"Debit Card",10312.71,70975.71,606
61,"2022-10-28 09:48:00",14,100767,3953,0.0,3953.0,"Cash",672.01,4625.01,39
62,"2022-10-21 16:23:00",3,100637,985,0.0,985.0,"Bank Transfer",167.45,1152.45,9
63,"2022-10-19 18:45:00",8,100074,1340,201.0,1139.0,"Debit Card",193.63,1332.63,11
64,"2022-10-12 19:30:00",8,101306,10407,520.35,9886.65,"Mobile Wallet",1680.73,11567.38,98
65,"2022-10-09 19:54:00",4,101101,2773,277.3,2495.7,"Credit Card",424.27,2919.97,24
66,"2022-10-24 18:30:00",15,100671,2339,116.95,2222.05,"Mobile Wallet",377.75,2599.8,22
67,"2022-10-07 18:52:00",18,100203,3512,702.4,2809.6,"Bank Transfer",477.63,3287.23,28
68,"2022-10-01 14:56:00",15,100869,2376,118.8,2257.2,"Mobile Wallet",383.72,2640.92,22
69,"2022-10-10 20:35:00",1,100497,4403,0.0,4403.0,"Cash",748.51,5151.51,44
70,"2022-10-07 20:44:00",7,100311,4029,0.0,4029.0,"Debit Card",684.93,4713.93,40
71,"2022-10-06 19:42:00",10,101179,8715,0.0,8715.0,"Debit Card",1481.55,10196.55,87
72,"2022-10-01 09:46:00",13,101066,2381,0.0,2381.0,"Mobile Wallet",404.77,2785.77,23
73,"2022-10-12 12:46:00",19,101306,4794,239.7,4554.3,"Credit Card",774.23,5328.53,45
74,"2022-10-16 15:38:00",8,100514,292341,43851.15,248489.85,"Mobile Wallet",42243.27,290733.12,2484
75,"2022-10-08 18:06:00",18,100157,9451,472.55,8978.45,"Debit Card",1526.34,10504.79,89
76,"2022-10-31 17:33:00",19,100564,5625,0.0,5625.0,"Cash",956.25,6581.25,56
77,"2022-10-22 16:06:00",13,100737,1175,58.75,1116.25,"Bank Transfer",189.76,1306.01,11
78,"2022-10-23 09:03:00",6,100478,7456,0.0,7456.0,"Mobile Wallet",1267.52,8723.52,74
79,"2022-10-03 20:29:00",1,100010,39695,3969.5,35725.5,"Bank Transfer",6073.34,41798.84,357
80,"2022-10-28 09:41:00",14,100405,169044,0.0,169044.0,"Debit Card",28737.48,197781.48,1690
81,"2022-10-13 09:08:00",14,101126,4164,624.6,3539.4,"Mobile Wallet",601.7,4141.1,35
82,"2022-10-12 19:03:00",17,101111,1273,0.0,1273.0,"Cash",216.41,1489.41,12
83,"2022-10-24 18:52:00",6,101089,70263,14052.6,56210.4,"Mobile Wallet",9555.77,65766.17,562
