"sale_item_id","sale_id","product_id","quantity","unit_price","total_price","sale_date"
1,1,98,2,115,230,"2022-10-11"
2,1,40,3,880,2640,"2022-10-11"
3,2,64,1,779,779,"2022-10-12"
4,2,50,2,17500,35000,"2022-10-12"
5,2,100,1,49,49,"2022-10-12"
6,2,27,2,169,338,"2022-10-12"
7,3,156,3,150,450,"2022-10-07"
8,3,143,1,2000,2000,"2022-10-07"
9,3,136,1,29,29,"2022-10-07"
10,3,133,5,5439,27195,"2022-10-07"
11,3,17,1,1379,1379,"2022-10-07"
12,4,152,2,180,360,"2022-10-10"
13,4,119,1,35,35,"2022-10-10"
14,4,108,2,300,600,"2022-10-10"
15,4,138,1,45,45,"2022-10-10"
16,4,14,2,549,1098,"2022-10-10"
17,4,31,2,335,670,"2022-10-10"
18,4,114,2,75,150,"2022-10-10"
19,4,140,1,145,145,"2022-10-10"
20,4,12,2,515,1030,"2022-10-10"
21,4,76,2,199,398,"2022-10-10"
22,5,9,2,574,1148,"2022-10-11"
23,5,80,3,549,1647,"2022-10-11"
24,5,71,2,410,820,"2022-10-11"
25,5,130,3,70,210,"2022-10-11"
26,5,50,2,17500,35000,"2022-10-11"
27,5,12,4,515,2060,"2022-10-11"
28,6,98,1,115,115,"2022-10-23"
29,6,69,2,170,340,"2022-10-23"
30,6,138,1,45,45,"2022-10-23"
31,7,33,4,765,3060,"2022-10-20"
32,7,91,2,150,300,"2022-10-20"
33,7,71,1,410,410,"2022-10-20"
34,8,64,3,779,2337,"2022-10-06"
35,8,47,1,9000,9000,"2022-10-06"
36,8,66,2,200,400,"2022-10-06"
37,8,99,2,29,58,"2022-10-06"
38,9,74,1,469,469,"2022-10-26"
39,9,32,2,269,538,"2022-10-26"
40,9,137,2,90,180,"2022-10-26"
41,9,149,3,1100,3300,"2022-10-26"
42,9,64,3,779,2337,"2022-10-26"
43,9,106,2,400,800,"2022-10-26"
44,10,99,1,29,29,"2022-10-12"
45,10,34,2,315,630,"2022-10-12"
46,10,151,3,250,750,"2022-10-12"
47,10,80,1,549,549,"2022-10-12"
48,11,95,3,49,147,"2022-10-10"
49,11,23,3,65,195,"2022-10-10"
50,11,4,4,589,2356,"2022-10-10"
51,12,88,2,140,280,"2022-10-12"
52,12,119,2,35,70,"2022-10-12"
53,12,108,3,300,900,"2022-10-12"
54,12,110,2,75,150,"2022-10-12"
55,12,29,4,369,1476,"2022-10-12"
56,12,9,2,574,1148,"2022-10-12"
57,12,44,4,66900,267600,"2022-10-12"
58,12,73,1,369,369,"2022-10-12"
59,13,149,1,1100,1100,"2022-10-04"
60,13,71,4,410,1640,"2022-10-04"
61,13,46,4,18900,75600,"2022-10-04"
62,13,113,2,179,358,"2022-10-04"
63,13,133,2,5439,10878,"2022-10-04"
64,13,4,1,589,589,"2022-10-04"
65,14,16,1,1300,1300,"2022-10-29"
66,14,65,3,150,450,"2022-10-29"
67,14,48,1,19000,19000,"2022-10-29"
68,14,13,1,520,520,"2022-10-29"
69,14,148,1,2600,2600,"2022-10-29"
70,14,64,3,779,2337,"2022-10-29"
71,15,67,3,180,540,"2022-10-14"
72,15,2,2,670,1340,"2022-10-14"
73,15,19,1,219,219,"2022-10-14"
74,15,92,1,379,379,"2022-10-14"
75,15,111,2,175,350,"2022-10-14"
76,16,127,1,1200,1200,"2022-10-21"
77,16,156,1,150,150,"2022-10-21"
78,16,105,1,29,29,"2022-10-21"
79,16,56,1,1165,1165,"2022-10-21"
80,16,18,4,205,820,"2022-10-21"
81,16,52,1,425,425,"2022-10-21"
82,17,121,2,179,358,"2022-10-30"
83,17,125,2,585,1170,"2022-10-30"
84,17,26,1,85,85,"2022-10-30"
85,17,78,4,229,916,"2022-10-30"
86,17,64,4,779,3116,"2022-10-30"
87,17,33,2,765,1530,"2022-10-30"
88,17,130,3,70,210,"2022-10-30"
89,17,26,1,85,85,"2022-10-30"
90,17,92,1,379,379,"2022-10-30"
91,18,149,2,1100,2200,"2022-10-10"
92,18,85,4,75,300,"2022-10-10"
93,18,72,3,289,867,"2022-10-10"
94,18,17,2,1379,2758,"2022-10-10"
95,19,36,5,469,2345,"2022-10-15"
96,19,96,2,89,178,"2022-10-15"
97,20,94,3,19,57,"2022-10-15"
98,20,140,2,145,290,"2022-10-15"
99,20,120,3,275,825,"2022-10-15"
100,20,99,1,29,29,"2022-10-15"
101,20,127,1,1200,1200,"2022-10-15"
102,21,152,2,180,360,"2022-10-27"
103,21,87,1,270,270,"2022-10-27"
104,21,87,4,270,1080,"2022-10-27"
105,21,65,2,150,300,"2022-10-27"
106,22,9,4,574,2296,"2022-10-27"
107,22,40,2,880,1760,"2022-10-27"
108,22,86,4,85,340,"2022-10-27"
109,22,69,3,170,510,"2022-10-27"
110,23,15,1,599,599,"2022-10-05"
111,23,141,3,199,597,"2022-10-05"
112,23,79,3,619,1857,"2022-10-05"
113,23,32,2,269,538,"2022-10-05"
114,24,129,1,1400,1400,"2022-10-27"
115,24,126,2,350,700,"2022-10-27"
116,24,23,4,65,260,"2022-10-27"
117,24,72,5,289,1445,"2022-10-27"
118,24,41,1,575,575,"2022-10-27"
119,24,28,3,229,687,"2022-10-27"
120,24,102,1,15,15,"2022-10-27"
121,25,45,3,51500,154500,"2022-10-11"
122,25,100,3,49,147,"2022-10-11"
123,25,119,2,35,70,"2022-10-11"
124,25,49,1,13000,13000,"2022-10-11"
125,25,25,1,359,359,"2022-10-11"
126,25,141,2,199,398,"2022-10-11"
127,25,39,3,575,1725,"2022-10-11"
128,25,36,1,469,469,"2022-10-11"
129,26,18,2,205,410,"2022-10-02"
130,26,115,1,175,175,"2022-10-02"
131,26,50,3,17500,52500,"2022-10-02"
132,27,76,3,199,597,"2022-10-02"
133,27,144,1,2600,2600,"2022-10-02"
134,27,136,1,29,29,"2022-10-02"
135,27,2,1,670,670,"2022-10-02"
136,27,77,2,119,238,"2022-10-02"
137,27,102,1,15,15,"2022-10-02"
138,28,17,1,1379,1379,"2022-10-25"
139,28,86,4,85,340,"2022-10-25"
140,28,142,1,2200,2200,"2022-10-25"
141,28,153,1,190,190,"2022-10-25"
142,28,137,2,90,180,"2022-10-25"
143,28,66,2,200,400,"2022-10-25"
144,28,102,3,15,45,"2022-10-25"
145,28,53,3,1120,3360,"2022-10-25"
146,29,73,1,369,369,"2022-10-20"
147,29,156,2,150,300,"2022-10-20"
148,29,54,2,235,470,"2022-10-20"
149,30,36,2,469,938,"2022-10-29"
150,30,143,2,2000,4000,"2022-10-29"
151,30,73,2,369,738,"2022-10-29"
152,30,52,1,425,425,"2022-10-29"
153,30,11,1,600,600,"2022-10-29"
154,30,2,1,670,670,"2022-10-29"
155,30,64,4,779,3116,"2022-10-29"
156,30,134,3,4885,14655,"2022-10-29"
157,31,30,1,409,409,"2022-10-22"
158,31,40,1,880,880,"2022-10-22"
159,31,67,1,180,180,"2022-10-22"
160,31,34,4,315,1260,"2022-10-22"
161,32,59,1,939,939,"2022-10-08"
162,32,53,2,1120,2240,"2022-10-08"
163,33,75,1,199,199,"2022-10-08"
164,33,150,3,4500,13500,"2022-10-08"
165,33,73,2,369,738,"2022-10-08"
166,33,132,2,450,900,"2022-10-08"
167,34,14,3,549,1647,"2022-10-14"
168,34,88,3,140,420,"2022-10-14"
169,34,138,4,45,180,"2022-10-14"
170,34,12,1,515,515,"2022-10-14"
171,34,155,1,200,200,"2022-10-14"
172,34,139,1,109,109,"2022-10-14"
173,34,90,1,270,270,"2022-10-14"
174,34,126,1,350,350,"2022-10-14"
175,34,148,1,2600,2600,"2022-10-14"
176,35,4,1,589,589,"2022-10-21"
177,35,131,1,80,80,"2022-10-21"
178,35,53,2,1120,2240,"2022-10-21"
179,35,14,2,549,1098,"2022-10-21"
180,36,90,2,270,540,"2022-10-28"
181,36,13,2,520,1040,"2022-10-28"
182,36,23,2,65,130,"2022-10-28"
183,36,27,1,169,169,"2022-10-28"
184,36,107,1,450,450,"2022-10-28"
185,36,68,2,170,340,"2022-10-28"
186,37,124,1,239,239,"2022-10-02"
187,37,72,1,289,289,"2022-10-02"
188,37,30,4,409,1636,"2022-10-02"
189,37,1,1,527,527,"2022-10-02"
190,38,32,1,269,269,"2022-10-18"
191,38,123,5,80,400,"2022-10-18"
192,38,74,2,469,938,"2022-10-18"
193,39,87,2,270,540,"2022-10-10"
194,39,150,1,4500,4500,"2022-10-10"
195,39,105,2,29,58,"2022-10-10"
196,39,26,1,85,85,"2022-10-10"
197,39,154,2,290,580,"2022-10-10"
198,39,45,4,51500,206000,"2022-10-10"
199,39,74,3,469,1407,"2022-10-10"
200,40,156,1,150,150,"2022-10-27"
201,40,116,2,179,358,"2022-10-27"
202,40,61,3,79,237,"2022-10-27"
203,40,63,4,1019,4076,"2022-10-27"
204,40,10,2,481,962,"2022-10-27"
205,40,130,2,70,140,"2022-10-27"
206,40,2,1,670,670,"2022-10-27"
207,40,152,3,180,540,"2022-10-27"
208,41,16,1,1300,1300,"2022-10-14"
209,41,74,3,469,1407,"2022-10-14"
210,41,73,3,369,1107,"2022-10-14"
211,41,29,2,369,738,"2022-10-14"
212,41,74,1,469,469,"2022-10-14"
213,41,92,4,379,1516,"2022-10-14"
214,41,66,1,200,200,"2022-10-14"
215,41,115,3,175,525,"2022-10-14"
216,42,35,1,389,389,"2022-10-07"
217,42,101,5,139,695,"2022-10-07"
218,42,55,4,280,1120,"2022-10-07"
219,42,41,2,575,1150,"2022-10-07"
220,42,13,5,520,2600,"2022-10-07"
221,42,111,3,175,525,"2022-10-07"
222,42,143,2,2000,4000,"2022-10-07"
223,42,147,2,900,1800,"2022-10-07"
224,43,2,4,670,2680,"2022-10-22"
225,43,110,3,75,225,"2022-10-22"
226,44,124,2,239,478,"2022-10-27"
227,44,3,4,575,2300,"2022-10-27"
228,44,136,3,29,87,"2022-10-27"
229,44,80,3,549,1647,"2022-10-27"
230,44,49,2,13000,26000,"2022-10-27"
231,44,124,1,239,239,"2022-10-27"
232,45,2,1,670,670,"2022-10-08"
233,45,20,2,189,378,"2022-10-08"
234,45,90,1,270,270,"2022-10-08"
235,46,48,2,19000,38000,"2022-10-01"
236,47,57,1,995,995,"2022-10-21"
237,47,32,2,269,538,"2022-10-21"
238,47,73,1,369,369,"2022-10-21"
239,47,130,1,70,70,"2022-10-21"
240,48,52,2,425,850,"2022-10-20"
241,48,47,2,9000,18000,"2022-10-20"
242,49,146,2,1100,2200,"2022-10-27"
243,49,105,1,29,29,"2022-10-27"
244,49,58,1,929,929,"2022-10-27"
245,49,47,4,9000,36000,"2022-10-27"
246,49,151,2,250,500,"2022-10-27"
247,49,146,1,1100,1100,"2022-10-27"
248,49,91,2,150,300,"2022-10-27"
249,49,105,1,29,29,"2022-10-27"
250,49,67,1,180,180,"2022-10-27"
251,49,129,4,1400,5600,"2022-10-27"
252,50,29,1,369,369,"2022-10-08"
253,50,48,3,19000,57000,"2022-10-08"
254,50,115,3,175,525,"2022-10-08"
255,50,31,3,335,1005,"2022-10-08"
256,50,79,2,619,1238,"2022-10-08"
257,50,134,4,4885,19540,"2022-10-08"
258,50,149,4,1100,4400,"2022-10-08"
259,51,119,3,35,105,"2022-10-09"
260,51,92,3,379,1137,"2022-10-09"
261,51,55,1,280,280,"2022-10-09"
262,51,23,3,65,195,"2022-10-09"
263,51,106,2,400,800,"2022-10-09"
264,52,27,1,169,169,"2022-10-15"
265,52,8,5,545,2725,"2022-10-15"
266,52,68,1,170,170,"2022-10-15"
267,52,75,2,199,398,"2022-10-15"
268,53,144,1,2600,2600,"2022-10-14"
269,53,115,2,175,350,"2022-10-14"
270,53,54,1,235,235,"2022-10-14"
271,53,47,3,9000,27000,"2022-10-14"
272,53,95,4,49,196,"2022-10-14"
273,54,58,1,929,929,"2022-10-29"
274,55,134,1,4885,4885,"2022-10-01"
275,55,149,1,1100,1100,"2022-10-01"
276,56,33,1,765,765,"2022-10-04"
277,56,114,2,75,150,"2022-10-04"
278,56,115,3,175,525,"2022-10-04"
279,56,16,1,1300,1300,"2022-10-04"
280,56,86,2,85,170,"2022-10-04"
281,56,126,1,350,350,"2022-10-04"
282,57,109,1,250,250,"2022-10-28"
283,57,71,1,410,410,"2022-10-28"
284,57,129,2,1400,2800,"2022-10-28"
285,57,103,1,39,39,"2022-10-28"
286,58,23,2,65,130,"2022-10-17"
287,58,7,2,524,1048,"2022-10-17"
288,58,108,1,300,300,"2022-10-17"
289,58,122,2,145,290,"2022-10-17"
290,59,113,3,179,537,"2022-10-11"
291,59,131,1,80,80,"2022-10-11"
292,59,42,1,52500,52500,"2022-10-11"
293,59,10,1,481,481,"2022-10-11"
294,59,33,1,765,765,"2022-10-11"
295,59,63,1,1019,1019,"2022-10-11"
296,60,46,3,18900,56700,"2022-10-28"
297,60,148,1,2600,2600,"2022-10-28"
298,60,86,5,85,425,"2022-10-28"
299,60,74,2,469,938,"2022-10-28"
300,61,80,1,549,549,"2022-10-28"
301,61,38,5,235,1175,"2022-10-28"
302,61,132,2,450,900,"2022-10-28"
303,61,99,1,29,29,"2022-10-28"
304,61,68,5,170,850,"2022-10-28"
305,61,65,3,150,450,"2022-10-28"
306,62,118,4,199,796,"2022-10-21"
307,62,20,1,189,189,"2022-10-21"
308,63,2,2,670,1340,"2022-10-19"
309,64,137,4,90,360,"2022-10-12"
310,64,129,3,1400,4200,"2022-10-12"
311,64,151,4,250,1000,"2022-10-12"
