"inventory_id","store_id","product_id","quantity","min_stock_level","last_restock_date","next_restock_date","month","year"
1,1,1,165,12,"2022-08-19","2022-09-07",9,2022
2,1,2,114,28,"2022-08-22","2022-09-04",9,2022
3,1,3,67,47,"2022-08-23","2022-09-12",9,2022
4,1,4,30,39,"2022-08-16","2022-09-06",9,2022
5,1,5,79,36,"2022-08-05","2022-09-13",9,2022
6,1,6,191,14,"2022-08-02","2022-09-13",9,2022
7,1,7,24,41,"2022-08-02","2022-09-01",9,2022
8,1,8,96,33,"2022-08-27","2022-09-01",9,2022
9,1,9,147,39,"2022-08-19","2022-09-09",9,2022
10,1,10,145,21,"2022-08-29","2022-09-06",9,2022
11,1,11,116,36,"2022-08-22","2022-09-09",9,2022
12,1,12,58,33,"2022-08-08","2022-09-01",9,2022
13,1,13,46,23,"2022-08-18","2022-09-04",9,2022
14,1,14,52,31,"2022-08-12","2022-09-11",9,2022
15,1,15,50,29,"2022-08-15","2022-09-04",9,2022
16,1,16,147,45,"2022-08-24","2022-09-04",9,2022
17,1,17,189,27,"2022-08-06","2022-09-02",9,2022
18,1,18,35,52,"2022-08-09","2022-09-01",9,2022
19,1,19,143,38,"2022-08-11","2022-09-11",9,2022
20,1,20,108,31,"2022-08-27","2022-09-05",9,2022
21,1,21,28,44,"2022-08-28","2022-09-13",9,2022
22,1,22,125,37,"2022-08-04","2022-09-15",9,2022
23,1,23,59,60,"2022-08-02","2022-09-08",9,2022
24,1,24,112,40,"2022-08-14","2022-09-09",9,2022
25,1,25,104,58,"2022-08-23","2022-09-09",9,2022
26,1,26,196,47,"2022-08-17","2022-09-09",9,2022
27,1,27,60,48,"2022-08-23","2022-09-15",9,2022
28,1,28,45,38,"2022-08-21","2022-09-15",9,2022
29,1,29,113,30,"2022-08-08","2022-09-01",9,2022
30,1,30,54,24,"2022-08-13","2022-09-05",9,2022
31,1,31,139,11,"2022-08-14","2022-09-15",9,2022
32,1,32,49,16,"2022-08-02","2022-09-10",9,2022
33,1,33,0,18,"2022-08-19","2022-09-03",9,2022
34,1,34,164,44,"2022-08-16","2022-09-12",9,2022
35,1,35,109,48,"2022-08-06","2022-09-08",9,2022
36,1,36,165,45,"2022-08-10","2022-09-10",9,2022
37,1,37,135,37,"2022-08-13","2022-09-07",9,2022
38,1,38,129,16,"2022-08-30","2022-09-07",9,2022
39,1,39,14,48,"2022-08-14","2022-09-15",9,2022
40,1,40,128,10,"2022-08-31","2022-09-08",9,2022
41,1,41,165,46,"2022-08-07","2022-09-12",9,2022
42,1,42,138,47,"2022-08-20","2022-09-09",9,2022
43,1,43,143,25,"2022-08-04","2022-09-02",9,2022
44,1,44,126,44,"2022-08-09","2022-09-11",9,2022
45,1,45,170,12,"2022-08-23","2022-09-02",9,2022
46,1,46,135,14,"2022-08-25","2022-09-14",9,2022
47,1,47,7,39,"2022-08-16","2022-09-03",9,2022
48,1,48,103,18,"2022-08-12","2022-09-03",9,2022
49,1,49,134,37,"2022-08-18","2022-09-09",9,2022
50,1,50,181,16,"2022-08-31","2022-09-14",9,2022
51,1,51,194,44,"2022-08-21","2022-09-04",9,2022
52,1,52,139,23,"2022-08-08","2022-09-11",9,2022
53,1,53,104,14,"2022-08-12","2022-09-01",9,2022
54,1,54,151,41,"2022-08-15","2022-09-11",9,2022
55,1,55,90,13,"2022-08-21","2022-09-14",9,2022
56,1,56,169,16,"2022-08-12","2022-09-06",9,2022
57,1,57,18,10,"2022-08-21","2022-09-12",9,2022
58,1,58,28,19,"2022-08-11","2022-09-14",9,2022
59,1,59,122,13,"2022-08-22","2022-09-05",9,2022
60,1,60,116,16,"2022-08-15","2022-09-15",9,2022
61,1,61,6,26,"2022-08-31","2022-09-15",9,2022
62,1,62,149,20,"2022-08-31","2022-09-11",9,2022
63,1,63,155,13,"2022-08-19","2022-09-13",9,2022
64,1,64,166,25,"2022-08-02","2022-09-12",9,2022
65,1,65,71,25,"2022-08-25","2022-09-06",9,2022
66,1,66,26,34,"2022-08-03","2022-09-02",9,2022
67,1,67,128,30,"2022-08-19","2022-09-07",9,2022
68,1,68,62,17,"2022-08-14","2022-09-14",9,2022
69,1,69,175,28,"2022-08-14","2022-09-07",9,2022
70,1,70,39,27,"2022-08-08","2022-09-07",9,2022
71,1,71,129,26,"2022-08-07","2022-09-04",9,2022
72,1,72,66,50,"2022-08-31","2022-09-05",9,2022
73,1,73,145,14,"2022-08-24","2022-09-09",9,2022
74,1,74,49,20,"2022-08-04","2022-09-04",9,2022
75,1,75,180,38,"2022-08-02","2022-09-06",9,2022
76,1,76,41,40,"2022-08-29","2022-09-06",9,2022
77,1,77,5,27,"2022-08-11","2022-09-10",9,2022
78,1,78,112,27,"2022-08-14","2022-09-06",9,2022
79,1,79,160,12,"2022-08-22","2022-09-03",9,2022
80,1,80,180,15,"2022-08-21","2022-09-06",9,2022
81,1,81,177,26,"2022-08-15","2022-09-11",9,2022
82,1,82,115,23,"2022-08-19","2022-09-02",9,2022
83,1,83,40,42,"2022-08-19","2022-09-03",9,2022
84,1,84,24,13,"2022-08-07","2022-09-13",9,2022
85,1,85,28,47,"2022-08-17","2022-09-02",9,2022
86,1,86,134,20,"2022-08-13","2022-09-11",9,2022
87,1,87,122,45,"2022-08-25","2022-09-02",9,2022
88,1,88,54,32,"2022-08-03","2022-09-10",9,2022
89,1,89,66,26,"2022-08-03","2022-09-15",9,2022
90,1,90,138,14,"2022-08-11","2022-09-01",9,2022
91,1,91,56,10,"2022-08-25","2022-09-15",9,2022
92,1,92,34,38,"2022-08-19","2022-09-09",9,2022
93,1,93,80,40,"2022-08-26","2022-09-10",9,2022
94,1,94,94,39,"2022-08-12","2022-09-12",9,2022
95,1,95,50,25,"2022-08-20","2022-09-08",9,2022
96,1,96,50,24,"2022-08-18","2022-09-10",9,2022
97,1,97,41,36,"2022-08-10","2022-09-02",9,2022
98,1,98,54,22,"2022-08-20","2022-09-02",9,2022
99,1,99,91,20,"2022-08-31","2022-09-05",9,2022
100,1,100,60,23,"2022-08-16","2022-09-06",9,2022
