"sale_id","sale_datetime","store_id","customer_id","total_amount","discount_amount","final_amount","payment_method","tax_amount","net_amount","loyalty_points_earned"
1,"2022-09-06 09:42:00",8,100661,255,0.0,255.0,"Bank Transfer",43.35,298.35,2
2,"2022-09-15 12:16:00",18,100587,3984,0.0,3984.0,"Credit Card",677.28,4661.28,39
3,"2022-09-29 16:10:00",18,101048,65,3.25,61.75,"Debit Card",10.5,72.25,0
4,"2022-09-11 16:10:00",11,100351,11323,0.0,11323.0,"Mobile Wallet",1924.91,13247.91,113
5,"2022-09-20 18:22:00",16,100495,1800,180.0,1620.0,"Debit Card",275.4,1895.4,16
6,"2022-09-01 17:28:00",12,100168,2475,618.75,1856.25,"Debit Card",315.56,2171.81,18
7,"2022-09-06 17:09:00",16,101432,8814,440.7,8373.3,"Bank Transfer",1423.46,9796.76,83
8,"2022-09-28 18:12:00",18,100299,454,68.1,385.9,"Credit Card",65.6,451.5,3
9,"2022-09-12 15:49:00",3,101376,7257,1451.4,5805.6,"Credit Card",986.95,6792.55,58
10,"2022-09-09 20:24:00",15,100272,54240,8136.0,46104.0,"Debit Card",7837.68,53941.68,461
11,"2022-09-10 11:12:00",16,101110,21255,0.0,21255.0,"Bank Transfer",3613.35,24868.35,212
12,"2022-09-27 17:33:00",1,100901,1461,219.15,1241.85,"Mobile Wallet",211.11,1452.96,12
13,"2022-09-23 11:23:00",19,100970,2934,440.1,2493.9,"Credit Card",423.96,2917.86,24
14,"2022-09-30 14:32:00",3,100374,4897,0.0,4897.0,"Credit Card",832.49,5729.49,48
15,"2022-09-17 19:08:00",12,100612,13862,0.0,13862.0,"Bank Transfer",2356.54,16218.54,138
16,"2022-09-20 16:52:00",13,100110,6762,338.1,6423.9,"Debit Card",1092.06,7515.96,64
17,"2022-09-03 10:48:00",10,101275,1487,0.0,1487.0,"Cash",252.79,1739.79,14
18,"2022-09-10 19:02:00",13,100845,19963,4990.75,14972.25,"Mobile Wallet",2545.28,17517.53,149
19,"2022-09-29 20:19:00",15,100145,4398,0.0,4398.0,"Debit Card",747.66,5145.66,43
20,"2022-09-17 18:58:00",15,100830,24565,2456.5,22108.5,"Credit Card",3758.44,25866.94,221
21,"2022-09-01 12:27:00",13,100316,815,0.0,815.0,"Debit Card",138.55,953.55,8
22,"2022-09-05 11:59:00",12,100521,344,51.6,292.4,"Bank Transfer",49.71,342.11,2
23,"2022-09-13 10:30:00",7,100524,1145,0.0,1145.0,"Cash",194.65,1339.65,11
24,"2022-09-26 18:35:00",15,100911,269,0.0,269.0,"Credit Card",45.73,314.73,2
25,"2022-09-17 15:57:00",4,101062,15002,0.0,15002.0,"Cash",2550.34,17552.34,150
26,"2022-09-18 18:26:00",9,101175,1353,0.0,1353.0,"Bank Transfer",230.01,1583.01,13
27,"2022-09-17 18:54:00",3,100830,217717,0.0,217717.0,"Bank Transfer",37011.89,254728.89,2177
28,"2022-09-27 15:58:00",14,100489,537,0.0,537.0,"Debit Card",91.29,628.29,5
29,"2022-09-28 18:30:00",18,100319,635,0.0,635.0,"Debit Card",107.95,742.95,6
30,"2022-09-30 20:02:00",8,100428,5981,897.15,5083.85,"Bank Transfer",864.25,5948.1,50
31,"2022-09-05 16:56:00",7,101310,3244,0.0,3244.0,"Cash",551.48,3795.48,32
32,"2022-09-25 12:13:00",11,101233,4267,0.0,4267.0,"Mobile Wallet",725.39,4992.39,42
33,"2022-09-21 17:03:00",11,101326,1128,0.0,1128.0,"Bank Transfer",191.76,1319.76,11
34,"2022-09-18 17:51:00",16,100298,81293,4064.65,77228.35,"Bank Transfer",13128.82,90357.17,772
35,"2022-09-05 18:29:00",3,101025,4666,466.6,4199.4,"Mobile Wallet",713.9,4913.3,41
36,"2022-09-03 13:37:00",19,100876,1231,184.65,1046.35,"Mobile Wallet",177.88,1224.23,10
37,"2022-09-24 16:06:00",16,100143,2004,0.0,2004.0,"Mobile Wallet",340.68,2344.68,20
38,"2022-09-09 14:04:00",10,100643,3950,197.5,3752.5,"Bank Transfer",637.93,4390.42,37
39,"2022-09-02 17:46:00",19,101379,6732,336.6,6395.4,"Debit Card",1087.22,7482.62,63
40,"2022-09-16 10:50:00",10,100822,18509,0.0,18509.0,"Cash",3146.53,21655.53,185
41,"2022-09-20 14:51:00",8,100437,1786,178.6,1607.4,"Mobile Wallet",273.26,1880.66,16
42,"2022-09-22 13:24:00",10,100507,3215,482.25,2732.75,"Cash",464.57,3197.32,27
43,"2022-09-10 19:36:00",18,100307,10853,542.65,10310.35,"Mobile Wallet",1752.76,12063.11,103
44,"2022-09-28 20:48:00",2,100256,2953,590.6,2362.4,"Mobile Wallet",401.61,2764.01,23
45,"2022-09-16 12:59:00",7,100909,15262,1526.2,13735.8,"Debit Card",2335.09,16070.89,137
46,"2022-09-30 17:34:00",16,101310,6127,919.05,5207.95,"Bank Transfer",885.35,6093.3,52
47,"2022-09-08 16:20:00",12,100429,425,0.0,425.0,"Credit Card",72.25,497.25,4
48,"2022-09-02 18:25:00",14,101397,760,0.0,760.0,"Mobile Wallet",129.2,889.2,7
49,"2022-09-20 10:54:00",16,100854,56010,5601.0,50409.0,"Debit Card",8569.53,58978.53,504
50,"2022-09-17 17:47:00",15,100780,2998,0.0,2998.0,"Mobile Wallet",509.66,3507.66,29
51,"2022-09-07 10:18:00",10,101338,26275,0.0,26275.0,"Mobile Wallet",4466.75,30741.75,262
52,"2022-09-19 18:02:00",4,100837,280,0.0,280.0,"Bank Transfer",47.6,327.6,2
53,"2022-09-20 17:54:00",18,101022,6467,0.0,6467.0,"Credit Card",1099.39,7566.39,64
54,"2022-09-19 18:49:00",1,100733,93900,0.0,93900.0,"Credit Card",15963.0,109863.0,939
55,"2022-09-27 11:16:00",18,100652,9316,0.0,9316.0,"Credit Card",1583.72,10899.72,93
56,"2022-09-23 16:14:00",8,100386,1407,0.0,1407.0,"Debit Card",239.19,1646.19,14
57,"2022-09-13 10:02:00",1,100131,254,25.4,228.6,"Bank Transfer",38.86,267.46,2
58,"2022-09-09 17:53:00",2,100868,1763,0.0,1763.0,"Credit Card",299.71,2062.71,17
59,"2022-09-05 15:43:00",14,101351,279,41.85,237.15,"Bank Transfer",40.32,277.47,2
60,"2022-09-02 15:41:00",10,100705,275351,0.0,275351.0,"Bank Transfer",46809.67,322160.67,2753
61,"2022-09-11 19:09:00",3,100154,4432,443.2,3988.8,"Credit Card",678.1,4666.9,39
