"utility_id","utility_type","amount","month","year","payment_date","store_id","invoice_number","paid_via"
1,"Electricity",66785.0,1,2021,"2021-01-10",5,"INV-ELE-2021-01-5273","Cheque"
2,"Water",15535.0,1,2021,"2021-01-15",5,"INV-WAT-2021-01-5105","Cash"
3,"Gas",33674.63,1,2021,"2021-01-14",9,"INV-GAS-2021-01-6878","Bank Transfer"
4,"Internet",19921.0,1,2021,"2021-01-05",3,"INV-INT-2021-01-8771","Bank Transfer"
5,"Telephone",11207.0,1,2021,"2021-01-15",8,"INV-TEL-2021-01-4022","Cash"
6,"Rent",113132.0,1,2021,"2021-01-14",9,"INV-REN-2021-01-1230","Bank Transfer"
7,"Maintenance",46706.0,1,2021,"2021-01-11",6,"INV-MAI-2021-01-4057","Bank Transfer"
8,"Security Services",73479.0,1,2021,"2021-01-13",6,"INV-SEC-2021-01-5641","Cheque"
9,"Electricity",61231.0,2,2021,"2021-02-14",2,"INV-ELE-2021-02-4142","Cash"
10,"Water",8052.0,2,2021,"2021-02-05",3,"INV-WAT-2021-02-3464","Bank Transfer"
11,"Gas",36680.83,2,2021,"2021-02-13",3,"INV-GAS-2021-02-7577","Bank Transfer"
12,"Internet",15211.0,2,2021,"2021-02-08",7,"INV-INT-2021-02-1456","Bank Transfer"
13,"Telephone",9133.0,2,2021,"2021-02-06",6,"INV-TEL-2021-02-6016","Cheque"
14,"Rent",98975.0,2,2021,"2021-02-06",7,"INV-REN-2021-02-3457","Cash"
15,"Maintenance",39261.0,2,2021,"2021-02-14",2,"INV-MAI-2021-02-1103","Cash"
16,"Security Services",55669.0,2,2021,"2021-02-15",8,"INV-SEC-2021-02-4525","Cheque"
17,"Electricity",18113.0,3,2021,"2021-03-11",2,"INV-ELE-2021-03-7993","Bank Transfer"
18,"Water",12276.0,3,2021,"2021-03-15",4,"INV-WAT-2021-03-2392","Cash"
19,"Gas",31281.0,3,2021,"2021-03-11",1,"INV-GAS-2021-03-2576","Cash"
20,"Internet",20811.0,3,2021,"2021-03-12",1,"INV-INT-2021-03-3961","Cheque"
21,"Telephone",11335.0,3,2021,"2021-03-15",2,"INV-TEL-2021-03-6095","Cash"
22,"Rent",90010.0,3,2021,"2021-03-06",8,"INV-REN-2021-03-3438","Bank Transfer"
23,"Maintenance",44021.0,3,2021,"2021-03-08",4,"INV-MAI-2021-03-3776","Cheque"
24,"Security Services",21312.0,3,2021,"2021-03-11",3,"INV-SEC-2021-03-9932","Cash"
25,"Electricity",62399.0,4,2021,"2021-04-15",1,"INV-ELE-2021-04-6572","Cash"
26,"Water",19271.0,4,2021,"2021-04-13",5,"INV-WAT-2021-04-7825","Cheque"
27,"Gas",19045.0,4,2021,"2021-04-08",2,"INV-GAS-2021-04-2269","Cheque"
28,"Internet",19656.0,4,2021,"2021-04-05",7,"INV-INT-2021-04-1624","Bank Transfer"
29,"Telephone",9415.0,4,2021,"2021-04-09",8,"INV-TEL-2021-04-5383","Bank Transfer"
30,"Rent",196487.0,4,2021,"2021-04-11",5,"INV-REN-2021-04-5467","Cheque"
