"expense_id","expense_category","amount","month","year","payment_date","store_id","description","paid_via"
1,"Office Supplies",14569,1,2023,"2023-01-21",3,"Office Supplies expenses for January 2023","Bank Transfer"
2,"Marketing",45304,1,2023,"2023-01-12",1,"Marketing expenses for January 2023","Cheque"
3,"Equipment Maintenance",24086,1,2023,"2023-01-18",9,"Equipment Maintenance expenses for January 2023","Bank Transfer"
4,"Training & Development",41082,1,2023,"2023-01-10",1,"Training & Development expenses for January 2023","Bank Transfer"
5,"Travel",21526,1,2023,"2023-01-24",7,"Travel expenses for January 2023","Bank Transfer"
6,"Insurance",69723,1,2023,"2023-01-16",2,"Insurance expenses for January 2023","Bank Transfer"
7,"Professional Fees",44836,1,2023,"2023-01-25",1,"Professional Fees expenses for January 2023","Cash"
8,"Office Supplies",15545,2,2023,"2023-02-16",3,"Office Supplies expenses for February 2023","Cash"
9,"Training & Development",54298,2,2023,"2023-02-17",8,"Training & Development expenses for February 2023","Bank Transfer"
10,"Travel",5585,2,2023,"2023-02-11",5,"Travel expenses for February 2023","Cheque"
11,"Marketing",29603,3,2023,"2023-03-19",3,"Marketing expenses for March 2023","Bank Transfer"
12,"Equipment Maintenance",16243,3,2023,"2023-03-25",1,"Equipment Maintenance expenses for March 2023","Bank Transfer"
13,"Training & Development",28915,3,2023,"2023-03-22",3,"Training & Development expenses for March 2023","Cash"
14,"Travel",16866,3,2023,"2023-03-19",6,"Travel expenses for March 2023","Cash"
15,"Software Licenses",37287,3,2023,"2023-03-11",5,"Software Licenses expenses for March 2023","Bank Transfer"
16,"Equipment Maintenance",16408,4,2023,"2023-04-12",7,"Equipment Maintenance expenses for April 2023","Bank Transfer"
17,"Travel",16005,4,2023,"2023-04-19",6,"Travel expenses for April 2023","Cash"
18,"Software Licenses",23345,4,2023,"2023-04-15",8,"Software Licenses expenses for April 2023","Bank Transfer"
19,"Insurance",41493,4,2023,"2023-04-10",3,"Insurance expenses for April 2023","Cash"
20,"Professional Fees",35612,4,2023,"2023-04-20",1,"Professional Fees expenses for April 2023","Cheque"
21,"Marketing",17961,5,2023,"2023-05-25",9,"Marketing expenses for May 2023","Cash"
22,"Software Licenses",29102,5,2023,"2023-05-13",8,"Software Licenses expenses for May 2023","Cash"
23,"Professional Fees",33510,5,2023,"2023-05-18",3,"Professional Fees expenses for May 2023","Bank Transfer"
24,"Equipment Maintenance",9278,6,2023,"2023-06-24",4,"Equipment Maintenance expenses for June 2023","Cash"
25,"Software Licenses",29327,6,2023,"2023-06-23",6,"Software Licenses expenses for June 2023","Cheque"
26,"Insurance",32034,6,2023,"2023-06-24",4,"Insurance expenses for June 2023","Bank Transfer"
27,"Professional Fees",39757,6,2023,"2023-06-20",3,"Professional Fees expenses for June 2023","Cheque"
28,"Office Supplies",14006,7,2023,"2023-07-12",3,"Office Supplies expenses for July 2023","Cheque"
29,"Marketing",29368,7,2023,"2023-07-24",1,"Marketing expenses for July 2023","Bank Transfer"
30,"Training & Development",41700,7,2023,"2023-07-17",1,"Training & Development expenses for July 2023","Cash"
31,"Travel",19303,7,2023,"2023-07-21",8,"Travel expenses for July 2023","Cash"
32,"Software Licenses",17309,7,2023,"2023-07-25",6,"Software Licenses expenses for July 2023","Cheque"
33,"Office Supplies",7695,8,2023,"2023-08-10",1,"Office Supplies expenses for August 2023","Cheque"
34,"Marketing",27343,8,2023,"2023-08-13",8,"Marketing expenses for August 2023","Bank Transfer"
35,"Travel",6998,8,2023,"2023-08-24",8,"Travel expenses for August 2023","Bank Transfer"
36,"Software Licenses",13786,8,2023,"2023-08-13",4,"Software Licenses expenses for August 2023","Cash"
37,"Insurance",33032,8,2023,"2023-08-22",4,"Insurance expenses for August 2023","Cash"
38,"Office Supplies",10165,9,2023,"2023-09-21",9,"Office Supplies expenses for September 2023","Cheque"
39,"Marketing",19042,9,2023,"2023-09-12",4,"Marketing expenses for September 2023","Cash"
40,"Equipment Maintenance",22845,9,2023,"2023-09-10",3,"Equipment Maintenance expenses for September 2023","Cash"
41,"Training & Development",17779,9,2023,"2023-09-24",6,"Training & Development expenses for September 2023","Cash"
42,"Travel",17199,9,2023,"2023-09-13",2,"Travel expenses for September 2023","Cash"
43,"Insurance",72543,9,2023,"2023-09-24",3,"Insurance expenses for September 2023","Bank Transfer"
44,"Professional Fees",27131,9,2023,"2023-09-10",7,"Professional Fees expenses for September 2023","Cheque"
45,"Office Supplies",10912,10,2023,"2023-10-10",7,"Office Supplies expenses for October 2023","Cheque"
46,"Travel",21152,10,2023,"2023-10-18",7,"Travel expenses for October 2023","Cash"
47,"Insurance",70711,10,2023,"2023-10-10",6,"Insurance expenses for October 2023","Cash"
48,"Professional Fees",40185,10,2023,"2023-10-12",5,"Professional Fees expenses for October 2023","Bank Transfer"
49,"Office Supplies",18123,11,2023,"2023-11-25",7,"Office Supplies expenses for November 2023","Cash"
50,"Equipment Maintenance",23110,11,2023,"2023-11-21",2,"Equipment Maintenance expenses for November 2023","Cheque"
51,"Training & Development",36094,11,2023,"2023-11-13",5,"Training & Development expenses for November 2023","Cheque"
52,"Travel",5510,11,2023,"2023-11-13",2,"Travel expenses for November 2023","Cheque"
53,"Insurance",28763,11,2023,"2023-11-18",7,"Insurance expenses for November 2023","Cash"
54,"Professional Fees",37275,11,2023,"2023-11-11",4,"Professional Fees expenses for November 2023","Bank Transfer"
55,"Office Supplies",15548,12,2023,"2023-12-14",8,"Office Supplies expenses for December 2023","Bank Transfer"
56,"Training & Development",49604,12,2023,"2023-12-13",7,"Training & Development expenses for December 2023","Cash"
57,"Software Licenses",12509,12,2023,"2023-12-15",6,"Software Licenses expenses for December 2023","Cash"
