"po_item_id","purchase_order_id","product_id","quantity","unit_cost","total_cost","expected_delivery_date"
1,1,6,97,157.77,15303.96,"2021-01-22"
2,1,4,115,457.42,52603.7,"2021-01-22"
3,1,7,39,145.07,5657.66,"2021-01-22"
4,1,10,235,57.64,13544.81,"2021-01-22"
5,1,4,82,432.03,35426.14,"2021-01-22"
6,1,1,73,365.41,26674.94,"2021-01-22"
7,1,12,235,690.32,162225.51,"2021-01-22"
8,2,4,80,508.32,40665.36,"2021-01-28"
9,2,12,287,741.96,212941.37,"2021-01-28"
10,3,3,128,457.17,58517.68,"2021-01-31"
11,3,11,55,425.97,23428.51,"2021-01-31"
12,3,3,104,457.18,47546.74,"2021-01-31"
13,3,12,175,721.73,126302.71,"2021-01-31"
14,3,3,83,487.97,40501.35,"2021-01-31"
15,3,2,162,491.71,79657.44,"2021-01-31"
16,3,11,75,406.36,30476.74,"2021-01-31"
17,3,3,54,487.44,26321.98,"2021-01-31"
18,4,9,66,269.12,17761.62,"2021-01-17"
19,5,3,76,491.46,37350.89,"2021-02-08"
20,5,3,118,409.64,48337.22,"2021-02-08"
21,5,6,40,179.6,7183.94,"2021-02-08"
22,6,8,95,49.58,4709.64,"2021-01-27"
23,6,4,110,436.07,47967.43,"2021-01-27"
24,6,6,58,182.82,10603.41,"2021-01-27"
25,6,9,130,246.55,32051.73,"2021-01-27"
26,7,3,147,469.85,69068.42,"2021-01-30"
27,7,5,234,142.5,33346.08,"2021-01-30"
28,7,12,159,789.77,125572.8,"2021-01-30"
29,7,11,39,403.84,15749.87,"2021-01-30"
30,8,2,67,560.58,37558.68,"2021-01-22"
31,8,9,68,230.74,15690.08,"2021-01-22"
32,8,9,103,263.64,27154.67,"2021-01-22"
33,8,9,60,271.67,16300.46,"2021-01-22"
34,8,7,21,142.2,2986.23,"2021-01-22"
35,8,4,114,490.77,55948.27,"2021-01-22"
36,9,5,116,143.33,16626.07,"2021-01-27"
37,9,11,43,433.31,18632.12,"2021-01-27"
38,9,9,67,227.62,15250.34,"2021-01-27"
39,10,12,194,775.98,150540.98,"2021-01-31"
40,10,4,61,471.5,28761.67,"2021-01-31"
41,10,6,52,176.12,9158.28,"2021-01-31"
42,10,4,113,495.33,55972.31,"2021-01-31"
43,10,4,105,438.86,46080.25,"2021-01-31"
44,10,8,116,58.48,6783.83,"2021-01-31"
45,10,7,26,153.77,3997.96,"2021-01-31"
46,11,11,69,404.65,27921.16,"2021-02-11"
47,11,10,226,57.66,13030.7,"2021-02-11"
48,11,5,219,153.87,33698.39,"2021-02-11"
49,11,7,36,137.29,4942.44,"2021-02-11"
50,11,6,95,158.63,15070.32,"2021-02-11"
51,11,3,138,414.42,57190.54,"2021-02-11"
52,11,7,20,128.68,2573.55,"2021-02-11"
53,11,11,38,429.9,16336.37,"2021-02-11"
54,12,6,66,179.91,11874.39,"2021-02-22"
55,12,4,105,507.59,53296.72,"2021-02-22"
56,12,6,83,156.77,13011.51,"2021-02-22"
57,12,4,79,434.19,34301.25,"2021-02-22"
58,12,10,164,58.0,9511.27,"2021-02-22"
59,12,10,150,50.74,7611.22,"2021-02-22"
60,12,4,69,463.09,31953.33,"2021-02-22"
61,13,7,39,138.73,5410.49,"2021-01-19"
62,13,11,84,410.24,34460.31,"2021-01-19"
63,13,11,72,365.73,26332.42,"2021-01-19"
64,13,5,108,161.33,17423.72,"2021-01-19"
65,13,10,224,55.06,12332.37,"2021-01-19"
66,13,10,159,59.71,9494.23,"2021-01-19"
67,14,6,103,156.48,16117.94,"2021-02-08"
68,14,1,47,401.57,18873.66,"2021-02-08"
69,14,12,97,726.63,70483.52,"2021-02-08"
70,14,12,164,709.89,116421.4,"2021-02-08"
71,15,4,77,508.37,39144.85,"2021-02-10"
72,15,3,80,437.08,34966.48,"2021-02-10"
73,16,8,89,60.12,5350.29,"2021-01-22"
74,16,6,44,162.77,7161.83,"2021-01-22"
75,16,9,87,227.75,19814.29,"2021-01-22"
76,16,3,132,467.68,61734.38,"2021-01-22"
77,16,11,31,394.37,12225.34,"2021-01-22"
78,16,5,222,160.47,35624.27,"2021-01-22"
79,16,4,115,444.33,51097.51,"2021-01-22"
80,17,12,255,805.39,205374.89,"2021-01-16"
81,18,9,48,255.85,12280.67,"2021-01-17"
82,18,2,129,555.81,71699.2,"2021-01-17"
83,18,5,192,151.05,29002.01,"2021-01-17"
84,18,2,68,494.9,33653.49,"2021-01-17"
85,18,8,90,55.43,4988.31,"2021-01-17"
86,18,3,134,473.85,63495.82,"2021-01-17"
87,18,11,60,376.99,22619.62,"2021-01-17"
88,19,7,38,145.89,5543.97,"2021-01-25"
89,19,4,56,507.5,28419.9,"2021-01-25"
90,19,8,81,59.8,4844.14,"2021-01-25"
91,19,11,75,402.56,30192.05,"2021-01-25"
92,20,7,14,137.68,1927.58,"2021-01-16"
93,20,1,92,376.98,34682.4,"2021-01-16"
94,21,6,72,153.6,11059.21,"2021-01-30"
95,21,8,135,51.49,6951.27,"2021-01-30"
96,21,12,216,759.23,163993.83,"2021-01-30"
97,21,1,40,365.04,14601.74,"2021-01-30"
98,21,4,43,498.97,21455.73,"2021-01-30"
99,21,9,113,246.32,27833.89,"2021-01-30"
100,21,1,39,428.22,16700.62,"2021-01-30"
101,21,12,132,774.35,102213.84,"2021-01-30"
102,22,10,190,54.21,10300.74,"2021-02-09"
103,22,6,69,179.07,12355.93,"2021-02-09"
104,22,8,242,52.56,12718.43,"2021-02-09"
105,23,2,73,564.35,41197.4,"2021-02-08"
106,23,8,89,51.01,4539.79,"2021-02-08"
107,23,6,63,155.88,9820.14,"2021-02-08"
108,23,12,200,765.01,153002.67,"2021-02-08"
109,24,9,104,229.31,23848.74,"2021-01-23"
110,24,12,137,739.16,101264.75,"2021-01-23"
111,24,10,196,57.72,11312.36,"2021-01-23"
112,24,8,135,50.23,6780.97,"2021-01-23"
113,24,3,76,420.02,31921.29,"2021-01-23"
114,24,4,79,425.16,33587.43,"2021-01-23"
115,24,2,85,486.59,41360.39,"2021-01-23"
116,24,12,152,821.05,124799.06,"2021-01-23"
117,25,2,100,559.49,55948.95,"2021-02-01"
118,26,6,42,154.03,6469.1,"2021-02-19"
119,26,10,132,52.99,6994.19,"2021-02-19"
120,27,2,83,505.94,41993.36,"2021-03-10"
121,27,1,43,419.86,18053.77,"2021-03-10"
122,27,6,51,166.5,8491.36,"2021-03-10"
123,28,2,138,521.38,71950.33,"2021-03-11"
124,28,4,113,451.69,51040.76,"2021-03-11"
125,28,5,109,139.32,15186.05,"2021-03-11"
126,28,2,76,512.79,38972.11,"2021-03-11"
127,29,11,75,391.73,29380.02,"2021-03-02"
128,29,2,162,512.64,83047.15,"2021-03-02"
129,29,9,105,269.42,28289.19,"2021-03-02"
130,29,9,63,233.84,14731.87,"2021-03-02"
131,29,10,166,53.19,8828.92,"2021-03-02"
132,30,12,100,717.44,71744.07,"2021-02-27"
133,30,5,126,145.51,18334.86,"2021-02-27"
134,30,2,159,517.71,82316.13,"2021-02-27"
135,30,6,85,179.23,15234.32,"2021-02-27"
136,30,4,76,480.55,36522.05,"2021-02-27"
137,31,9,93,255.08,23722.13,"2021-03-10"
138,31,7,41,137.62,5642.56,"2021-03-10"
139,31,12,283,681.16,192769.58,"2021-03-10"
140,31,8,151,51.6,7791.64,"2021-03-10"
141,31,3,145,455.66,66070.04,"2021-03-10"
142,32,9,79,268.8,21235.21,"2021-03-14"
143,32,12,112,759.76,85093.62,"2021-03-14"
144,32,9,54,268.39,14492.95,"2021-03-14"
145,33,9,127,245.07,31124.26,"2021-03-11"
146,33,2,121,474.23,57381.37,"2021-03-11"
147,33,11,67,425.38,28500.49,"2021-03-11"
148,33,7,40,128.57,5142.68,"2021-03-11"
149,33,6,73,186.23,13595.1,"2021-03-11"
150,33,2,97,536.28,52019.1,"2021-03-11"
151,33,4,63,483.03,30430.93,"2021-03-11"
152,34,2,120,560.36,67242.86,"2021-03-20"
153,34,12,289,712.26,205842.45,"2021-03-20"
154,34,4,111,456.65,50687.99,"2021-03-20"
155,35,8,124,51.57,6394.6,"2021-03-08"
156,35,10,179,55.56,9945.25,"2021-03-08"
157,35,10,241,54.84,13216.28,"2021-03-08"
158,35,11,43,377.15,16217.57,"2021-03-08"
159,36,8,144,60.31,8684.17,"2021-03-14"
160,36,1,33,404.16,13337.12,"2021-03-14"
161,36,10,213,60.12,12804.75,"2021-03-14"
162,36,7,26,134.78,3504.23,"2021-03-14"
163,36,8,185,50.16,9279.9,"2021-03-14"
164,36,5,151,151.61,22893.16,"2021-03-14"
165,37,7,20,136.46,2729.12,"2021-02-27"
166,37,5,123,137.98,16972.03,"2021-02-27"
167,38,12,99,724.52,71727.88,"2021-04-07"
168,38,10,149,55.15,8217.07,"2021-04-07"
169,38,6,91,161.37,14684.78,"2021-04-07"
170,38,2,77,500.82,38563.34,"2021-04-07"
171,38,8,91,60.48,5503.58,"2021-04-07"
172,38,5,146,156.2,22805.25,"2021-04-07"
173,38,12,288,813.33,234239.65,"2021-04-07"
174,38,2,183,487.61,89233.05,"2021-04-07"
175,39,6,102,180.65,18425.81,"2021-03-30"
176,39,3,109,445.17,48524.0,"2021-03-30"
177,39,11,61,384.36,23445.9,"2021-03-30"
178,40,7,32,137.64,4404.43,"2021-04-17"
179,40,11,50,384.6,19230.1,"2021-04-17"
180,40,1,75,394.73,29605.06,"2021-04-17"
181,40,5,166,136.33,22630.89,"2021-04-17"
182,40,10,143,58.85,8415.97,"2021-04-17"
183,40,8,103,57.75,5947.9,"2021-04-17"
184,40,11,83,365.62,30346.2,"2021-04-17"
185,40,10,184,53.3,9807.53,"2021-04-17"
186,41,7,20,144.1,2882.09,"2021-04-10"
187,41,2,117,544.64,63723.08,"2021-04-10"
188,42,8,217,57.28,12429.42,"2021-04-08"
189,42,9,118,247.28,29179.23,"2021-04-08"
190,42,3,121,494.24,59803.32,"2021-04-08"
191,43,5,215,140.81,30274.99,"2021-03-24"
192,43,2,197,533.05,105010.56,"2021-03-24"
193,44,1,86,434.13,37334.82,"2021-04-12"
194,44,5,119,164.34,19556.26,"2021-04-12"
195,44,10,169,59.21,10006.09,"2021-04-12"
196,44,9,64,234.98,15038.49,"2021-04-12"
197,45,10,112,58.95,6601.88,"2021-03-29"
198,45,8,111,54.02,5996.22,"2021-03-29"
199,45,2,103,523.14,53883.1,"2021-03-29"
200,45,2,175,537.84,94122.71,"2021-03-29"
201,45,7,31,127.2,3943.14,"2021-03-29"
202,45,8,85,52.05,4424.09,"2021-03-29"
203,45,6,85,179.7,15274.44,"2021-03-29"
204,45,6,35,186.53,6528.65,"2021-03-29"
205,46,8,207,58.02,12009.66,"2021-04-16"
206,46,6,55,156.6,8613.18,"2021-04-16"
207,47,1,84,437.87,36781.12,"2021-04-01"
208,47,10,89,53.34,4747.41,"2021-04-01"
209,47,8,231,52.17,12050.15,"2021-04-01"
210,48,3,112,435.96,48827.65,"2021-03-30"
211,48,4,56,501.5,28084.05,"2021-03-30"
212,48,1,43,424.77,18264.95,"2021-03-30"
213,48,7,38,132.61,5039.09,"2021-03-30"
214,48,3,142,417.2,59243.08,"2021-03-30"
215,48,5,120,147.72,17726.23,"2021-03-30"
216,48,11,63,383.58,24165.56,"2021-03-30"
217,48,4,100,471.16,47115.77,"2021-03-30"
218,49,1,55,407.22,22397.35,"2021-03-22"
219,49,11,46,438.43,20167.85,"2021-03-22"
220,49,2,180,491.54,88476.93,"2021-03-22"
221,49,5,130,149.12,19385.79,"2021-03-22"
222,49,6,64,184.24,11791.16,"2021-03-22"
223,49,6,63,176.94,11147.3,"2021-03-22"
224,49,12,262,747.47,195836.21,"2021-03-22"
225,50,10,129,54.13,6982.49,"2021-03-23"
226,51,12,291,691.31,201169.92,"2021-04-17"
227,52,8,175,55.01,9627.32,"2021-03-24"
228,52,11,50,386.61,19330.62,"2021-03-24"
229,52,10,173,51.67,8938.82,"2021-03-24"
230,52,7,33,128.47,4239.64,"2021-03-24"
231,53,9,49,257.92,12637.92,"2021-04-09"
232,53,3,137,415.16,56877.05,"2021-04-09"
233,53,5,144,137.08,19739.62,"2021-04-09"
234,54,10,103,55.02,5666.96,"2021-03-13"
235,54,3,131,473.53,62032.06,"2021-03-13"
236,54,10,144,53.24,7666.39,"2021-03-13"
