"purchase_order_id","supplier_id","order_date","expected_delivery_date","total_amount","discount_amount","final_amount","status","payment_terms","transport_method","store_id"
1,5013,"2021-01-06","2021-01-22",311436.72,15801.2,295635.52,"Delivered","Net 45","Company Truck",3
2,5014,"2021-01-08","2021-01-28",253606.73,17961.93,235644.8,"Ordered","50% Advance","Air Freight",6
3,5007,"2021-01-20","2021-01-31",432753.14,32512.74,400240.4,"Ordered","50% Advance","Air Freight",9
4,5000,"2021-01-07","2021-01-17",17761.62,291.72,17469.9,"Ordered","Net 30","Sea Freight",2
5,5024,"2021-01-13","2021-02-08",92872.05,6083.14,86788.91,"Ordered","Net 15","Air Freight",9
6,5027,"2021-01-10","2021-01-27",95332.21,5178.37,90153.84,"Shipped","Cash on Delivery","Third Party Logistics",3
7,5005,"2021-01-13","2021-01-30",243737.17,14285.0,229452.17,"Shipped","50% Advance","Sea Freight",6
8,5000,"2021-01-11","2021-01-22",155638.38,8409.6,147228.78,"Ordered","Cash on Delivery","Third Party Logistics",7
9,5025,"2021-01-17","2021-01-27",50508.52,1742.94,48765.59,"Ordered","50% Advance","Supplier Delivery",1
10,5016,"2021-01-24","2021-01-31",301295.29,31274.29,270020.99,"Shipped","Net 45","Third Party Logistics",1
11,5004,"2021-01-26","2021-02-11",170763.48,22453.68,148309.8,"Shipped","50% Advance","Air Freight",3
12,5000,"2021-01-25","2021-02-22",161559.69,10542.6,151017.09,"Shipped","50% Advance","Supplier Delivery",5
13,5004,"2021-01-02","2021-01-19",105453.56,15131.53,90322.03,"Shipped","50% Advance","Supplier Delivery",1
14,5020,"2021-01-27","2021-02-08",221896.52,15648.79,206247.73,"Delivered","50% Advance","Company Truck",3
15,5024,"2021-01-22","2021-02-10",74111.33,3224.78,70886.55,"Delivered","Cash on Delivery","Air Freight",9
16,5018,"2021-01-08","2021-01-22",193007.91,11566.36,181441.55,"Delivered","Net 15","Company Truck",3
17,5023,"2021-01-09","2021-01-16",205374.89,11515.82,193859.07,"Shipped","Net 45","Third Party Logistics",6
18,5023,"2021-01-02","2021-01-17",237739.1,13830.1,223909.0,"Delivered","50% Advance","Third Party Logistics",9
19,5015,"2021-01-10","2021-01-25",69000.06,4042.87,64957.2,"Shipped","Cash on Delivery","Sea Freight",7
20,5003,"2021-01-04","2021-01-16",36609.99,1257.3,35352.69,"Delivered","Cash on Delivery","Supplier Delivery",7
21,5005,"2021-01-12","2021-01-30",364810.13,45173.62,319636.51,"Shipped","Net 45","Sea Freight",9
22,5004,"2021-01-13","2021-02-09",35375.1,629.06,34746.03,"Delivered","Net 45","Third Party Logistics",3
23,5008,"2021-01-20","2021-02-08",208560.01,11758.23,196801.78,"Shipped","Net 30","Sea Freight",7
24,5013,"2021-01-01","2021-01-23",374874.99,27296.04,347578.94,"Ordered","Cash on Delivery","Third Party Logistics",3
25,5028,"2021-01-11","2021-02-01",55948.95,2469.56,53479.39,"Ordered","50% Advance","Sea Freight",6
26,5009,"2021-02-11","2021-02-19",13463.3,363.43,13099.86,"Ordered","Net 15","Third Party Logistics",1
27,5008,"2021-02-25","2021-03-10",68538.49,4515.67,64022.83,"Delivered","Cash on Delivery","Third Party Logistics",9
28,5009,"2021-02-25","2021-03-11",177149.24,25153.4,151995.84,"Shipped","Cash on Delivery","Air Freight",6
29,5012,"2021-02-20","2021-03-02",164277.14,15907.56,148369.59,"Delivered","50% Advance","Supplier Delivery",6
30,5009,"2021-02-16","2021-02-27",224151.44,12436.87,211714.57,"Delivered","Cash on Delivery","Air Freight",4
31,5021,"2021-02-22","2021-03-10",295995.95,19595.1,276400.86,"Ordered","Net 45","Company Truck",6
32,5013,"2021-02-26","2021-03-14",120821.77,11289.01,109532.76,"Ordered","Net 15","Third Party Logistics",2
33,5002,"2021-02-13","2021-03-11",218193.92,23164.54,195029.39,"Shipped","50% Advance","Air Freight",7
34,5028,"2021-02-23","2021-03-20",323773.3,28350.24,295423.06,"Ordered","50% Advance","Supplier Delivery",7
35,5018,"2021-02-23","2021-03-08",45773.7,446.52,45327.18,"Shipped","Cash on Delivery","Air Freight",4
36,5015,"2021-02-19","2021-03-14",70503.33,5474.2,65029.13,"Shipped","Net 45","Supplier Delivery",1
37,5003,"2021-02-04","2021-02-27",19701.16,270.02,19431.14,"Shipped","50% Advance","Third Party Logistics",9
38,5014,"2021-03-17","2021-04-07",484974.61,55549.2,429425.41,"Shipped","Net 45","Supplier Delivery",6
39,5027,"2021-03-07","2021-03-30",90395.72,6617.81,83777.91,"Shipped","Net 45","Supplier Delivery",4
40,5012,"2021-03-21","2021-04-17",130388.07,14190.66,116197.41,"Ordered","50% Advance","Supplier Delivery",5
41,5021,"2021-03-28","2021-04-10",66605.16,5127.16,61478.01,"Ordered","Net 30","Company Truck",9
42,5012,"2021-03-22","2021-04-08",101411.97,6208.8,95203.18,"Ordered","Net 15","Company Truck",9
43,5020,"2021-03-15","2021-03-24",135285.55,19137.0,116148.55,"Delivered","Net 15","Company Truck",9
44,5012,"2021-03-19","2021-04-12",81935.66,5179.46,76756.2,"Ordered","Cash on Delivery","Third Party Logistics",9
45,5029,"2021-03-07","2021-03-29",190774.23,18408.04,172366.19,"Delivered","Net 45","Third Party Logistics",5
46,5021,"2021-03-23","2021-04-16",20622.85,282.88,20339.97,"Delivered","50% Advance","Company Truck",7
47,5029,"2021-03-09","2021-04-01",53578.68,2476.51,51102.16,"Shipped","Net 45","Sea Freight",3
48,5014,"2021-03-20","2021-03-30",248466.38,32508.06,215958.31,"Delivered","50% Advance","Air Freight",7
49,5009,"2021-03-05","2021-03-22",369202.59,19552.33,349650.26,"Ordered","Net 30","Supplier Delivery",7
50,5027,"2021-03-10","2021-03-23",6982.49,25.38,6957.1,"Shipped","50% Advance","Company Truck",9
51,5019,"2021-03-25","2021-04-17",201169.92,10085.07,191084.85,"Delivered","50% Advance","Company Truck",2
52,5023,"2021-03-08","2021-03-24",42136.4,907.99,41228.41,"Shipped","50% Advance","Air Freight",2
53,5009,"2021-03-18","2021-04-09",89254.6,7030.94,82223.66,"Delivered","Cash on Delivery","Third Party Logistics",2
54,5023,"2021-03-01","2021-03-13",199224.49,13305.86,185918.64,"Delivered","Cash on Delivery","Company Truck",7
55,5005,"2021-03-01","2021-03-23",42322.23,1919.31,40402.92,"Ordered","Net 15","Supplier Delivery",8
56,5008,"2021-03-11","2021-04-04",116527.78,17442.42,99085.36,"Ordered","Net 45","Supplier Delivery",5
57,5003,"2021-03-05","2021-03-25",5681.73,176.15,5505.57,"Shipped","Net 45","Sea Freight",9
58,5015,"2021-03-14","2021-04-11",221059.86,24007.63,197052.24,"Delivered","Cash on Delivery","Company Truck",3
59,5021,"2021-03-08","2021-03-29",89072.55,3424.73,85647.83,"Ordered","Net 45","Supplier Delivery",2
60,5000,"2021-03-02","2021-03-29",99008.34,6891.61,92116.73,"Ordered","Cash on Delivery","Company Truck",4
61,5007,"2021-04-21","2021-05-03",186878.55,12271.57,174606.98,"Ordered","Net 45","Sea Freight",9
62,5019,"2021-04-20","2021-04-30",164380.34,22531.34,141849.01,"Delivered","Net 15","Company Truck",3
63,5011,"2021-04-14","2021-05-01",135288.7,8213.57,127075.13,"Delivered","50% Advance","Air Freight",2
64,5004,"2021-04-28","2021-05-05",9552.76,436.69,9116.07,"Ordered","Cash on Delivery","Supplier Delivery",9
65,5026,"2021-04-23","2021-05-01",243022.13,18527.04,224495.09,"Delivered","Net 30","Third Party Logistics",1
66,5010,"2021-04-22","2021-05-02",169998.26,15068.25,154930.01,"Shipped","Net 15","Supplier Delivery",3
67,5009,"2021-04-28","2021-05-22",62768.7,3509.12,59259.59,"Shipped","Net 30","Sea Freight",4
68,5009,"2021-04-10","2021-05-04",127532.57,11084.77,116447.8,"Ordered","Net 15","Sea Freight",9
69,5020,"2021-04-13","2021-05-04",341232.93,25404.23,315828.7,"Ordered","50% Advance","Air Freight",4
70,5011,"2021-04-08","2021-04-28",67794.54,4202.35,63592.19,"Ordered","50% Advance","Air Freight",6
71,5003,"2021-04-24","2021-05-13",375861.04,43269.76,332591.29,"Delivered","Net 45","Third Party Logistics",5
72,5016,"2021-04-28","2021-05-14",221006.53,24897.35,196109.18,"Shipped","Net 15","Air Freight",7
73,5018,"2021-04-01","2021-04-21",33677.18,729.83,32947.35,"Delivered","Net 15","Air Freight",3
74,5013,"2021-04-01","2021-04-09",89074.03,2904.85,86169.18,"Shipped","Cash on Delivery","Supplier Delivery",9
75,5024,"2021-04-16","2021-05-01",82810.22,4851.5,77958.71,"Delivered","Net 15","Third Party Logistics",8
76,5028,"2021-04-11","2021-04-29",28855.38,858.19,27997.2,"Shipped","Net 45","Sea Freight",2
77,5028,"2021-04-12","2021-05-03",375785.68,53207.5,322578.17,"Ordered","50% Advance","Company Truck",5
78,5000,"2021-04-01","2021-04-25",141314.09,17379.79,123934.3,"Shipped","Net 15","Third Party Logistics",3
79,5021,"2021-04-27","2021-05-08",51116.05,1736.49,49379.56,"Delivered","Net 30","Sea Freight",3
80,5009,"2021-04-22","2021-05-10",15348.57,432.58,14916.0,"Delivered","Net 30","Third Party Logistics",4
81,5020,"2021-04-08","2021-05-03",320456.32,29550.04,290906.28,"Delivered","Net 15","Supplier Delivery",5
82,5015,"2021-04-03","2021-04-29",87134.76,3828.66,83306.1,"Delivered","Cash on Delivery","Supplier Delivery",2
83,5023,"2021-04-22","2021-05-07",93176.87,4628.12,88548.75,"Ordered","Net 45","Supplier Delivery",5
84,5020,"2021-04-19","2021-05-14",84627.3,3443.58,81183.73,"Ordered","Cash on Delivery","Third Party Logistics",2
85,5014,"2021-04-16","2021-04-23",173304.7,16619.0,156685.7,"Delivered","Cash on Delivery","Supplier Delivery",9
86,5018,"2021-05-15","2021-06-02",270434.88,18340.76,252094.11,"Shipped","Cash on Delivery","Supplier Delivery",7
87,5028,"2021-05-12","2021-05-19",95900.06,5411.74,90488.32,"Cancelled","Net 15","Air Freight",3
88,5016,"2021-05-06","2021-05-30",69594.4,2782.93,66811.47,"Delivered","Cash on Delivery","Sea Freight",1
89,5011,"2021-05-22","2021-06-10",265412.16,24636.86,240775.31,"Ordered","Net 30","Company Truck",7
90,5013,"2021-05-10","2021-06-01",284129.68,25538.12,258591.56,"Ordered","Net 15","Sea Freight",4
91,5025,"2021-05-10","2021-05-22",173973.39,18200.75,155772.64,"Delivered","Net 30","Air Freight",6
